problem_id,all_generated,syntax_valid,functionally_valid,synthesis_valid,valid_ppa,pareto_front,valid_ppa_per_occupied_style_cluster,hv_per_valid_ppa_candidate,front_members_per_valid_ppa_candidate,unique_motif_signatures_per_valid_ppa_candidate
RTLLM/Prob001_accu,210,67,62,62,62,40,62.0,0.0,0.6451612903225806,0.12903225806451613
RTLLM/Prob002_adder_16bit,209,87,84,84,84,1,28.0,0.0024418361224301404,0.011904761904761904,0.047619047619047616
RTLLM/Prob003_adder_32bit,208,46,45,45,45,28,45.0,0.014987994500059991,0.6222222222222222,0.022222222222222223
RTLLM/Prob004_adder_8bit,210,117,104,104,104,61,26.0,0.00039375437504861164,0.5865384615384616,0.028846153846153848
RTLLM/Prob005_adder_bcd,209,91,90,90,90,9,45.0,0.0002452783909737554,0.1,0.1111111111111111
RTLLM/Prob006_adder_pipe_64bit,203,14,1,0,0,0,0.0,0.0,0.0,0.0
RTLLM/Prob007_comparator_3bit,210,156,154,154,154,4,51.333333333333336,6.697146470487001e-05,0.025974025974025976,0.16233766233766234
RTLLM/Prob008_comparator_4bit,210,109,101,101,101,2,33.666666666666664,0.0016921692169216923,0.019801980198019802,0.18811881188118812
RTLLM/Prob009_div_16bit,209,70,68,68,68,6,22.666666666666668,0.008668512162298409,0.08823529411764706,0.38235294117647056
RTLLM/Prob010_radix2_div,201,0,0,0,0,0,0.0,0.0,0.0,0.0
RTLLM/Prob011_multi_16bit,206,1,0,0,0,0,0.0,0.0,0.0,0.0
RTLLM/Prob012_multi_8bit,210,153,152,152,152,25,50.666666666666664,0.0014452215195677012,0.16447368421052633,0.039473684210526314
RTLLM/Prob013_multi_booth_8bit,208,21,21,18,18,17,18.0,0.0015432098765432098,0.9444444444444444,0.1111111111111111
RTLLM/Prob014_multi_pipe_4bit,209,1,0,0,0,0,0.0,0.0,0.0,0.0
RTLLM/Prob015_multi_pipe_8bit,206,15,0,0,0,0,0.0,0.0,0.0,0.0
RTLLM/Prob016_fixed_point_adder,207,77,64,0,0,0,0.0,0.0,0.0,0.0
RTLLM/Prob017_fixed_point_substractor,210,132,127,0,0,0,0.0,0.0,0.0,0.0
RTLLM/Prob018_float_multi,205,0,0,0,0,0,0.0,0.0,0.0,0.0
RTLLM/Prob019_sub_64bit,210,162,159,159,159,1,39.75,0.0012847934787770879,0.006289308176100629,0.07547169811320754
RTLLM/Prob020_JC_counter,210,167,147,147,147,122,147.0,0.0,0.8299319727891157,0.034013605442176874
RTLLM/Prob021_counter_12,210,161,157,157,157,4,78.5,0.0,0.025477707006369428,0.03821656050955414
RTLLM/Prob022_ring_counter,210,185,0,0,0,0,0.0,0.0,0.0,0.0
RTLLM/Prob023_up_down_counter,210,171,124,123,123,123,123.0,0.0,1.0,0.024390243902439025
RTLLM/Prob024_fsm,207,49,20,19,19,5,19.0,0.017927991702747642,0.2631578947368421,0.2631578947368421
RTLLM/Prob025_sequence_detector,209,65,8,8,8,1,8.0,0.005423704914755688,0.125,0.375
RTLLM/Prob026_asyn_fifo,205,0,0,0,0,0,0.0,0.0,0.0,0.0
RTLLM/Prob027_LIFObuffer,209,24,24,24,24,18,24.0,0.0,0.75,0.375
RTLLM/Prob028_LFSR,210,137,0,0,0,0,0.0,0.0,0.0,0.0
RTLLM/Prob029_barrel_shifter,210,75,0,0,0,0,0.0,0.0,0.0,0.0
RTLLM/Prob030_right_shifter,210,181,150,133,133,128,133.0,0.0,0.9624060150375939,0.03007518796992481
RTLLM/Prob031_freq_div,210,15,12,10,10,2,10.0,0.005207749627421761,0.2,0.4
RTLLM/Prob032_freq_divbyeven,210,98,0,0,0,0,0.0,0.0,0.0,0.0
RTLLM/Prob033_freq_divbyfrac,207,31,0,0,0,0,0.0,0.0,0.0,0.0
RTLLM/Prob034_freq_divbyodd,208,41,0,0,0,0,0.0,0.0,0.0,0.0
RTLLM/Prob035_calendar,210,68,66,40,40,33,40.0,0.0,0.825,0.125
RTLLM/Prob036_edge_detect,210,156,93,93,93,5,46.5,0.003826771229148139,0.053763440860215055,0.0967741935483871
RTLLM/Prob037_parallel2serial,205,11,1,1,1,1,1.0,0.0,1.0,1.0
RTLLM/Prob038_pulse_detect,208,94,0,0,0,0,0.0,0.0,0.0,0.0
RTLLM/Prob039_serial2parallel,208,20,0,0,0,0,0.0,0.0,0.0,0.0
RTLLM/Prob040_synchronizer,210,23,23,23,23,23,23.0,0.0012077294685990333,1.0,0.13043478260869565
RTLLM/Prob041_traffic_light,202,0,0,0,0,0,0.0,0.0,0.0,0.0
RTLLM/Prob042_width_8to16,204,23,22,0,0,0,0.0,0.0,0.0,0.0
RTLLM/Prob043_RAM,209,71,70,70,70,38,70.0,0.0014241777488808152,0.5428571428571428,0.12857142857142856
RTLLM/Prob044_ROM,210,166,75,68,68,52,17.0,0.0,0.7647058823529411,0.029411764705882353
RTLLM/Prob045_alu,203,0,0,0,0,0,0.0,0.0,0.0,0.0
RTLLM/Prob046_clkgenerator,210,167,3,0,0,0,0.0,0.0,0.0,0.0
RTLLM/Prob047_instr_reg,210,113,86,86,86,1,43.0,0.0,0.011627906976744186,0.06976744186046512
RTLLM/Prob048_pe,210,145,94,94,94,12,94.0,0.0,0.1276595744680851,0.10638297872340426
RTLLM/Prob049_signal_generator,209,109,72,72,72,23,36.0,0.000279894794875082,0.3194444444444444,0.08333333333333333
RTLLM/Prob050_square_wave,210,141,130,130,130,8,130.0,0.0006075009459273884,0.06153846153846154,0.34615384615384615
