benchmark,best_fitness,budget_fraction,candidate_count,corpus,descriptor_family,funnel,mean_fitness,method,model,pareto_member_count,prefix_candidate_count,problem_id,seed,unique_canonical_netlists,unique_motif_signatures,unique_style_clusters
RTLLM,-0.08418150190130695,0.25,53,aspdac2026_release,lexical_structural_posthoc,generated,-0.11352954882472847,classic_revolution,deepseek-chat,0,53,aspdac2026/deepseek_clean_results/RTLLM/Prob001_accu,0,0,0,2
RTLLM,-0.08418150190130695,0.25,15,aspdac2026_release,lexical_structural_posthoc,functional,-0.11352954882472847,classic_revolution,deepseek-chat,0,53,aspdac2026/deepseek_clean_results/RTLLM/Prob001_accu,0,0,0,1
RTLLM,-0.08418150190130695,0.25,15,aspdac2026_release,lexical_structural_posthoc,synthesis_valid,-0.11352954882472847,classic_revolution,deepseek-chat,0,53,aspdac2026/deepseek_clean_results/RTLLM/Prob001_accu,0,0,0,1
RTLLM,-0.08418150190130695,0.25,15,aspdac2026_release,lexical_structural_posthoc,valid_ppa,-0.11352954882472847,classic_revolution,deepseek-chat,0,53,aspdac2026/deepseek_clean_results/RTLLM/Prob001_accu,0,0,0,1
RTLLM,,0.25,0,aspdac2026_release,lexical_structural_posthoc,pareto_front,,classic_revolution,deepseek-chat,0,53,aspdac2026/deepseek_clean_results/RTLLM/Prob001_accu,0,0,0,0
RTLLM,-0.08418150190130695,0.5,105,aspdac2026_release,lexical_structural_posthoc,generated,-0.18576290438455317,classic_revolution,deepseek-chat,0,105,aspdac2026/deepseek_clean_results/RTLLM/Prob001_accu,0,0,0,3
RTLLM,-0.08418150190130695,0.5,32,aspdac2026_release,lexical_structural_posthoc,functional,-0.18576290438455317,classic_revolution,deepseek-chat,0,105,aspdac2026/deepseek_clean_results/RTLLM/Prob001_accu,0,0,0,2
RTLLM,-0.08418150190130695,0.5,32,aspdac2026_release,lexical_structural_posthoc,synthesis_valid,-0.18576290438455317,classic_revolution,deepseek-chat,0,105,aspdac2026/deepseek_clean_results/RTLLM/Prob001_accu,0,0,0,2
RTLLM,-0.08418150190130695,0.5,32,aspdac2026_release,lexical_structural_posthoc,valid_ppa,-0.18576290438455317,classic_revolution,deepseek-chat,0,105,aspdac2026/deepseek_clean_results/RTLLM/Prob001_accu,0,0,0,2
RTLLM,,0.5,0,aspdac2026_release,lexical_structural_posthoc,pareto_front,,classic_revolution,deepseek-chat,0,105,aspdac2026/deepseek_clean_results/RTLLM/Prob001_accu,0,0,0,0
RTLLM,0.18901235939509997,0.75,158,aspdac2026_release,lexical_structural_posthoc,generated,-0.16366874845612073,classic_revolution,deepseek-chat,4,158,aspdac2026/deepseek_clean_results/RTLLM/Prob001_accu,0,0,0,3
