benchmark,child_cell_id,child_generation,child_id,child_pareto_rank,child_quality,child_strategy,generation_delta,method_name,new_cell,parent_cell_id,parent_found,parent_generation,parent_id,parent_pareto_rank,parent_quality,parent_strategy,problem,quality_delta,relative_path,root,seed_dir,source_table
RTLLM,"0,0,0",1,26f0b1f1-a2d7-4e19-b029-9d4760bcbab5,1,0.2056709518994655,M-S,,landing_smooth_qd_manual_bd,False,,False,,e008b941-9327-4c6e-9397-608f1c1d8bf7,,,,Prob004_adder_8bit,,landing_smooth_qd_manual_bd/seed_1001/revolution/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit/archive_cells.csv,/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3,seed_1001,archive_cells.csv
RTLLM,"0,0,2",3,acbd0c38-326f-41f6-8ae2-0d9c7c50c549,2,-0.0227984014637199,M-E,2,landing_smooth_qd_manual_bd,True,"1,0,0",True,1,4b34c2ef-c041-4f31-aa95-858e3e7ad3ad,1,0.3815441282680918,M-I,Prob004_adder_8bit,-0.40434252973181173,landing_smooth_qd_manual_bd/seed_1001/revolution/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit/archive_cells.csv,/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3,seed_1001,archive_cells.csv
RTLLM,"0,0,2",4,d9f048a2-ae90-4a73-9a91-4cef4223bbeb,1,0.1319115027204006,M-E,2,landing_smooth_qd_manual_bd,True,"1,0,2",True,2,e194b706-3b9b-48de-8ea0-98cf31a7dbfa,4,0.2641624536568924,M-E,Prob004_adder_8bit,-0.1322509509364918,landing_smooth_qd_manual_bd/seed_1001/revolution/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit/archive_cells.csv,/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3,seed_1001,archive_cells.csv
RTLLM,"1,0,0",1,4b34c2ef-c041-4f31-aa95-858e3e7ad3ad,1,0.3815441282680918,M-I,,landing_smooth_qd_manual_bd,False,,False,,a9ecf6c2-9c60-425c-b4ba-a93963fcfa5c,,,,Prob004_adder_8bit,,landing_smooth_qd_manual_bd/seed_1001/revolution/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit/archive_cells.csv,/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3,seed_1001,archive_cells.csv
RTLLM,"1,0,2",1,0ffaba12-c230-4143-ba82-91a290afe816,2,0.3299003322259136,M-F,,landing_smooth_qd_manual_bd,False,,False,,a30bdfc4-ab77-4ed3-bbe6-cc39af7f9396,,,,Prob004_adder_8bit,,landing_smooth_qd_manual_bd/seed_1001/revolution/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit/archive_cells.csv,/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3,seed_1001,archive_cells.csv
RTLLM,"1,0,2",1,0ba2cfcc-a81d-4a9c-aa02-7e3a6dbe3bec,1,0.3815441282680918,M-S,,landing_smooth_qd_manual_bd,False,,False,,d417a78a-3564-418f-843a-ee96f8360f24,,,,Prob004_adder_8bit,,landing_smooth_qd_manual_bd/seed_1001/revolution/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit/archive_cells.csv,/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3,seed_1001,archive_cells.csv
RTLLM,"1,0,2",2,e194b706-3b9b-48de-8ea0-98cf31a7dbfa,4,0.2641624536568924,M-E,1,landing_smooth_qd_manual_bd,False,"1,0,2",True,1,0ffaba12-c230-4143-ba82-91a290afe816,2,0.3299003322259136,M-F,Prob004_adder_8bit,-0.06573787856902119,landing_smooth_qd_manual_bd/seed_1001/revolution/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit/archive_cells.csv,/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3,seed_1001,archive_cells.csv
RTLLM,"1,0,2",3,c86d82e8-e461-4c10-90c8-ce445fe5e22e,3,0.3154075786027252,C-F,1,landing_smooth_qd_manual_bd,False,"1,0,2",True,2,e194b706-3b9b-48de-8ea0-98cf31a7dbfa,4,0.2641624536568924,M-E,Prob004_adder_8bit,0.05124512494583283,landing_smooth_qd_manual_bd/seed_1001/revolution/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit/archive_cells.csv,/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3,seed_1001,archive_cells.csv
RTLLM,"1,0,2",3,c86d82e8-e461-4c10-90c8-ce445fe5e22e,3,0.3154075786027252,C-F,2,landing_smooth_qd_manual_bd,True,"1,0,0",True,1,4b34c2ef-c041-4f31-aa95-858e3e7ad3ad,1,0.3815441282680918,M-I,Prob004_adder_8bit,-0.06613654966536658,landing_smooth_qd_manual_bd/seed_1001/revolution/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit/archive_cells.csv,/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3,seed_1001,archive_cells.csv
RTLLM,"1,0,2",5,603aa7f3-a925-44be-8e3a-2ce4c8378a14,5,0.2567942606769705,C-F,1,landing_smooth_qd_manual_bd,True,"0,0,2",True,4,d9f048a2-ae90-4a73-9a91-4cef4223bbeb,1,0.1319115027204006,M-E,Prob004_adder_8bit,0.12488275795656989,landing_smooth_qd_manual_bd/seed_1001/revolution/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit/archive_cells.csv,/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3,seed_1001,archive_cells.csv
RTLLM,"1,0,2",5,603aa7f3-a925-44be-8e3a-2ce4c8378a14,5,0.2567942606769705,C-F,4,landing_smooth_qd_manual_bd,False,"1,0,2",True,1,0ba2cfcc-a81d-4a9c-aa02-7e3a6dbe3bec,1,0.3815441282680918,M-S,Prob004_adder_8bit,-0.12474986759112133,landing_smooth_qd_manual_bd/seed_1001/revolution/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit/archive_cells.csv,/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3,seed_1001,archive_cells.csv
RTLLM,,1,4b34c2ef-c041-4f31-aa95-858e3e7ad3ad,,0.3815441282680918,M-I,,landing_smooth_qd_manual_bd,False,,False,,a9ecf6c2-9c60-425c-b4ba-a93963fcfa5c,,,,Prob004_adder_8bit,,landing_smooth_qd_manual_bd/seed_1001/revolution/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit/global_pareto_archive.csv,/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3,seed_1001,global_pareto_archive.csv
RTLLM,"1,1,1",4,06031508-7f8b-4c6f-a5af-83c39500d864,2,-0.0003776620648802,C-F,1,landing_smooth_qd_manual_bd,True,"2,1,1",True,3,38168a12-c769-4a6d-9539-d1faaab2c944,1,0.0610503661511321,M-E,Prob015_multi_pipe_8bit,-0.0614280282160123,landing_smooth_qd_manual_bd/seed_1001/revolution/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/archive_cells.csv,/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3,seed_1001,archive_cells.csv
RTLLM,"1,1,1",4,06031508-7f8b-4c6f-a5af-83c39500d864,2,-0.0003776620648802,C-F,3,landing_smooth_qd_manual_bd,True,"1,2,1",True,1,2bc965f9-3d30-442b-8743-0000fe1311bb,1,0.0524233377418543,M-R,Prob015_multi_pipe_8bit,-0.0528009998067345,landing_smooth_qd_manual_bd/seed_1001/revolution/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/archive_cells.csv,/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3,seed_1001,archive_cells.csv
RTLLM,"1,2,1",1,0a364370-8147-411f-97b3-796ffa0210c4,2,-0.045159347893647,M-F,,landing_smooth_qd_manual_bd,False,,False,,d389ea24-9386-4420-b1a6-8f5cf0a9ca98,,,,Prob015_multi_pipe_8bit,,landing_smooth_qd_manual_bd/seed_1001/revolution/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/archive_cells.csv,/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3,seed_1001,archive_cells.csv
RTLLM,"1,2,1",1,2bc965f9-3d30-442b-8743-0000fe1311bb,1,0.0524233377418543,M-R,,landing_smooth_qd_manual_bd,False,,False,,d389ea24-9386-4420-b1a6-8f5cf0a9ca98,,,,Prob015_multi_pipe_8bit,,landing_smooth_qd_manual_bd/seed_1001/revolution/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/archive_cells.csv,/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3,seed_1001,archive_cells.csv
RTLLM,"2,1,1",3,38168a12-c769-4a6d-9539-d1faaab2c944,1,0.0610503661511321,M-E,,landing_smooth_qd_manual_bd,False,,False,,ea6ba62d-6d19-47ae-a57f-b44540cf4559,,,,Prob015_multi_pipe_8bit,,landing_smooth_qd_manual_bd/seed_1001/revolution/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/archive_cells.csv,/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3,seed_1001,archive_cells.csv
RTLLM,"2,2,1",3,715bd14e-fe0b-4770-8996-b5744dd5cec6,2,-0.0020111613551933,M-E,,landing_smooth_qd_manual_bd,False,,False,,ea6ba62d-6d19-47ae-a57f-b44540cf4559,,,,Prob015_multi_pipe_8bit,,landing_smooth_qd_manual_bd/seed_1001/revolution/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/archive_cells.csv,/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3,seed_1001,archive_cells.csv
RTLLM,"2,2,1",5,30040fab-0328-49ba-922e-6c93df745bd0,1,0.0610503661511321,C-F,2,landing_smooth_qd_manual_bd,True,"2,1,1",True,3,38168a12-c769-4a6d-9539-d1faaab2c944,1,0.0610503661511321,M-E,Prob015_multi_pipe_8bit,0.0,landing_smooth_qd_manual_bd/seed_1001/revolution/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/archive_cells.csv,/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3,seed_1001,archive_cells.csv
RTLLM,"2,2,1",5,30040fab-0328-49ba-922e-6c93df745bd0,1,0.0610503661511321,C-F,4,landing_smooth_qd_manual_bd,True,"1,2,1",True,1,2bc965f9-3d30-442b-8743-0000fe1311bb,1,0.0524233377418543,M-R,Prob015_multi_pipe_8bit,0.008627028409277801,landing_smooth_qd_manual_bd/seed_1001/revolution/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/archive_cells.csv,/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3,seed_1001,archive_cells.csv
RTLLM,"2,2,2",3,a4225ae3-25b1-430c-84a9-5ef2865222ca,1,-0.1600738584314163,C-F,2,landing_smooth_qd_manual_bd,True,"2,3,3",True,1,f598882a-eef9-43e8-ab3d-3e0383221ec8,1,-0.1557526579538328,M-I,Prob015_multi_pipe_8bit,-0.004321200477583498,landing_smooth_qd_manual_bd/seed_1001/revolution/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/archive_cells.csv,/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3,seed_1001,archive_cells.csv
RTLLM,"2,2,2",3,a4225ae3-25b1-430c-84a9-5ef2865222ca,1,-0.1600738584314163,C-F,,landing_smooth_qd_manual_bd,False,,False,,de5fbc5f-535c-44ac-b206-6186fffe0226,,,,Prob015_multi_pipe_8bit,,landing_smooth_qd_manual_bd/seed_1001/revolution/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/archive_cells.csv,/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3,seed_1001,archive_cells.csv
RTLLM,"2,2,2",5,4e3c98be-1321-4d1f-994a-aaaf19c59093,2,-0.336230300692171,M-E,,landing_smooth_qd_manual_bd,False,,False,,7fcdc976-0eaf-47c3-9145-8550cf0080cc,,,,Prob015_multi_pipe_8bit,,landing_smooth_qd_manual_bd/seed_1001/revolution/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/archive_cells.csv,/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3,seed_1001,archive_cells.csv
