benchmark,best_child_quality,best_quality_delta,child_edge_count,mean_child_quality,mean_quality_delta,method_name,new_cell_child_count,parent_found,parent_id,positive_quality_delta_count,problem,seed_dir,source_table
RTLLM,0.2567942606769705,-0.12474986759112133,1,0.2567942606769705,-0.12474986759112133,landing_smooth_qd_manual_bd,0,True,0ba2cfcc-a81d-4a9c-aa02-7e3a6dbe3bec,0,Prob004_adder_8bit,seed_1001,archive_cells.csv
RTLLM,0.2641624536568924,-0.06573787856902119,1,0.2641624536568924,-0.06573787856902119,landing_smooth_qd_manual_bd,0,True,0ffaba12-c230-4143-ba82-91a290afe816,0,Prob004_adder_8bit,seed_1001,archive_cells.csv
RTLLM,0.3154075786027252,-0.06613654966536658,2,0.14630458856950265,-0.23523953969858916,landing_smooth_qd_manual_bd,2,True,4b34c2ef-c041-4f31-aa95-858e3e7ad3ad,0,Prob004_adder_8bit,seed_1001,archive_cells.csv
RTLLM,0.3299003322259136,,1,0.3299003322259136,,landing_smooth_qd_manual_bd,0,False,a30bdfc4-ab77-4ed3-bbe6-cc39af7f9396,0,Prob004_adder_8bit,seed_1001,archive_cells.csv
RTLLM,0.3815441282680918,,1,0.3815441282680918,,landing_smooth_qd_manual_bd,0,False,a9ecf6c2-9c60-425c-b4ba-a93963fcfa5c,0,Prob004_adder_8bit,seed_1001,archive_cells.csv
RTLLM,0.3815441282680918,,1,0.3815441282680918,,landing_smooth_qd_manual_bd,0,False,d417a78a-3564-418f-843a-ee96f8360f24,0,Prob004_adder_8bit,seed_1001,archive_cells.csv
RTLLM,0.2567942606769705,0.12488275795656989,1,0.2567942606769705,0.12488275795656989,landing_smooth_qd_manual_bd,1,True,d9f048a2-ae90-4a73-9a91-4cef4223bbeb,1,Prob004_adder_8bit,seed_1001,archive_cells.csv
RTLLM,0.2056709518994655,,1,0.2056709518994655,,landing_smooth_qd_manual_bd,0,False,e008b941-9327-4c6e-9397-608f1c1d8bf7,0,Prob004_adder_8bit,seed_1001,archive_cells.csv
RTLLM,0.3154075786027252,0.05124512494583283,2,0.2236595406615629,-0.04050291299532949,landing_smooth_qd_manual_bd,1,True,e194b706-3b9b-48de-8ea0-98cf31a7dbfa,1,Prob004_adder_8bit,seed_1001,archive_cells.csv
RTLLM,-0.2341087230698677,0.03653152498981019,1,-0.2341087230698677,0.03653152498981019,landing_smooth_qd_manual_bd,0,True,06d2642f-f8cd-4777-ba6d-40687813e16b,1,Prob015_multi_pipe_8bit,seed_1001,archive_cells.csv
RTLLM,0.0610503661511321,0.008627028409277801,3,-0.08571941605512133,-0.13814275379697563,landing_smooth_qd_manual_bd,3,True,2bc965f9-3d30-442b-8743-0000fe1311bb,1,Prob015_multi_pipe_8bit,seed_1001,archive_cells.csv
RTLLM,0.0610503661511321,0.0,4,-0.10665429379965354,-0.16770465995078562,landing_smooth_qd_manual_bd,4,True,38168a12-c769-4a6d-9539-d1faaab2c944,0,Prob015_multi_pipe_8bit,seed_1001,archive_cells.csv
RTLLM,0.0263929244901285,,1,0.0263929244901285,,landing_smooth_qd_manual_bd,0,False,3e9ae22a-ae5a-469c-b30f-d74a6836c088,0,Prob015_multi_pipe_8bit,seed_1001,archive_cells.csv
RTLLM,0.0231070982361112,,2,-0.11396671548189051,,landing_smooth_qd_manual_bd,0,False,4a262145-f611-4e7b-8b48-257e8a68d06a,0,Prob015_multi_pipe_8bit,seed_1001,archive_cells.csv
RTLLM,-0.3178309522516159,-0.06679042305172367,1,-0.3178309522516159,-0.06679042305172367,landing_smooth_qd_manual_bd,1,True,6199715e-6daf-4e61-9d2a-6ee51b19dcf3,0,Prob015_multi_pipe_8bit,seed_1001,archive_cells.csv
RTLLM,-0.0718953277437869,,1,-0.0718953277437869,,landing_smooth_qd_manual_bd,0,False,74c080fa-630a-4e7c-bf72-cce9a54db811,0,Prob015_multi_pipe_8bit,seed_1001,archive_cells.csv
RTLLM,-0.336230300692171,,1,-0.336230300692171,,landing_smooth_qd_manual_bd,0,False,7fcdc976-0eaf-47c3-9145-8550cf0080cc,0,Prob015_multi_pipe_8bit,seed_1001,archive_cells.csv
RTLLM,-0.2706402480596779,-0.323434781050233,1,-0.2706402480596779,-0.323434781050233,landing_smooth_qd_manual_bd,1,True,9120c634-9c6e-401d-8680-e5e9df7a65ff,0,Prob015_multi_pipe_8bit,seed_1001,archive_cells.csv
RTLLM,-0.1557526579538328,-0.1829247968403505,1,-0.1557526579538328,-0.1829247968403505,landing_smooth_qd_manual_bd,1,True,9ff3d928-67e8-4b00-b6d2-5f68e850b3bd,0,Prob015_multi_pipe_8bit,seed_1001,archive_cells.csv
RTLLM,-0.2740841048245034,-0.21675553919759,1,-0.2740841048245034,-0.21675553919759,landing_smooth_qd_manual_bd,1,True,b6e4329d-3959-4c09-a0da-b2c2443fb971,0,Prob015_multi_pipe_8bit,seed_1001,archive_cells.csv
RTLLM,0.0524233377418543,,2,0.0036319949241036507,,landing_smooth_qd_manual_bd,0,False,d389ea24-9386-4420-b1a6-8f5cf0a9ca98,0,Prob015_multi_pipe_8bit,seed_1001,archive_cells.csv
RTLLM,-0.1600738584314163,,1,-0.1600738584314163,,landing_smooth_qd_manual_bd,0,False,de5fbc5f-535c-44ac-b206-6186fffe0226,0,Prob015_multi_pipe_8bit,seed_1001,archive_cells.csv
RTLLM,0.0610503661511321,,2,0.0295196023979694,,landing_smooth_qd_manual_bd,0,False,ea6ba62d-6d19-47ae-a57f-b44540cf4559,0,Prob015_multi_pipe_8bit,seed_1001,archive_cells.csv
RTLLM,-0.0573285656269134,,1,-0.0573285656269134,,landing_smooth_qd_manual_bd,0,False,f02a8aa8-813a-47c3-bf78-5c47b4c367cf,0,Prob015_multi_pipe_8bit,seed_1001,archive_cells.csv
RTLLM,-0.1600738584314163,-0.004321200477583498,2,-0.2066275073232073,-0.0508748493693745,landing_smooth_qd_manual_bd,2,True,f598882a-eef9-43e8-ab3d-3e0383221ec8,0,Prob015_multi_pipe_8bit,seed_1001,archive_cells.csv
RTLLM,0.5002335522886039,-0.18326347617558125,4,0.3974165884683557,-0.28608043999582944,landing_smooth_qd_manual_bd,4,True,05bb96de-9c27-45de-8811-2537a57a05ea,0,Prob024_fsm,seed_1001,archive_cells.csv
RTLLM,-0.2518121155249713,-0.8757043061203211,1,-0.2518121155249713,-0.8757043061203211,landing_smooth_qd_manual_bd,1,True,3da3d9db-5aaf-46e8-86e0-bace702be92e,0,Prob024_fsm,seed_1001,archive_cells.csv
RTLLM,0.6834970284641851,0.017370451464915115,3,0.6437604698849616,-0.02236610711430842,landing_smooth_qd_manual_bd,2,True,69818fb7-d721-4871-b328-afef766b90e5,1,Prob024_fsm,seed_1001,archive_cells.csv
