column_count,file_kind,generation_nonempty_cells,lineage_columns,lineage_edge_count,lineage_field_counts,lineage_nonempty_cells,operator_nonempty_cells,path,read_error,read_status,record_count,relative_path,root
261,generation_log,21,[],0,{},0,76,/workspace/exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob001_accu/generation_log.jsonl,,ok,21,deepseek_clean_results/RTLLM/Prob001_accu/generation_log.jsonl,/workspace/exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp
261,generation_log,21,[],0,{},0,181,/workspace/exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob002_adder_16bit/generation_log.jsonl,,ok,21,deepseek_clean_results/RTLLM/Prob002_adder_16bit/generation_log.jsonl,/workspace/exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp
286,generation_log,21,[],0,{},0,123,/workspace/exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob003_adder_32bit/generation_log.jsonl,,ok,21,deepseek_clean_results/RTLLM/Prob003_adder_32bit/generation_log.jsonl,/workspace/exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp
281,generation_log,21,[],0,{},0,156,/workspace/exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob004_adder_8bit/generation_log.jsonl,,ok,21,deepseek_clean_results/RTLLM/Prob004_adder_8bit/generation_log.jsonl,/workspace/exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp
261,generation_log,21,[],0,{},0,155,/workspace/exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob005_adder_bcd/generation_log.jsonl,,ok,21,deepseek_clean_results/RTLLM/Prob005_adder_bcd/generation_log.jsonl,/workspace/exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp
77,generation_log,21,[],0,{},0,0,/workspace/exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob006_adder_pipe_64bit/generation_log.jsonl,,ok,21,deepseek_clean_results/RTLLM/Prob006_adder_pipe_64bit/generation_log.jsonl,/workspace/exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp
259,generation_log,21,[],0,{},0,205,/workspace/exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob007_comparator_3bit/generation_log.jsonl,,ok,21,deepseek_clean_results/RTLLM/Prob007_comparator_3bit/generation_log.jsonl,/workspace/exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp
270,generation_log,21,[],0,{},0,194,/workspace/exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob008_comparator_4bit/generation_log.jsonl,,ok,21,deepseek_clean_results/RTLLM/Prob008_comparator_4bit/generation_log.jsonl,/workspace/exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp
287,generation_log,21,[],0,{},0,103,/workspace/exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob009_div_16bit/generation_log.jsonl,,ok,21,deepseek_clean_results/RTLLM/Prob009_div_16bit/generation_log.jsonl,/workspace/exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp
77,generation_log,21,[],0,{},0,0,/workspace/exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob010_radix2_div/generation_log.jsonl,,ok,21,deepseek_clean_results/RTLLM/Prob010_radix2_div/generation_log.jsonl,/workspace/exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp
