method_name,seed,problem_id,budget_fraction,candidate_count,valid_ppa_count,valid_ppa_rate,unique_canonical_netlists,canonical_duplicate_count,unique_motif_signatures,occupied_internal_cells,occupied_common_audit_cells,pareto_size,best_fitness
sr_random_relu_pca_qd,1001,RTLLM/Prob004_adder_8bit,0.25,30,9,0.3,6,3,3,3,3,4,0.38154412826809186
sr_random_relu_pca_qd,1001,RTLLM/Prob004_adder_8bit,0.5,60,36,0.6,15,21,8,13,4,13,0.38154412826809186
sr_random_relu_pca_qd,1001,RTLLM/Prob004_adder_8bit,0.75,90,55,0.6111111111111112,23,32,11,15,4,18,0.38154412826809186
sr_random_relu_pca_qd,1001,RTLLM/Prob004_adder_8bit,1.0,120,72,0.6,32,40,14,16,4,20,0.38154412826809186
sr_random_relu_pca_qd,1001,RTLLM/Prob015_multi_pipe_8bit,0.25,30,10,0.3333333333333333,10,0,8,9,2,3,0.0722619038380739
sr_random_relu_pca_qd,1001,RTLLM/Prob015_multi_pipe_8bit,0.5,60,19,0.31666666666666665,18,1,16,14,3,8,0.07516895943015156
sr_random_relu_pca_qd,1001,RTLLM/Prob015_multi_pipe_8bit,0.75,90,29,0.32222222222222224,26,3,22,17,3,13,0.07516895943015156
sr_random_relu_pca_qd,1001,RTLLM/Prob015_multi_pipe_8bit,1.0,120,44,0.36666666666666664,41,3,32,21,3,17,0.10149427797627829
sr_random_relu_pca_qd,1001,RTLLM/Prob024_fsm,0.25,30,5,0.16666666666666666,4,1,3,5,1,1,0.4700708998018976
sr_random_relu_pca_qd,1001,RTLLM/Prob024_fsm,0.5,60,11,0.18333333333333332,6,5,4,11,1,2,0.4700708998018976
sr_random_relu_pca_qd,1001,RTLLM/Prob024_fsm,0.75,90,15,0.16666666666666666,8,7,5,12,2,2,0.4700708998018976
sr_random_relu_pca_qd,1001,RTLLM/Prob024_fsm,1.0,120,18,0.15,11,7,8,13,5,1,0.6834970284641851
sr_random_relu_pca_qd,1001,RTLLM/Prob037_parallel2serial,0.25,30,13,0.43333333333333335,6,7,3,13,3,12,-0.0
sr_random_relu_pca_qd,1001,RTLLM/Prob037_parallel2serial,0.5,60,16,0.26666666666666666,9,7,4,14,4,15,0.00886109067124523
sr_random_relu_pca_qd,1001,RTLLM/Prob037_parallel2serial,0.75,90,23,0.25555555555555554,15,8,7,14,5,2,0.06325075627503886
sr_random_relu_pca_qd,1001,RTLLM/Prob037_parallel2serial,1.0,120,33,0.275,19,14,9,15,5,5,0.06325075627503886
sr_random_relu_pca_qd,1001,RTLLM/Prob041_traffic_light,0.25,30,7,0.23333333333333334,7,0,7,7,3,2,0.40382050351004595
sr_random_relu_pca_qd,1001,RTLLM/Prob041_traffic_light,0.5,60,18,0.3,18,0,18,13,3,3,0.4508484628419269
sr_random_relu_pca_qd,1001,RTLLM/Prob041_traffic_light,0.75,90,29,0.32222222222222224,28,1,25,20,4,4,0.4508484628419269
sr_random_relu_pca_qd,1001,RTLLM/Prob041_traffic_light,1.0,120,41,0.3416666666666667,37,4,33,22,4,5,0.4508484628419269
sr_random_relu_pca_qd,1001,RTLLM/Prob045_alu,0.25,30,12,0.4,11,1,11,11,2,3,0.38156120638675345
sr_random_relu_pca_qd,1001,RTLLM/Prob045_alu,0.5,60,22,0.36666666666666664,21,1,21,18,2,2,0.40470701097312567
sr_random_relu_pca_qd,1001,RTLLM/Prob045_alu,0.75,90,42,0.4666666666666667,40,2,40,24,2,3,0.4105877192982456
sr_random_relu_pca_qd,1001,RTLLM/Prob045_alu,1.0,120,68,0.5666666666666667,64,4,62,29,2,4,0.4105877192982456
sr_random_relu_pca_qd,1001,RTLLM/Prob049_signal_generator,0.25,30,18,0.6,3,15,1,15,1,18,0.23477469440256318
sr_random_relu_pca_qd,1001,RTLLM/Prob049_signal_generator,0.5,60,29,0.48333333333333334,10,19,3,17,2,26,0.25984938304829974
sr_random_relu_pca_qd,1001,RTLLM/Prob049_signal_generator,0.75,90,42,0.4666666666666667,12,30,3,17,2,35,0.25984938304829974
sr_random_relu_pca_qd,1001,RTLLM/Prob049_signal_generator,1.0,120,53,0.44166666666666665,13,40,3,18,2,45,0.25984938304829974
sr_random_relu_pca_qd,1001,VerilogEval-Spec-to-RTL/Prob098_circuit7,0.25,30,13,0.43333333333333335,3,10,2,10,2,3,0.01200564971751411
sr_random_relu_pca_qd,1001,VerilogEval-Spec-to-RTL/Prob098_circuit7,0.5,60,20,0.3333333333333333,3,17,2,10,2,5,0.01200564971751411
sr_random_relu_pca_qd,1001,VerilogEval-Spec-to-RTL/Prob098_circuit7,0.75,90,28,0.3111111111111111,3,25,2,10,2,9,0.01200564971751411
sr_random_relu_pca_qd,1001,VerilogEval-Spec-to-RTL/Prob098_circuit7,1.0,120,39,0.325,5,34,3,10,2,13,0.01200564971751411
sr_random_relu_pca_qd,1001,VerilogEval-Spec-to-RTL/Prob116_m2014_q3,0.25,30,14,0.4666666666666667,9,5,6,11,3,7,0.46535233160621764
sr_random_relu_pca_qd,1001,VerilogEval-Spec-to-RTL/Prob116_m2014_q3,0.5,60,24,0.4,11,13,7,11,3,12,0.46535233160621764
sr_random_relu_pca_qd,1001,VerilogEval-Spec-to-RTL/Prob116_m2014_q3,0.75,90,37,0.4111111111111111,12,25,7,11,3,18,0.46535233160621764
sr_random_relu_pca_qd,1001,VerilogEval-Spec-to-RTL/Prob116_m2014_q3,1.0,120,43,0.35833333333333334,14,29,7,11,3,20,0.46535233160621764
sr_random_relu_pca_qd,1001,VerilogEval-Spec-to-RTL/Prob135_m2014_q6b,0.25,30,20,0.6666666666666666,6,14,3,13,1,6,0.2636173393124066
sr_random_relu_pca_qd,1001,VerilogEval-Spec-to-RTL/Prob135_m2014_q6b,0.5,60,47,0.7833333333333333,8,39,4,17,2,1,0.26414050822122576
sr_random_relu_pca_qd,1001,VerilogEval-Spec-to-RTL/Prob135_m2014_q6b,0.75,90,74,0.8222222222222222,8,66,4,17,2,1,0.26414050822122576
sr_random_relu_pca_qd,1001,VerilogEval-Spec-to-RTL/Prob135_m2014_q6b,1.0,120,99,0.825,8,91,4,17,2,1,0.26414050822122576
sr_random_relu_pca_qd,1001,VerilogEval-Spec-to-RTL/Prob150_review2015_fsmonehot,0.25,30,10,0.3333333333333333,4,6,1,5,1,8,0.32968627450980387
sr_random_relu_pca_qd,1001,VerilogEval-Spec-to-RTL/Prob150_review2015_fsmonehot,0.5,60,30,0.5,10,20,3,11,2,1,0.32973529411764707
sr_random_relu_pca_qd,1001,VerilogEval-Spec-to-RTL/Prob150_review2015_fsmonehot,0.75,90,40,0.4444444444444444,12,28,3,11,2,2,0.32973529411764707
sr_random_relu_pca_qd,1001,VerilogEval-Spec-to-RTL/Prob150_review2015_fsmonehot,1.0,120,57,0.475,14,43,4,11,2,2,0.32973529411764707
sr_random_relu_pca_qd,1001,VerilogEval-Spec-to-RTL/Prob151_review2015_fsm,0.25,30,4,0.13333333333333333,2,2,2,4,2,3,-0.3812961833096061
sr_random_relu_pca_qd,1001,VerilogEval-Spec-to-RTL/Prob151_review2015_fsm,0.5,60,9,0.15,6,3,6,9,2,1,-0.1682379887077873
sr_random_relu_pca_qd,1001,VerilogEval-Spec-to-RTL/Prob151_review2015_fsm,0.75,90,14,0.15555555555555556,9,5,9,13,2,3,-0.1682379887077873
sr_random_relu_pca_qd,1001,VerilogEval-Spec-to-RTL/Prob151_review2015_fsm,1.0,120,17,0.14166666666666666,11,6,11,14,2,4,-0.1682379887077873
sr_random_relu_pca_qd,1001,VerilogEval-Spec-to-RTL/Prob153_gshare,0.25,30,12,0.4,8,4,8,11,3,4,0.13560291914358902
sr_random_relu_pca_qd,1001,VerilogEval-Spec-to-RTL/Prob153_gshare,0.5,60,19,0.31666666666666665,11,8,11,13,3,3,0.1796310515178832
sr_random_relu_pca_qd,1001,VerilogEval-Spec-to-RTL/Prob153_gshare,0.75,90,23,0.25555555555555554,15,8,15,16,3,3,0.1796310515178832
sr_random_relu_pca_qd,1001,VerilogEval-Spec-to-RTL/Prob153_gshare,1.0,120,32,0.26666666666666666,22,10,22,16,3,6,0.1796310515178832
sr_random_relu_pca_qd,1002,RTLLM/Prob004_adder_8bit,0.25,30,10,0.3333333333333333,9,1,5,7,3,2,0.38154412826809186
sr_random_relu_pca_qd,1002,RTLLM/Prob004_adder_8bit,0.5,60,28,0.4666666666666667,19,9,11,13,4,7,0.38154412826809186
