method_name,seed,operator_name,candidate_count,valid_ppa_count,valid_ppa_rate,unique_canonical_netlists,occupied_common_audit_cells,best_fitness,mean_fitness
sr_random_relu_pca_qd,1001,C-D,176,110,0.625,80,14,0.46535233160621764,0.17719128141480453
sr_random_relu_pca_qd,1001,C-F,157,90,0.5732484076433121,38,7,0.4091480714895854,0.2216834810425989
sr_random_relu_pca_qd,1001,M-E,304,92,0.3026315789473684,65,12,0.6834970284641851,0.19941782355085588
sr_random_relu_pca_qd,1001,M-F,244,73,0.29918032786885246,43,9,0.49167240120946715,0.26294016401821657
sr_random_relu_pca_qd,1001,M-I,79,35,0.4430379746835443,21,7,0.40595229647151587,0.2517079245023536
sr_random_relu_pca_qd,1001,M-R,82,33,0.4024390243902439,23,5,0.4075973125698141,0.14976267992229936
sr_random_relu_pca_qd,1001,M-S,76,30,0.39473684210526316,22,7,0.40601662395689603,0.18771241534170496
sr_random_relu_pca_qd,1001,M-T,76,37,0.4868421052631579,30,10,0.46535233160621764,0.2130821588609524
sr_random_relu_pca_qd,1001,initial,366,116,0.31693989071038253,66,13,0.4700708998018976,0.1422401184415871
sr_random_relu_pca_qd,1002,C-D,185,132,0.7135135135135136,97,13,0.6834970284641851,0.20609311839539146
sr_random_relu_pca_qd,1002,C-F,171,112,0.6549707602339181,32,9,0.39769805680119585,0.19028690704187787
sr_random_relu_pca_qd,1002,M-E,277,77,0.2779783393501805,63,13,0.6834970284641851,0.17288696208695387
sr_random_relu_pca_qd,1002,M-F,173,46,0.2658959537572254,30,8,0.5002335522886039,0.23929879759795833
sr_random_relu_pca_qd,1002,M-I,104,46,0.4423076923076923,25,12,0.46535233160621764,0.17240309752494973
sr_random_relu_pca_qd,1002,M-R,114,41,0.35964912280701755,30,8,0.46535233160621764,0.1745490994128535
sr_random_relu_pca_qd,1002,M-S,95,43,0.45263157894736844,26,9,0.46535233160621764,0.1572414658767703
sr_random_relu_pca_qd,1002,M-T,79,36,0.45569620253164556,31,11,0.6384850380565114,0.22310177217439575
sr_random_relu_pca_qd,1002,initial,362,105,0.2900552486187845,61,9,0.4700708998018976,0.18267617892139373
sr_random_relu_pca_qd,1003,C-D,145,106,0.7310344827586207,85,14,0.5002335522886039,0.20821914464119903
sr_random_relu_pca_qd,1003,C-F,223,148,0.6636771300448431,56,10,0.46535233160621764,0.31185769505538413
sr_random_relu_pca_qd,1003,M-E,258,92,0.35658914728682173,72,13,0.6834970284641851,0.17937932424134387
sr_random_relu_pca_qd,1003,M-F,195,65,0.3333333333333333,43,10,0.6834970284641851,0.22407727107369524
sr_random_relu_pca_qd,1003,M-I,109,34,0.3119266055045872,23,7,0.42087509077705154,0.16588212422825174
sr_random_relu_pca_qd,1003,M-R,112,25,0.22321428571428573,22,5,0.46535233160621764,0.26595414824919555
sr_random_relu_pca_qd,1003,M-S,113,43,0.3805309734513274,26,5,0.46535233160621764,0.14206761791621936
sr_random_relu_pca_qd,1003,M-T,75,38,0.5066666666666667,33,10,0.46959128349494317,0.21426688908059371
sr_random_relu_pca_qd,1003,initial,330,101,0.30606060606060603,50,10,0.46535233160621764,0.17412059265423838
synthesis_trajectory_nod,1001,C-D,151,114,0.7549668874172185,69,15,0.6316181837138983,0.20000990466208796
synthesis_trajectory_nod,1001,C-F,120,76,0.6333333333333333,23,7,0.26025712884096003,0.07995414361291377
synthesis_trajectory_nod,1001,M-E,312,99,0.3173076923076923,68,12,0.6834970284641851,0.18216517053937825
synthesis_trajectory_nod,1001,M-F,274,114,0.41605839416058393,70,9,0.6834970284641851,0.23709411534733854
synthesis_trajectory_nod,1001,M-I,109,41,0.3761467889908257,25,9,0.3969084628670121,0.20269974537844232
synthesis_trajectory_nod,1001,M-R,91,29,0.31868131868131866,20,9,0.3969084628670121,0.1951767148123935
synthesis_trajectory_nod,1001,M-S,93,41,0.44086021505376344,25,10,0.468610906712452,0.1308547430602188
synthesis_trajectory_nod,1001,M-T,60,33,0.55,24,10,0.4653419689119171,0.2658258311056949
synthesis_trajectory_nod,1001,initial,350,105,0.3,55,10,0.46535233160621764,0.16131052515307037
