corpus,benchmark,problem,candidate_id,generation,operator,rtl_path,canonical_netlist_hash,normalized_rtl_sha256,area,power,eff_clk_period,fitness,rtl_chars,sample_text_chars
rtllm_gen20,RTLLM,Prob001_accu,d68314ae-23e8-464f-8760-77c18a310bf3,0,initial,/aux/revolution-history/exp/ablation_pop10_gen20_20260212_115506/revolution/_models_openai-gpt-oss-120b/RTLLM/Prob001_accu/Gen0/Prob001_accu_sample10_initial/code.sv,d30b03465884b42082a5ac6b2c23c41c3bda7ad80207a95b1838f6e44d452c62,0e12922d8e1caa9c4509875d806b3e4b56f254ea7317e49d0f6331b6923080ab,248.0,0.0566,0.49,-0.11755287166011123,1398,1398
rtllm_gen20,RTLLM,Prob001_accu,5aa56c67-25dc-4d2d-b61f-6be20024fbf7,0,initial,/aux/revolution-history/exp/ablation_pop10_gen20_20260212_115506/revolution/_models_openai-gpt-oss-120b/RTLLM/Prob001_accu/Gen0/Prob001_accu_sample9_initial/code.sv,129e480d684cd73d4aadf0d663b3adf04323b3789a1b3530d4d0075d8fc971bd,e71455c2cab935840c9ef379c5040167f0d9d872691d1c154effb0220418b63e,245.0,0.057,0.49,-0.11516627241487327,1362,1362
rtllm_gen20,RTLLM,Prob001_accu,d8913b62-8c8d-4123-9434-66d447c2c35f,1,M-R,/aux/revolution-history/exp/ablation_pop10_gen20_20260212_115506/revolution/_models_openai-gpt-oss-120b/RTLLM/Prob001_accu/Gen1/Prob001_accu_sample5_M-R/code.sv,62dc5cd359ceef415592932aeb808e3a45b37c18ac99196cd7e1c7eb369c239c,0fe2fcfd5222c49066a2beb3199bc7fc0096e2998e7d1de72edf04d8da608946,242.0,0.0569,0.49,-0.1092184196083817,1421,1421
auto_bd_standard_results,RTLLM,Prob004_adder_8bit,682fa792-c8a4-4ca0-a9fa-70c1b0fa883a,1,M-R,/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3/classic_revolution/seed_1001/revolution/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit/Gen1/Prob004_adder_8bit_sample10_M-R/code.sv,087bc897539b46101c6844779653e6ed59ff43a729d3bc9a9982bab98849650f,,46.0,3.1e-05,0.0,0.3299003322259136,907,907
auto_bd_standard_results,RTLLM,Prob004_adder_8bit,52d88106-fa05-4a80-86e0-c32de165458c,1,M-I,/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3/classic_revolution/seed_1001/revolution/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit/Gen1/Prob004_adder_8bit_sample11_M-I/code.sv,46e8d9b576818818e306c814920b5820be988552c4a88b6ea980faff761b4401,,39.0,2.27e-05,0.0,0.38154412826809186,521,521
auto_bd_standard_results,RTLLM,Prob004_adder_8bit,d8ac4d9c-41bb-445c-8ef8-83e2ae4a3d32,1,M-S,/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3/classic_revolution/seed_1001/revolution/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit/Gen1/Prob004_adder_8bit_sample12_M-S/code.sv,46e8d9b576818818e306c814920b5820be988552c4a88b6ea980faff761b4401,,39.0,2.27e-05,0.0,0.38154412826809186,554,554
auto_bd_standard_results,VerilogEval-Spec-to-RTL,Prob098_circuit7,4c5ed487-62f2-49f7-9344-7238fab7035b,0,initial,/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3/classic_revolution/seed_1001/revolution/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob098_circuit7/Gen0/Prob098_circuit7_sample10_initial/code.sv,e57a179d40657eab1c9d34013069ebc37b37e3e4e70a23aed4924746d23bf028,,5.0,0.000472,0.0,-0.0,198,198
auto_bd_standard_results,VerilogEval-Spec-to-RTL,Prob098_circuit7,40d47b53-7638-4d5d-95a5-a9ca73a32808,0,initial,/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3/classic_revolution/seed_1001/revolution/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob098_circuit7/Gen0/Prob098_circuit7_sample12_initial/code.sv,efd02d1db31dde625c2e48f0ce944216cc292b95cb1f9c9f500b12f919502e80,,5.0,0.000455,0.0,0.01200564971751411,185,185
auto_bd_standard_results,VerilogEval-Spec-to-RTL,Prob098_circuit7,00c7ec83-219e-46f7-b227-ea81e5652553,0,initial,/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3/classic_revolution/seed_1001/revolution/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob098_circuit7/Gen0/Prob098_circuit7_sample13_initial/code.sv,e57a179d40657eab1c9d34013069ebc37b37e3e4e70a23aed4924746d23bf028,,5.0,0.000472,0.0,-0.0,134,134
aspdac2026_release,RTLLM,Prob001_accu,dc3822c5-88fc-4cb7-a5dc-174a4b777322,0,initial,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob001_accu/Gen0/Prob001_accu_initial_sample1.sv,,63414cbfa3eac1d56ec621dbc66d4fe5a01dc847dfe7fa7b6a6645f2ed7a4907,242.0,0.0569,0.49,-0.1092184196083817,1190,1190
aspdac2026_release,RTLLM,Prob001_accu,373fd82a-98f9-4274-8c59-1e02550e0bfb,0,initial,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob001_accu/Gen0/Prob001_accu_initial_sample10.sv,,cefd574bb601e9ef762e6c7f7be3848cdd3a449a2a59f31c900676bb4010ca33,242.0,0.0569,0.49,-0.1092184196083817,1217,1217
aspdac2026_release,RTLLM,Prob001_accu,44554646-006f-4ea3-8fac-b456771a1651,0,initial,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob001_accu/Gen0/Prob001_accu_initial_sample2.sv,,7870eb266b86f7d025eec2e850eefe4cb3da2fdb7bb75451cebb86e51d92f6d2,242.0,0.0569,0.49,-0.1092184196083817,1253,1253
aspdac2026_release,VerilogEval-Spec-to-RTL,Prob001_zero,8d7983ac-d9d0-499c-8f70-f33aee2df68f,1,C-F,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob001_zero/Gen1/Prob001_zero_C-F_sample6.sv,,579c73f40cf7e426ef84783e022ef3849de8ba708ee33c143eb028e288a8805a,1.0,2.36e-08,0.0,-0.0,123,123
aspdac2026_release,VerilogEval-Spec-to-RTL,Prob001_zero,1bb11adb-f816-42a4-8421-da3621d1bed5,1,M-E,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob001_zero/Gen1/Prob001_zero_M-E_sample2.sv,,16f01505595a02a5b626133bba7d94c13c29d1e377d69e4f2cb48670d599e4ea,1.0,2.36e-08,0.0,-0.0,255,255
aspdac2026_release,VerilogEval-Spec-to-RTL,Prob001_zero,b30e484c-e8a3-4f56-9d90-088082590af6,1,M-E,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob001_zero/Gen1/Prob001_zero_M-E_sample8.sv,,eacfae756fd6858d4530eb2dc777e52ab233a0df8e9c441cfced3c7cfa1dbe31,1.0,2.36e-08,0.0,-0.0,177,177
