split,representation,method_name,seed,problem_id,budget_fraction,novelty_parent_fraction,quality_floor,quality_floor_value,valid_ppa_count,selected_count,unique_canonical_netlists,unique_motif_signatures,occupied_common_audit_cells,pareto_size,best_fitness,mean_fitness
holdout,common_audit_z4,sr_random_relu_pca_qd,1001,RTLLM/Prob004_adder_8bit,1.0,0.0,prefix_median_valid_fitness,0.3299003322259136,72,18,2,1,1,18,0.38154412826809186,0.38154412826809186
holdout,common_audit_z4,sr_random_relu_pca_qd,1001,RTLLM/Prob004_adder_8bit,1.0,0.1,prefix_median_valid_fitness,0.3299003322259136,72,18,3,2,2,17,0.38154412826809186,0.37867502848797086
holdout,common_audit_z4,sr_random_relu_pca_qd,1001,RTLLM/Prob004_adder_8bit,1.0,0.25,prefix_median_valid_fitness,0.3299003322259136,72,18,4,3,2,16,0.38154412826809186,0.37826753013305087
holdout,common_audit_z4,sr_random_relu_pca_qd,1001,RTLLM/Prob004_adder_8bit,1.0,0.5,prefix_median_valid_fitness,0.3299003322259136,72,18,4,3,2,16,0.38154412826809186,0.37826753013305087
holdout,aurora_linear_ae3,sr_random_relu_pca_qd,1001,RTLLM/Prob004_adder_8bit,1.0,0.0,prefix_median_valid_fitness,0.3299003322259136,72,18,2,1,1,18,0.38154412826809186,0.38154412826809186
holdout,aurora_linear_ae3,sr_random_relu_pca_qd,1001,RTLLM/Prob004_adder_8bit,1.0,0.1,prefix_median_valid_fitness,0.3299003322259136,72,18,3,2,2,17,0.38154412826809186,0.37867502848797086
holdout,aurora_linear_ae3,sr_random_relu_pca_qd,1001,RTLLM/Prob004_adder_8bit,1.0,0.25,prefix_median_valid_fitness,0.3299003322259136,72,18,4,3,2,16,0.38154412826809186,0.37826753013305087
holdout,aurora_linear_ae3,sr_random_relu_pca_qd,1001,RTLLM/Prob004_adder_8bit,1.0,0.5,prefix_median_valid_fitness,0.3299003322259136,72,18,4,3,2,16,0.38154412826809186,0.37826753013305087
holdout,common_audit_z4,sr_random_relu_pca_qd,1001,RTLLM/Prob037_parallel2serial,1.0,0.0,prefix_median_valid_fitness,0.0,33,9,6,3,3,5,0.06325075627503886,0.029096012863488965
holdout,common_audit_z4,sr_random_relu_pca_qd,1001,RTLLM/Prob037_parallel2serial,1.0,0.1,prefix_median_valid_fitness,0.0,33,9,6,3,3,5,0.06325075627503886,0.029096012863488965
holdout,common_audit_z4,sr_random_relu_pca_qd,1001,RTLLM/Prob037_parallel2serial,1.0,0.25,prefix_median_valid_fitness,0.0,33,9,6,3,3,5,0.06325075627503886,0.029096012863488965
holdout,common_audit_z4,sr_random_relu_pca_qd,1001,RTLLM/Prob037_parallel2serial,1.0,0.5,prefix_median_valid_fitness,0.0,33,9,6,3,3,5,0.06325075627503886,0.029096012863488965
holdout,aurora_linear_ae3,sr_random_relu_pca_qd,1001,RTLLM/Prob037_parallel2serial,1.0,0.0,prefix_median_valid_fitness,0.0,33,9,6,3,3,5,0.06325075627503886,0.029096012863488965
