index,feature
0,rtl_line_count
1,rtl_assign_count
2,rtl_always_count
3,rtl_case_count
4,rtl_if_count
5,rtl_ternary_count
6,rtl_nonblocking_count
7,rtl_blocking_count
8,rtl_add_count
9,rtl_mul_count
10,rtl_wire_count
11,rtl_reg_count
12,rtl_comment_count
13,syntax_pass
14,functionality_pass
15,synthesis_pass
16,descriptor_0
17,descriptor_1
18,descriptor_2
19,descriptor_3
20,descriptor_4
21,motif_arith_ratio
22,motif_control_ratio
23,motif_diversity
24,motif_logic_ratio
25,style_arithmetic_additive
26,style_arithmetic_multiply
27,style_auto_bd_control
28,style_control_case
29,style_control_if
30,style_invalid_no_ppa
31,style_mux_ternary
32,style_other_structural
33,style_register_sequential
34,style_wire_assign
35,has_canonical_netlist_hash
36,has_motif_signature_hash
