benchmark,problem,classic_valid_ppa,qd_valid_ppa,reference_ppa_valid,comparison_status,classic_valid_ppa_count,qd_valid_ppa_count,valid_ppa_yield_status,reference_missing_reason
RTLLM,Prob001_accu,yes,yes,yes,headline,33,45,pass,
RTLLM,Prob002_adder_16bit,yes,yes,yes,headline,45,47,pass,
RTLLM,Prob003_adder_32bit,yes,yes,yes,headline,43,48,pass,
RTLLM,Prob004_adder_8bit,yes,yes,yes,headline,32,41,pass,
RTLLM,Prob005_adder_bcd,yes,yes,yes,headline,46,48,pass,
RTLLM,Prob006_adder_pipe_64bit,no,no,no,diagnostic_only,0,0,diagnostic_only,marked_missing
RTLLM,Prob007_comparator_3bit,yes,yes,yes,headline,47,48,pass,
RTLLM,Prob008_comparator_4bit,yes,yes,yes,headline,41,31,pass,
RTLLM,Prob009_div_16bit,yes,yes,yes,headline,39,42,pass,
RTLLM,Prob010_radix2_div,no,no,yes,candidate_missing,0,0,small_n,
RTLLM,Prob011_multi_16bit,yes,no,yes,candidate_missing,16,0,classic_covered_loss,
RTLLM,Prob012_multi_8bit,yes,yes,yes,headline,38,48,pass,
RTLLM,Prob013_multi_booth_8bit,yes,no,no,diagnostic_only,4,0,diagnostic_only,marked_missing
RTLLM,Prob014_multi_pipe_4bit,no,no,yes,candidate_missing,0,0,small_n,
RTLLM,Prob015_multi_pipe_8bit,yes,yes,yes,headline,22,6,yield_warning,
RTLLM,Prob016_fixed_point_adder,no,no,yes,candidate_missing,0,0,small_n,
RTLLM,Prob017_fixed_point_substractor,no,no,yes,candidate_missing,0,0,small_n,
RTLLM,Prob018_float_multi,yes,yes,no,diagnostic_only,13,7,diagnostic_only,marked_missing
RTLLM,Prob019_sub_64bit,yes,yes,yes,headline,43,48,pass,
RTLLM,Prob020_JC_counter,yes,yes,yes,headline,42,48,pass,
RTLLM,Prob021_counter_12,yes,yes,yes,headline,47,48,pass,
RTLLM,Prob022_ring_counter,no,no,yes,candidate_missing,0,0,small_n,
RTLLM,Prob023_up_down_counter,yes,yes,yes,headline,37,47,pass,
RTLLM,Prob024_fsm,yes,yes,yes,headline,12,19,pass,
RTLLM,Prob025_sequence_detector,yes,no,yes,candidate_missing,8,0,small_n,
RTLLM,Prob026_asyn_fifo,no,no,yes,candidate_missing,0,0,small_n,
RTLLM,Prob027_LIFObuffer,yes,no,yes,candidate_missing,41,0,classic_covered_loss,
RTLLM,Prob028_LFSR,no,no,yes,candidate_missing,0,0,small_n,
RTLLM,Prob029_barrel_shifter,no,no,yes,candidate_missing,0,0,small_n,
RTLLM,Prob030_right_shifter,yes,yes,yes,headline,32,48,pass,
RTLLM,Prob031_freq_div,yes,yes,yes,headline,21,45,pass,
RTLLM,Prob032_freq_divbyeven,no,no,yes,candidate_missing,0,0,small_n,
RTLLM,Prob033_freq_divbyfrac,no,no,yes,candidate_missing,0,0,small_n,
RTLLM,Prob034_freq_divbyodd,no,no,yes,candidate_missing,0,0,small_n,
RTLLM,Prob035_calendar,yes,yes,yes,headline,11,46,pass,
RTLLM,Prob036_edge_detect,yes,yes,yes,headline,31,47,pass,
RTLLM,Prob037_parallel2serial,yes,yes,yes,headline,14,19,pass,
RTLLM,Prob038_pulse_detect,yes,yes,yes,headline,1,1,small_n,
RTLLM,Prob039_serial2parallel,yes,no,yes,candidate_missing,2,0,small_n,
RTLLM,Prob040_synchronizer,yes,yes,no,diagnostic_only,46,48,diagnostic_only,marked_missing
RTLLM,Prob041_traffic_light,yes,yes,yes,headline,35,16,yield_warning,
RTLLM,Prob042_width_8to16,no,no,yes,candidate_missing,0,0,small_n,
RTLLM,Prob043_RAM,yes,yes,yes,headline,33,47,pass,
RTLLM,Prob044_ROM,yes,no,yes,candidate_missing,27,0,classic_covered_loss,
RTLLM,Prob045_alu,yes,no,yes,candidate_missing,27,0,classic_covered_loss,
RTLLM,Prob046_clkgenerator,no,no,yes,candidate_missing,0,0,small_n,
RTLLM,Prob047_instr_reg,yes,yes,yes,headline,35,46,pass,
RTLLM,Prob048_pe,yes,yes,yes,headline,18,48,pass,
RTLLM,Prob049_signal_generator,yes,yes,yes,headline,25,41,pass,
RTLLM,Prob050_square_wave,yes,yes,yes,headline,47,48,pass,
