backend,benchmark,problem,circuit_type,generation,candidate_id,strategy,source,score_from_run,ppa_score,area,power,eff_clk_period,ref_area,ref_power,ref_eff_clk_period,g_A,g_P,g_T,candidate_dir,report_path
aurora_raw_impl_compact_delayed_8x5,RTLLM,Prob001_accu,sequential,3,d3397382-f34a-4e0b-82f5-20c3ce6f6e25,single_thought_operator,generation_log,0.00417487703099,0.00417487703099,226,0.0449,0.49,191,0.0468,0.58,-0.183246073298,0.0405982905983,0.155172413793,/workspace/exp/useful_bd_push/rtllm_full_suite_20260629/live/aurora_raw_impl_compact_delayed_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen3/Prob001_accu_sample1_single_thought_operator,
aurora_raw_impl_compact_delayed_8x5,RTLLM,Prob002_adder_16bit,combinational,0,081b82f8-3c1d-42e2-b6e0-951647171662,initial,generation_log,0.399902150835,0.599853226253,73,4.28e-05,0,92,0.00628,0,0.20652173913,0.993184713376,0,/workspace/exp/useful_bd_push/rtllm_full_suite_20260629/live/aurora_raw_impl_compact_delayed_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit/Gen0/Prob002_adder_16bit_sample1_initial,
aurora_raw_impl_compact_delayed_8x5,RTLLM,Prob003_adder_32bit,combinational,0,33c0a2e7-f3ae-4f97-891a-c25653d13c95,initial,generation_log,0.557887684966,0.836831527449,137,7.97e-05,0,423,0.0324,0,0.676122931442,0.997540123457,0,/workspace/exp/useful_bd_push/rtllm_full_suite_20260629/live/aurora_raw_impl_compact_delayed_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob003_adder_32bit/Gen0/Prob003_adder_32bit_sample4_initial,
aurora_raw_impl_compact_delayed_8x5,RTLLM,Prob004_adder_8bit,combinational,3,92eb76dc-af3d-4841-9c75-09f7f422f1ae,single_thought_operator,generation_log,0.381544128268,0.572316192402,39,2.27e-05,0,46,0.00301,0,0.152173913043,0.992458471761,0,/workspace/exp/useful_bd_push/rtllm_full_suite_20260629/live/aurora_raw_impl_compact_delayed_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit/Gen3/Prob004_adder_8bit_sample1_single_thought_operator,
aurora_raw_impl_compact_delayed_8x5,RTLLM,Prob005_adder_bcd,combinational,0,f2869989-633a-4039-a393-44811afac06f,initial,generation_log,0.396983075791,0.595474613687,36,4.1e-05,0,45,0.00453,0,0.2,0.990949227373,0,/workspace/exp/useful_bd_push/rtllm_full_suite_20260629/live/aurora_raw_impl_compact_delayed_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob005_adder_bcd/Gen0/Prob005_adder_bcd_sample3_initial,
aurora_raw_impl_compact_delayed_8x5,RTLLM,Prob007_comparator_3bit,combinational,0,8e86a95b-cb07-481d-9310-9f9eebd68b38,initial,generation_log,0.329833503228,0.494750254842,17,1.03e-05,0,17,0.000981,0,0,0.989500509684,0,/workspace/exp/useful_bd_push/rtllm_full_suite_20260629/live/aurora_raw_impl_compact_delayed_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob007_comparator_3bit/Gen0/Prob007_comparator_3bit_sample1_initial,
aurora_raw_impl_compact_delayed_8x5,RTLLM,Prob008_comparator_4bit,combinational,0,863eb488-be60-4cd4-95df-37848f9bc7db,initial,generation_log,0.432043434343,0.648065151515,23,1.38e-05,0,33,0.002,0,0.30303030303,0.9931,0,/workspace/exp/useful_bd_push/rtllm_full_suite_20260629/live/aurora_raw_impl_compact_delayed_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob008_comparator_4bit/Gen0/Prob008_comparator_4bit_sample8_initial,
aurora_raw_impl_compact_delayed_8x5,RTLLM,Prob009_div_16bit,combinational,3,6c683591-ec42-4a46-95bb-17317eb253ee,single_thought_operator,generation_log,0.528984126984,0.793476190476,2130,0.0837,0,6390,1.05,0,0.666666666667,0.920285714286,0,/workspace/exp/useful_bd_push/rtllm_full_suite_20260629/live/aurora_raw_impl_compact_delayed_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob009_div_16bit/Gen3/Prob009_div_16bit_sample3_single_thought_operator,
aurora_raw_impl_compact_delayed_8x5,RTLLM,Prob011_multi_16bit,sequential,1,62f01ef0-8f91-4fd9-a3d8-486d9a9f33bb,single_thought_operator,generation_log,0.188787437944,0.188787437944,1112,0.0839,1.07,1064,0.18,1.16,-0.0451127819549,0.533888888889,0.0775862068966,/workspace/exp/useful_bd_push/rtllm_full_suite_20260629/live/aurora_raw_impl_compact_delayed_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob011_multi_16bit/Gen1/Prob011_multi_16bit_sample3_single_thought_operator,
aurora_raw_impl_compact_delayed_8x5,RTLLM,Prob012_multi_8bit,combinational,0,e5055f95-7f54-434b-94b1-4206df6d0e80,initial,generation_log,0.308002181587,0.46200327238,631,0.00153,0,596,0.0886,0,-0.0587248322148,0.982731376975,0,/workspace/exp/useful_bd_push/rtllm_full_suite_20260629/live/aurora_raw_impl_compact_delayed_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob012_multi_8bit/Gen0/Prob012_multi_8bit_sample1_initial,
