method_key,problem,hypervolume,hv_delta_vs_classic,hv_auc,hv_auc_delta_vs_classic,valid_ppa_count,pareto_point_count,reference_beating_count
classic_revolution_8x5,Prob001_accu,0,0,0,0,12,2,0
classic_revolution_8x5,Prob002_adder_16bit,0.205114234284,0,0.205114234284,0,12,1,3
classic_revolution_8x5,Prob003_adder_32bit,0.674459752503,0,0.674459752503,0,19,1,18
classic_revolution_8x5,Prob004_adder_8bit,0.151026289181,0,0.135923660262,0,7,1,2
classic_revolution_8x5,Prob005_adder_bcd,0.198189845475,0,0.198189845475,0,13,1,7
classic_revolution_8x5,Prob007_comparator_3bit,0.058316843557,0,0.0524851592013,0,15,1,3
classic_revolution_8x5,Prob008_comparator_4bit,0.361618181818,0,0.343443030303,0,17,1,14
classic_revolution_8x5,Prob009_div_16bit,0.712866979656,0,0.699626770996,0,30,4,30
classic_revolution_8x5,Prob010_radix2_div,0,0,0,0,0,0,0
classic_revolution_8x5,Prob011_multi_16bit,0,0,0,0,13,5,0
classic_revolution_8x5,Prob012_multi_8bit,0.38656854576,0,0.347911691184,0,4,1,3
classic_revolution_8x5,Prob014_multi_pipe_4bit,0,0,0,0,0,0,0
classic_revolution_8x5,Prob015_multi_pipe_8bit,0,0,0,0,21,9,0
classic_revolution_8x5,Prob016_fixed_point_adder,0,0,0,0,0,0,0
classic_revolution_8x5,Prob017_fixed_point_substractor,0,0,0,0,0,0,0
classic_revolution_8x5,Prob019_sub_64bit,0.44993695574,0,0.314955869018,0,13,1,5
classic_revolution_8x5,Prob020_JC_counter,0,0,0,0,5,1,0
classic_revolution_8x5,Prob021_counter_12,0,0,0,0,7,4,0
classic_revolution_8x5,Prob022_ring_counter,0,0,0,0,0,0,0
classic_revolution_8x5,Prob023_up_down_counter,0,0,0,0,3,3,0
classic_revolution_8x5,Prob024_fsm,0.145667813575,0,0.0864529246169,0,10,2,6
classic_revolution_8x5,Prob025_sequence_detector,0.043389639318,0,0.0303727475227,0,8,2,1
classic_revolution_8x5,Prob026_asyn_fifo,0,0,0,0,0,0,0
classic_revolution_8x5,Prob027_LIFObuffer,0.00601642379725,0,0.00523598335556,0,22,8,5
classic_revolution_8x5,Prob028_LFSR,0,0,0,0,0,0,0
classic_revolution_8x5,Prob029_barrel_shifter,0,0,0,0,0,0,0
classic_revolution_8x5,Prob030_right_shifter,0,0,0,0,3,1,0
classic_revolution_8x5,Prob031_freq_div,0.0835529061103,0,0.0488345752608,0,6,1,5
classic_revolution_8x5,Prob032_freq_divbyeven,0,0,0,0,0,0,0
classic_revolution_8x5,Prob033_freq_divbyfrac,0,0,0,0,0,0,0
classic_revolution_8x5,Prob034_freq_divbyodd,0,0,0,0,0,0,0
classic_revolution_8x5,Prob035_calendar,0,0,0,0,4,2,1
classic_revolution_8x5,Prob036_edge_detect,0.355889724311,0,0.314341409078,0,8,1,4
classic_revolution_8x5,Prob037_parallel2serial,0.104652113482,0,0.0361442236939,0,11,1,3
classic_revolution_8x5,Prob038_pulse_detect,0.0210287013356,0,0.0105143506678,0,1,1,1
classic_revolution_8x5,Prob039_serial2parallel,0,0,0,0,2,1,0
classic_revolution_8x5,Prob041_traffic_light,0.298662309368,0,0.230456318083,0,29,3,26
classic_revolution_8x5,Prob042_width_8to16,0,0,0,0,0,0,0
classic_revolution_8x5,Prob043_RAM,0.0972335945772,0,0.0798662761583,0,9,4,9
classic_revolution_8x5,Prob044_ROM,0,0,0,0,3,2,1
classic_revolution_8x5,Prob045_alu,0.231791476444,0,0.203564393456,0,27,2,27
classic_revolution_8x5,Prob046_clkgenerator,0,0,0,0,0,0,0
