backend,benchmark,problem,objective_count,candidate_count,pareto_point_count,hypervolume,reference_beating_count,best_area_improvement,best_power_improvement,best_period_improvement,problem_dir
classic_revolution_8x5,RTLLM,Prob001_accu,3,9,2,0.0,0,-0.28272251308900526,0.420940170940171,0.1551724137931034,/workspace/exp/useful_bd_push/rtllm_full_suite_20260630/live/full/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu
pcn_v3_rf_stagnation_memory_8x5,RTLLM,Prob001_accu,3,9,3,0.0,0,-0.28272251308900526,0.420940170940171,0.1551724137931034,/workspace/exp/useful_bd_push/rtllm_full_suite_20260630/live/full/pcn_v3_rf_stagnation_memory_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu
masterrtl_archive_activation_eoh_8x5,RTLLM,Prob001_accu,3,9,1,0.0,0,-0.17801047120418848,0.43803418803418803,0.17241379310344826,/workspace/exp/useful_bd_push/rtllm_full_suite_20260630/live/full/masterrtl_archive_activation_eoh_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu
deepgate_high_exploit_eoh_8x5,RTLLM,Prob001_accu,3,9,2,0.0,0,-0.18324607329842932,0.420940170940171,0.1551724137931034,/workspace/exp/useful_bd_push/rtllm_full_suite_20260630/live/full/deepgate_high_exploit_eoh_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,2,11,1,0.2051142342841318,2,0.20652173913043478,0.9931847133757962,0.0,/workspace/exp/useful_bd_push/rtllm_full_suite_20260630/live/full/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit
pcn_v3_rf_stagnation_memory_8x5,RTLLM,Prob002_adder_16bit,2,13,1,0.2051142342841318,2,0.20652173913043478,0.9931847133757962,0.0,/workspace/exp/useful_bd_push/rtllm_full_suite_20260630/live/full/pcn_v3_rf_stagnation_memory_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit
masterrtl_archive_activation_eoh_8x5,RTLLM,Prob002_adder_16bit,2,6,1,0.2051142342841318,2,0.20652173913043478,0.9931847133757962,0.0,/workspace/exp/useful_bd_push/rtllm_full_suite_20260630/live/full/masterrtl_archive_activation_eoh_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit
deepgate_high_exploit_eoh_8x5,RTLLM,Prob002_adder_16bit,2,8,1,0.2051142342841318,3,0.20652173913043478,0.9931847133757962,0.0,/workspace/exp/useful_bd_push/rtllm_full_suite_20260630/live/full/deepgate_high_exploit_eoh_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit
classic_revolution_8x5,RTLLM,Prob003_adder_32bit,2,23,1,0.6744597525026996,22,0.6761229314420804,0.9975401234567901,0.0,/workspace/exp/useful_bd_push/rtllm_full_suite_20260630/live/full/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob003_adder_32bit
pcn_v3_rf_stagnation_memory_8x5,RTLLM,Prob003_adder_32bit,2,20,1,0.6744597525026996,20,0.6761229314420804,0.9975401234567901,0.0,/workspace/exp/useful_bd_push/rtllm_full_suite_20260630/live/full/pcn_v3_rf_stagnation_memory_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob003_adder_32bit
masterrtl_archive_activation_eoh_8x5,RTLLM,Prob003_adder_32bit,2,10,1,0.6744597525026996,10,0.6761229314420804,0.9975401234567901,0.0,/workspace/exp/useful_bd_push/rtllm_full_suite_20260630/live/full/masterrtl_archive_activation_eoh_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob003_adder_32bit
deepgate_high_exploit_eoh_8x5,RTLLM,Prob003_adder_32bit,2,14,1,0.6744597525026996,14,0.6761229314420804,0.9975401234567901,0.0,/workspace/exp/useful_bd_push/rtllm_full_suite_20260630/live/full/deepgate_high_exploit_eoh_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob003_adder_32bit
classic_revolution_8x5,RTLLM,Prob004_adder_8bit,2,6,1,0.1510262891809909,2,0.15217391304347827,0.9924584717607973,0.0,/workspace/exp/useful_bd_push/rtllm_full_suite_20260630/live/full/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit
pcn_v3_rf_stagnation_memory_8x5,RTLLM,Prob004_adder_8bit,2,6,1,0.1510262891809909,2,0.15217391304347827,0.9924584717607973,0.0,/workspace/exp/useful_bd_push/rtllm_full_suite_20260630/live/full/pcn_v3_rf_stagnation_memory_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit
masterrtl_archive_activation_eoh_8x5,RTLLM,Prob004_adder_8bit,2,5,1,0.1510262891809909,2,0.15217391304347827,0.9924584717607973,0.0,/workspace/exp/useful_bd_push/rtllm_full_suite_20260630/live/full/masterrtl_archive_activation_eoh_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit
