seed,benchmark,problem,classic_hv,aux_hv,hv_delta,classic_pareto_points,aux_pareto_points,pareto_point_delta,classic_ref_beating,aux_ref_beating,ref_beating_delta
1001,RTLLM,Prob015_multi_pipe_8bit,0.0,0.0,0.0,8.0,2.0,-6.0,0.0,0.0,0.0
1001,RTLLM,Prob024_fsm,0.14472943384422896,0.1453550203315608,0.0006255864873318528,2.0,2.0,0.0,3.0,4.0,1.0
1001,RTLLM,Prob041_traffic_light,0.31010021786492376,0.15101960784313725,-0.1590806100217865,2.0,3.0,1.0,12.0,6.0,-6.0
1001,RTLLM,Prob045_alu,0.25235639266706095,0.17057957815888034,-0.08177681450818061,4.0,1.0,-3.0,34.0,14.0,-20.0
1001,RTLLM,Prob049_signal_generator,0.019198840440895218,0.006834024329126608,-0.012364816111768609,2.0,1.0,-1.0,4.0,1.0,-3.0
1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,0.39842279792746116,0.39842279792746116,0.0,1.0,1.0,0.0,6.0,4.0,-2.0
1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,0.0,0.1986188340807175,0.1986188340807175,1.0,1.0,0.0,1.0,1.0,0.0
1001,VerilogEval-Spec-to-RTL,Prob153_gshare,0.00035058973340645937,0.0004959837610555318,0.00014539402764907245,6.0,3.0,-3.0,4.0,2.0,-2.0
1002,RTLLM,Prob015_multi_pipe_8bit,0.0,0.0022306081430888414,0.0022306081430888414,4.0,5.0,1.0,0.0,1.0,1.0
1002,RTLLM,Prob024_fsm,0.2652486706287143,0.14588676884579288,-0.11936190178292144,1.0,2.0,1.0,4.0,5.0,1.0
1002,RTLLM,Prob041_traffic_light,0.3233718228031953,0.2213602033405955,-0.10201161946259982,3.0,2.0,-1.0,12.0,14.0,2.0
1002,RTLLM,Prob045_alu,0.26754819633353044,0.203642010644589,-0.06390618568894144,1.0,1.0,0.0,24.0,9.0,-15.0
1002,RTLLM,Prob049_signal_generator,0.020343142189028045,0.006834024329126608,-0.013509117859901436,3.0,1.0,-2.0,6.0,1.0,-5.0
1002,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,0.39842279792746116,0.39842279792746116,0.0,1.0,1.0,0.0,5.0,4.0,-1.0
1002,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,0.0,0.0,0.0,2.0,1.0,-1.0,1.0,0.0,-1.0
1002,VerilogEval-Spec-to-RTL,Prob153_gshare,2.0586140161759083e-05,0.0014005837446652938,0.0013799976045035347,2.0,2.0,0.0,1.0,1.0,0.0
1003,RTLLM,Prob015_multi_pipe_8bit,0.0,0.0,0.0,8.0,3.0,-5.0,0.0,0.0,0.0
1003,RTLLM,Prob024_fsm,0.2652486706287143,0.14557397560212695,-0.11967469502658737,1.0,2.0,1.0,5.0,4.0,-1.0
1003,RTLLM,Prob041_traffic_light,0.18504212055192448,0.2324762164124909,0.047434095860566405,5.0,2.0,-3.0,19.0,10.0,-9.0
1003,RTLLM,Prob045_alu,0.1997569051843091,0.19290501084171102,-0.006851894342598086,2.0,2.0,0.0,24.0,20.0,-4.0
1003,RTLLM,Prob049_signal_generator,0.00997131828859078,0.006834024329126608,-0.0031372939594641715,3.0,1.0,-2.0,2.0,1.0,-1.0
1003,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,0.39842279792746116,0.39842279792746116,0.0,1.0,1.0,0.0,6.0,4.0,-2.0
1003,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
1003,VerilogEval-Spec-to-RTL,Prob153_gshare,0.001806254767353167,0.0,-0.001806254767353167,2.0,4.0,2.0,1.0,1.0,0.0
