backend,benchmark,problem,classic_hv,qd_hv,hv_delta,classic_pareto_points,qd_pareto_points,pareto_point_delta,classic_ref_beating,qd_ref_beating,ref_beating_delta
code_thought_sr_front_slot_8x5,RTLLM,Prob015_multi_pipe_8bit,0.0,0.0,0.0,8.0,2.0,-6.0,0.0,0.0,0.0
masterrtl_structural_mix_8x5,RTLLM,Prob015_multi_pipe_8bit,0.0,0.0,0.0,8.0,3.0,-5.0,0.0,0.0,0.0
code_thought_sr_front_slot_8x5,RTLLM,Prob024_fsm,0.14472943384422896,0.14494838911479507,0.00021895527056611797,2.0,2.0,0.0,3.0,4.0,1.0
masterrtl_structural_mix_8x5,RTLLM,Prob024_fsm,0.14472943384422896,0.14588676884579288,0.001157335001563925,2.0,2.0,0.0,3.0,5.0,2.0
code_thought_sr_front_slot_8x5,RTLLM,Prob041_traffic_light,0.31010021786492376,0.18047458242556283,-0.12962563543936093,2.0,3.0,1.0,12.0,11.0,-1.0
masterrtl_structural_mix_8x5,RTLLM,Prob041_traffic_light,0.31010021786492376,0.23298293391430644,-0.07711728395061732,2.0,2.0,0.0,12.0,11.0,-1.0
code_thought_sr_front_slot_8x5,RTLLM,Prob045_alu,0.25235639266706095,0.18312144293317564,-0.0692349497338853,4.0,1.0,-3.0,34.0,13.0,-21.0
masterrtl_structural_mix_8x5,RTLLM,Prob045_alu,0.25235639266706095,0.18981289178001182,-0.06254350088704913,4.0,2.0,-2.0,34.0,21.0,-13.0
code_thought_sr_front_slot_8x5,RTLLM,Prob049_signal_generator,0.019198840440895218,0.006834024329126608,-0.012364816111768609,2.0,1.0,-1.0,4.0,1.0,-3.0
masterrtl_structural_mix_8x5,RTLLM,Prob049_signal_generator,0.019198840440895218,0.006834024329126608,-0.012364816111768609,2.0,1.0,-1.0,4.0,1.0,-3.0
code_thought_sr_front_slot_8x5,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,0.39842279792746116,0.39733678756476687,-0.0010860103626942896,1.0,2.0,1.0,6.0,4.0,-2.0
masterrtl_structural_mix_8x5,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,0.39842279792746116,0.39842279792746116,0.0,1.0,1.0,0.0,6.0,3.0,-3.0
code_thought_sr_front_slot_8x5,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0
masterrtl_structural_mix_8x5,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0
code_thought_sr_front_slot_8x5,VerilogEval-Spec-to-RTL,Prob153_gshare,0.00035058973340645937,0.0,-0.00035058973340645937,6.0,3.0,-3.0,4.0,0.0,-4.0
masterrtl_structural_mix_8x5,VerilogEval-Spec-to-RTL,Prob153_gshare,0.00035058973340645937,0.000336378135421198,-1.4211597985261382e-05,6.0,4.0,-2.0,4.0,3.0,-1.0
