backend,benchmark,problem_count,pareto_valid_problem_count,mean_hypervolume,mean_pareto_point_count,mean_reference_beating_count,hypervolume_win_count
classic_revolution_8x5,ALL,8,8,0.14064478405974706,3.25,8.0,6
classic_revolution_8x5,RTLLM,5,5,0.1452769769634218,3.6,10.6,4
classic_revolution_8x5,VerilogEval-Spec-to-RTL,3,3,0.13292446255362253,2.6666666666666665,3.6666666666666665,2
code_thought_sr_front_slot_8x5,ALL,8,8,0.11408940329592838,1.875,4.125,0
code_thought_sr_front_slot_8x5,RTLLM,5,5,0.10307568776053204,1.8,5.8,0
code_thought_sr_front_slot_8x5,VerilogEval-Spec-to-RTL,3,3,0.1324455958549223,2.0,1.3333333333333333,0
masterrtl_structural_front_slot_8x5,ALL,8,8,0.12267611661426445,1.75,6.625,1
masterrtl_structural_front_slot_8x5,RTLLM,5,5,0.11643547904138281,1.6,9.0,0
masterrtl_structural_front_slot_8x5,VerilogEval-Spec-to-RTL,3,3,0.13307717923573384,2.0,2.6666666666666665,1
masterrtl_structural_mix_8x5,ALL,8,8,0.12178447436651502,2.0,5.5,1
masterrtl_structural_mix_8x5,RTLLM,5,5,0.11510332377384755,2.0,7.6,1
masterrtl_structural_mix_8x5,VerilogEval-Spec-to-RTL,3,3,0.1329197253542941,2.0,2.0,0
qwen_canonical_rtl_pca3_8x5,ALL,8,8,0.11080209361034603,1.625,4.375,0
qwen_canonical_rtl_pca3_8x5,RTLLM,5,5,0.09745429787871389,1.6,5.6,0
qwen_canonical_rtl_pca3_8x5,VerilogEval-Spec-to-RTL,3,3,0.13304841982973292,1.6666666666666667,2.3333333333333335,0
t11_runtime_top4_front_slot_8x5,ALL,8,8,0.12078617761387575,1.875,5.375,0
t11_runtime_top4_front_slot_8x5,RTLLM,5,5,0.11350790484899258,1.8,7.8,0
t11_runtime_top4_front_slot_8x5,VerilogEval-Spec-to-RTL,3,3,0.13291663222201439,2.0,1.3333333333333333,0
