backend,benchmark,problem,objective_count,candidate_count,pareto_point_count,hypervolume,reference_beating_count,best_area_improvement,best_power_improvement,best_period_improvement,problem_dir
classic_revolution_8x5,RTLLM,Prob015_multi_pipe_8bit,3,17,8,0.0,0,0.3510204081632653,-0.14699331848552327,0.402439024390244,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
masterrtl_aux_archive_high_exploit_8x5,RTLLM,Prob015_multi_pipe_8bit,3,5,2,0.0,0,0.3877551020408163,0.05902004454342983,-0.20731707317073161,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/masterrtl_aux_archive_high_exploit_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
masterrtl_aux_archive_adaptive_sparse_front_8x5,RTLLM,Prob015_multi_pipe_8bit,3,9,3,0.0,0,0.3877551020408163,0.04342984409799555,0.0,/workspace/exp/useful_bd_push/prelim_adaptive_sparse_front_20260626_013437_UTC/live/masterrtl_aux_archive_adaptive_sparse_front_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
masterrtl_delayed_archive_activation_8x5,RTLLM,Prob015_multi_pipe_8bit,3,8,2,0.0,0,0.3877551020408163,0.026726057906458787,-0.24390243902439018,/workspace/exp/useful_bd_push/prelim_delayed_archive_activation_20260626_022126_UTC/live/masterrtl_delayed_archive_activation_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
masterrtl_archive_stagnation_activation_8x5,RTLLM,Prob015_multi_pipe_8bit,3,6,2,0.0,0,0.3877551020408163,0.05902004454342983,0.3170731707317073,/workspace/exp/useful_bd_push/prelim_archive_stagnation_activation_20260626_031337_UTC/live/masterrtl_archive_stagnation_activation_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
classic_revolution_8x5,RTLLM,Prob024_fsm,2,4,2,0.14472943384422896,3,0.3695652173913043,0.4633093525179856,0.0,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm
masterrtl_aux_archive_high_exploit_8x5,RTLLM,Prob024_fsm,2,7,2,0.1453550203315608,4,0.3695652173913043,0.4661870503597122,0.0,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/masterrtl_aux_archive_high_exploit_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm
masterrtl_aux_archive_adaptive_sparse_front_8x5,RTLLM,Prob024_fsm,2,8,2,0.14557397560212695,5,0.3695652173913043,0.4661870503597122,0.0,/workspace/exp/useful_bd_push/prelim_adaptive_sparse_front_20260626_013437_UTC/live/masterrtl_aux_archive_adaptive_sparse_front_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm
masterrtl_delayed_archive_activation_8x5,RTLLM,Prob024_fsm,2,9,2,0.14588676884579288,6,0.3695652173913043,0.46762589928057546,0.0,/workspace/exp/useful_bd_push/prelim_delayed_archive_activation_20260626_022126_UTC/live/masterrtl_delayed_archive_activation_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm
masterrtl_archive_stagnation_activation_8x5,RTLLM,Prob024_fsm,2,10,2,0.14588676884579288,6,0.3695652173913043,0.46762589928057546,0.0,/workspace/exp/useful_bd_push/prelim_archive_stagnation_activation_20260626_031337_UTC/live/masterrtl_archive_stagnation_activation_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm
classic_revolution_8x5,RTLLM,Prob041_traffic_light,2,13,2,0.31010021786492376,12,0.32941176470588235,0.992037037037037,0.0,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob041_traffic_light
masterrtl_aux_archive_high_exploit_8x5,RTLLM,Prob041_traffic_light,2,16,3,0.15101960784313725,6,0.1588235294117647,0.989320987654321,0.0,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/masterrtl_aux_archive_high_exploit_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob041_traffic_light
masterrtl_aux_archive_adaptive_sparse_front_8x5,RTLLM,Prob041_traffic_light,2,21,2,0.22147494553376906,16,0.2235294117647059,0.9909259259259259,0.0,/workspace/exp/useful_bd_push/prelim_adaptive_sparse_front_20260626_013437_UTC/live/masterrtl_aux_archive_adaptive_sparse_front_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob041_traffic_light
masterrtl_delayed_archive_activation_8x5,RTLLM,Prob041_traffic_light,2,12,2,0.27973202614379084,10,0.2823529411764706,0.9909259259259259,0.0,/workspace/exp/useful_bd_push/prelim_delayed_archive_activation_20260626_022126_UTC/live/masterrtl_delayed_archive_activation_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob041_traffic_light
masterrtl_archive_stagnation_activation_8x5,RTLLM,Prob041_traffic_light,2,11,3,0.1371851851851852,5,0.17647058823529413,0.9881481481481481,0.0,/workspace/exp/useful_bd_push/prelim_archive_stagnation_activation_20260626_031337_UTC/live/masterrtl_archive_stagnation_activation_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob041_traffic_light
classic_revolution_8x5,RTLLM,Prob045_alu,2,34,4,0.25235639266706095,34,0.2543820224719101,0.9921052631578947,0.0,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu
masterrtl_aux_archive_high_exploit_8x5,RTLLM,Prob045_alu,2,14,1,0.17057957815888034,14,0.17213483146067415,0.9909649122807017,0.0,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/masterrtl_aux_archive_high_exploit_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu
masterrtl_aux_archive_adaptive_sparse_front_8x5,RTLLM,Prob045_alu,2,10,2,0.1804092647348709,10,0.18202247191011237,0.991140350877193,0.0,/workspace/exp/useful_bd_push/prelim_adaptive_sparse_front_20260626_013437_UTC/live/masterrtl_aux_archive_adaptive_sparse_front_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu
masterrtl_delayed_archive_activation_8x5,RTLLM,Prob045_alu,2,22,2,0.22730302385176424,22,0.2292134831460674,0.9917280701754386,0.0,/workspace/exp/useful_bd_push/prelim_delayed_archive_activation_20260626_022126_UTC/live/masterrtl_delayed_archive_activation_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu
masterrtl_archive_stagnation_activation_8x5,RTLLM,Prob045_alu,2,20,1,0.17731829686575992,20,0.17887640449438202,0.9912894736842106,0.0,/workspace/exp/useful_bd_push/prelim_archive_stagnation_activation_20260626_031337_UTC/live/masterrtl_archive_stagnation_activation_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu
classic_revolution_8x5,RTLLM,Prob049_signal_generator,3,5,2,0.019198840440895218,4,0.425531914893617,0.46038543897216266,0.27906976744186046,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob049_signal_generator
masterrtl_aux_archive_high_exploit_8x5,RTLLM,Prob049_signal_generator,3,1,1,0.006834024329126608,1,0.1276595744680851,0.46038543897216266,0.11627906976744183,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/masterrtl_aux_archive_high_exploit_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob049_signal_generator
masterrtl_aux_archive_adaptive_sparse_front_8x5,RTLLM,Prob049_signal_generator,3,2,2,0.00997131828859078,2,0.18085106382978725,0.46038543897216266,0.13953488372093023,/workspace/exp/useful_bd_push/prelim_adaptive_sparse_front_20260626_013437_UTC/live/masterrtl_aux_archive_adaptive_sparse_front_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob049_signal_generator
masterrtl_delayed_archive_activation_8x5,RTLLM,Prob049_signal_generator,3,1,1,0.006834024329126608,1,0.1276595744680851,0.46038543897216266,0.11627906976744183,/workspace/exp/useful_bd_push/prelim_delayed_archive_activation_20260626_022126_UTC/live/masterrtl_delayed_archive_activation_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob049_signal_generator
