method_key,method_family,seed,benchmark,problem,budget_shape,generated_count,syntax_valid_count,functional_count,synthesis_valid_count,valid_ppa_count,unique_valid_netlist_count,pareto_point_count,global_ppa_hv,hv_auc,passive_archive_coverage,passive_archive_qd_score,passive_archive_qd_auc,passive_archive_coverage_auc,pareto_cell_count,pareto_spread,unique_front_family_count,reference_beating_count,classic_covered,method_covered,reference_ppa_valid,comparison_status,valid_ppa_yield_status,runtime_seconds,notes
aurora_raw_impl_compact_delayed_8x5,aurora_raw,1001,RTLLM,Prob015_multi_pipe_8bit,8x5,not_available,not_available,not_available,not_available,22,not_available,2,0,0,0.185185185185,0.219273440268,0.0518519150828,0.137037037037,2,0.310147755497,not_available,0,yes,yes,yes,headline,pass,not_available,candidate_level_no_canonical_dedup
classic_revolution_8x5,classic,1001,RTLLM,Prob015_multi_pipe_8bit,8x5,not_available,not_available,not_available,not_available,24,not_available,8,0,0,0.185185185185,0,0,0.12962962963,3,0.804771206245,not_available,0,yes,yes,yes,headline,pass,not_available,candidate_level_no_canonical_dedup
aurora_raw_impl_compact_delayed_8x5,aurora_raw,1001,RTLLM,Prob024_fsm,8x5,not_available,not_available,not_available,not_available,24,not_available,2,0.145573975602,0.108195182984,0.375,2.08369408821,1.57639338964,0.29375,2,0.201503412888,not_available,5,yes,yes,yes,headline,pass,not_available,candidate_level_no_canonical_dedup
classic_revolution_8x5,classic,1001,RTLLM,Prob024_fsm,8x5,not_available,not_available,not_available,not_available,10,not_available,2,0.144729433844,0.124225836722,0.1875,1.39062871442,1.30725645571,0.177083333333,2,0.201503412888,not_available,3,yes,yes,yes,headline,pass,not_available,candidate_level_no_canonical_dedup
aurora_raw_impl_compact_delayed_8x5,aurora_raw,1001,RTLLM,Prob041_traffic_light,8x5,not_available,not_available,not_available,not_available,22,not_available,2,0.232982933914,0.210228413217,0.09375,2.26465081094,1.77380634229,0.0734375,2,not_available,not_available,13,yes,yes,yes,headline,pass,not_available,candidate_level_no_canonical_dedup
classic_revolution_8x5,classic,1001,RTLLM,Prob041_traffic_light,8x5,not_available,not_available,not_available,not_available,20,not_available,2,0.310100217865,0.247459694989,0.171875,2.59553740015,1.28726785282,0.090625,2,0.287431008869,not_available,12,yes,yes,yes,headline,pass,not_available,candidate_level_no_canonical_dedup
aurora_raw_impl_compact_delayed_8x5,aurora_raw,1001,RTLLM,Prob045_alu,8x5,not_available,not_available,not_available,not_available,9,not_available,2,0.176503938498,0.174138556278,0.3125,1.92978480846,1.31325561798,0.2125,1,0.00994925249126,not_available,9,yes,yes,yes,headline,yield_warning,not_available,candidate_level_no_canonical_dedup
classic_revolution_8x5,classic,1001,RTLLM,Prob045_alu,8x5,not_available,not_available,not_available,not_available,36,not_available,4,0.252356392667,0.224868446679,0.4375,2.70085209278,2.40663770287,0.39375,2,0.219507967699,not_available,34,yes,yes,yes,headline,yield_warning,not_available,candidate_level_no_canonical_dedup
aurora_raw_impl_compact_delayed_8x5,aurora_raw,1001,RTLLM,Prob049_signal_generator,8x5,not_available,not_available,not_available,not_available,33,not_available,1,0.00683402432913,0.00683402432909,33,7.7475649153,5.00070099078,21.3,33,not_available,not_available,1,yes,yes,yes,headline,pass,not_available,candidate_level_no_canonical_dedup
classic_revolution_8x5,classic,1001,RTLLM,Prob049_signal_generator,8x5,not_available,not_available,not_available,not_available,16,not_available,2,0.0191988404409,0.0166726167764,1,0.263803228132,0.259318836725,1,1,0.811092071839,not_available,4,yes,yes,yes,headline,pass,not_available,candidate_level_no_canonical_dedup
aurora_raw_impl_compact_delayed_8x5,aurora_raw,1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,8x5,not_available,not_available,not_available,not_available,23,not_available,1,0.398422797927,0.378395025907,22,8.479835924,5.44411658031,14.3,5,not_available,not_available,5,yes,yes,yes,headline,pass,not_available,candidate_level_no_canonical_dedup
classic_revolution_8x5,classic,1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,8x5,not_available,not_available,not_available,not_available,31,not_available,1,0.398422797927,0.378175751295,1,0.465352331606,0.458339032815,1,1,0,not_available,6,yes,yes,yes,headline,pass,not_available,candidate_level_no_canonical_dedup
aurora_raw_impl_compact_delayed_8x5,aurora_raw,1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,8x5,not_available,not_available,not_available,not_available,30,not_available,1,0,0,30,5.88430493274,3.25598206278,16.6,30,not_available,not_available,0,yes,yes,yes,headline,pass,not_available,candidate_level_no_canonical_dedup
classic_revolution_8x5,classic,1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,8x5,not_available,not_available,not_available,not_available,41,not_available,1,0,0,1,0.331046337818,0.304070254111,1,1,0,not_available,1,yes,yes,yes,headline,pass,not_available,candidate_level_no_canonical_dedup
aurora_raw_impl_compact_delayed_8x5,aurora_raw,1001,VerilogEval-Spec-to-RTL,Prob153_gshare,8x5,not_available,not_available,not_available,not_available,9,not_available,5,0.000434215254269,0.000391765836724,0.0833333333333,0.157745543642,0.140270102734,0.06875,4,0.793846907897,not_available,2,yes,yes,yes,headline,pass,not_available,candidate_level_no_canonical_dedup
classic_revolution_8x5,classic,1001,VerilogEval-Spec-to-RTL,Prob153_gshare,8x5,not_available,not_available,not_available,not_available,13,not_available,6,0.000350589733406,0.000135258004425,0.0833333333333,0.203492549796,0.165311790676,0.0645833333333,3,0.315704963291,not_available,4,yes,yes,yes,headline,pass,not_available,candidate_level_no_canonical_dedup
