row_index,problem,backend,candidate,deepgate_neighbor_problem,deepgate_neighbor_backend,aig_stats_neighbor_problem,aig_stats_neighbor_backend,deepgate_residual_neighbor_problem,deepgate_residual_neighbor_backend
0,Prob024_fsm,classic_revolution_8x5,Prob024_fsm_sample1_M-S,Prob024_fsm,masterrtl_structural_mix_8x5,Prob024_fsm,classic_revolution_8x5,Prob041_traffic_light,code_thought_sr_front_slot_8x5
1,Prob024_fsm,classic_revolution_8x5,Prob024_fsm_sample2_M-F,Prob024_fsm,qwen_canonical_rtl_pca3_8x5,Prob041_traffic_light,code_thought_sr_front_slot_8x5,Prob024_fsm,qwen_canonical_rtl_pca3_8x5
2,Prob024_fsm,classic_revolution_8x5,Prob024_fsm_sample4_M-I,Prob024_fsm,masterrtl_structural_mix_8x5,Prob024_fsm,code_thought_sr_front_slot_8x5,Prob024_fsm,masterrtl_structural_mix_8x5
3,Prob041_traffic_light,classic_revolution_8x5,Prob041_traffic_light_sample8_initial,Prob041_traffic_light,classic_revolution_8x5,Prob041_traffic_light,masterrtl_structural_mix_8x5,Prob024_fsm,classic_revolution_8x5
4,Prob041_traffic_light,classic_revolution_8x5,Prob041_traffic_light_sample4_M-I,Prob041_traffic_light,code_thought_sr_front_slot_8x5,Prob041_traffic_light,classic_revolution_8x5,Prob041_traffic_light,code_thought_sr_front_slot_8x5
5,Prob041_traffic_light,classic_revolution_8x5,Prob041_traffic_light_sample3_M-I,Prob041_traffic_light,classic_revolution_8x5,Prob041_traffic_light,code_thought_sr_front_slot_8x5,Prob041_traffic_light,code_thought_sr_front_slot_8x5
6,Prob049_signal_generator,classic_revolution_8x5,Prob049_signal_generator_sample1_initial,Prob049_signal_generator,qwen_canonical_rtl_pca3_8x5,Prob049_signal_generator,classic_revolution_8x5,Prob041_traffic_light,qwen_canonical_rtl_pca3_8x5
7,Prob049_signal_generator,classic_revolution_8x5,Prob049_signal_generator_sample2_initial,Prob049_signal_generator,code_thought_sr_front_slot_8x5,Prob049_signal_generator,classic_revolution_8x5,Prob049_signal_generator,code_thought_sr_front_slot_8x5
8,Prob049_signal_generator,classic_revolution_8x5,Prob049_signal_generator_sample3_initial,Prob049_signal_generator,classic_revolution_8x5,Prob049_signal_generator,classic_revolution_8x5,Prob049_signal_generator,classic_revolution_8x5
9,Prob116_m2014_q3,classic_revolution_8x5,Prob116_m2014_q3_sample2_initial,Prob135_m2014_q6b,masterrtl_structural_mix_8x5,Prob116_m2014_q3,code_thought_sr_front_slot_8x5,Prob041_traffic_light,qwen_canonical_rtl_pca3_8x5
10,Prob116_m2014_q3,classic_revolution_8x5,Prob116_m2014_q3_sample3_initial,Prob135_m2014_q6b,masterrtl_structural_mix_8x5,Prob116_m2014_q3,code_thought_sr_front_slot_8x5,Prob041_traffic_light,classic_revolution_8x5
11,Prob116_m2014_q3,classic_revolution_8x5,Prob116_m2014_q3_sample6_initial,Prob135_m2014_q6b,masterrtl_structural_mix_8x5,Prob135_m2014_q6b,classic_revolution_8x5,Prob041_traffic_light,code_thought_sr_front_slot_8x5
12,Prob135_m2014_q6b,classic_revolution_8x5,Prob135_m2014_q6b_sample1_initial,Prob135_m2014_q6b,masterrtl_structural_mix_8x5,Prob135_m2014_q6b,classic_revolution_8x5,Prob024_fsm,classic_revolution_8x5
13,Prob135_m2014_q6b,classic_revolution_8x5,Prob135_m2014_q6b_sample4_initial,Prob135_m2014_q6b,qwen_canonical_rtl_pca3_8x5,Prob135_m2014_q6b,classic_revolution_8x5,Prob024_fsm,code_thought_sr_front_slot_8x5
14,Prob135_m2014_q6b,classic_revolution_8x5,Prob135_m2014_q6b_sample6_initial,Prob135_m2014_q6b,masterrtl_structural_mix_8x5,Prob135_m2014_q6b,masterrtl_structural_mix_8x5,Prob024_fsm,classic_revolution_8x5
15,Prob024_fsm,code_thought_sr_front_slot_8x5,Prob024_fsm_sample3_initial,Prob024_fsm,masterrtl_structural_mix_8x5,Prob024_fsm,classic_revolution_8x5,Prob024_fsm,classic_revolution_8x5
16,Prob024_fsm,code_thought_sr_front_slot_8x5,Prob024_fsm_sample6_initial,Prob024_fsm,classic_revolution_8x5,Prob024_fsm,classic_revolution_8x5,Prob024_fsm,classic_revolution_8x5
17,Prob024_fsm,code_thought_sr_front_slot_8x5,Prob024_fsm_sample3_single_thought_operator,Prob024_fsm,code_thought_sr_front_slot_8x5,Prob024_fsm,classic_revolution_8x5,Prob024_fsm,classic_revolution_8x5
18,Prob041_traffic_light,code_thought_sr_front_slot_8x5,Prob041_traffic_light_sample4_initial,Prob041_traffic_light,qwen_canonical_rtl_pca3_8x5,Prob041_traffic_light,code_thought_sr_front_slot_8x5,Prob041_traffic_light,code_thought_sr_front_slot_8x5
19,Prob041_traffic_light,code_thought_sr_front_slot_8x5,Prob041_traffic_light_sample5_single_thought_operator,Prob041_traffic_light,classic_revolution_8x5,Prob041_traffic_light,masterrtl_structural_mix_8x5,Prob041_traffic_light,classic_revolution_8x5
20,Prob041_traffic_light,code_thought_sr_front_slot_8x5,Prob041_traffic_light_sample8_single_thought_operator,Prob041_traffic_light,code_thought_sr_front_slot_8x5,Prob041_traffic_light,code_thought_sr_front_slot_8x5,Prob041_traffic_light,code_thought_sr_front_slot_8x5
21,Prob049_signal_generator,code_thought_sr_front_slot_8x5,Prob049_signal_generator_sample2_initial,Prob049_signal_generator,qwen_canonical_rtl_pca3_8x5,Prob049_signal_generator,classic_revolution_8x5,Prob041_traffic_light,qwen_canonical_rtl_pca3_8x5
