backend,benchmark,problem,objective_count,candidate_count,pareto_point_count,hypervolume,reference_beating_count,best_area_improvement,best_power_improvement,best_period_improvement,problem_dir
classic_revolution_8x5,RTLLM,Prob015_multi_pipe_8bit,3,17,8,0.0,0,0.3510204081632653,-0.14699331848552327,0.402439024390244,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
masterrtl_rf_timing_state_8x5,RTLLM,Prob015_multi_pipe_8bit,3,9,2,0.0,0,0.3877551020408163,0.544543429844098,-0.23170731707317066,/workspace/exp/useful_bd_push/prelim_rf_timing_state_screen_20260626_0442_UTC/live/masterrtl_rf_timing_state_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
classic_revolution_8x5,RTLLM,Prob024_fsm,2,4,2,0.14472943384422896,3,0.3695652173913043,0.4633093525179856,0.0,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm
masterrtl_rf_timing_state_8x5,RTLLM,Prob024_fsm,2,6,2,0.14494838911479507,3,0.3695652173913043,0.4633093525179856,0.0,/workspace/exp/useful_bd_push/prelim_rf_timing_state_screen_20260626_0442_UTC/live/masterrtl_rf_timing_state_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm
classic_revolution_8x5,RTLLM,Prob041_traffic_light,2,13,2,0.31010021786492376,12,0.32941176470588235,0.992037037037037,0.0,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob041_traffic_light
masterrtl_rf_timing_state_8x5,RTLLM,Prob041_traffic_light,2,14,2,0.18031590413943355,13,0.18823529411764706,0.9909259259259259,0.0,/workspace/exp/useful_bd_push/prelim_rf_timing_state_screen_20260626_0442_UTC/live/masterrtl_rf_timing_state_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob041_traffic_light
classic_revolution_8x5,RTLLM,Prob045_alu,2,34,4,0.25235639266706095,34,0.2543820224719101,0.9921052631578947,0.0,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu
masterrtl_rf_timing_state_8x5,RTLLM,Prob045_alu,2,14,1,0.17770561797752807,14,0.1793258426966292,0.9909649122807017,0.0,/workspace/exp/useful_bd_push/prelim_rf_timing_state_screen_20260626_0442_UTC/live/masterrtl_rf_timing_state_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu
classic_revolution_8x5,RTLLM,Prob049_signal_generator,3,5,2,0.019198840440895218,4,0.425531914893617,0.46038543897216266,0.27906976744186046,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob049_signal_generator
masterrtl_rf_timing_state_8x5,RTLLM,Prob049_signal_generator,3,2,2,0.00997131828859078,2,0.18085106382978725,0.46038543897216266,0.13953488372093023,/workspace/exp/useful_bd_push/prelim_rf_timing_state_screen_20260626_0442_UTC/live/masterrtl_rf_timing_state_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob049_signal_generator
