method_key,method_family,seed,benchmark,problem,budget_shape,generated_count,syntax_valid_count,functional_count,synthesis_valid_count,valid_ppa_count,unique_valid_netlist_count,pareto_point_count,global_ppa_hv,hv_auc,passive_archive_coverage,passive_archive_qd_score,passive_archive_qd_auc,passive_archive_coverage_auc,pareto_cell_count,pareto_spread,unique_front_family_count,reference_beating_count,classic_covered,method_covered,reference_ppa_valid,comparison_status,valid_ppa_yield_status,runtime_seconds,notes
classic_revolution_8x5,classic,1001,RTLLM,Prob015_multi_pipe_8bit,8x5,not_available,not_available,not_available,not_available,24,not_available,8,0,0,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0,yes,yes,yes,headline,yield_warning,not_available,descriptor_projection_missing
rf_deepgate_hybrid_delayed_8x5,hybrid_encoder,1001,RTLLM,Prob015_multi_pipe_8bit,8x5,not_available,not_available,not_available,not_available,10,not_available,2,0,0,0.125,0.105589065981,0.084471252785,0.0921875,3,0.209243768611,not_available,0,yes,yes,yes,headline,yield_warning,not_available,candidate_level_no_canonical_dedup
classic_revolution_8x5,classic,1001,RTLLM,Prob024_fsm,8x5,not_available,not_available,not_available,not_available,10,not_available,2,0.144729433844,0.124225836722,not_available,not_available,not_available,not_available,not_available,not_available,not_available,3,yes,yes,yes,headline,pass,not_available,descriptor_projection_missing
rf_deepgate_hybrid_delayed_8x5,hybrid_encoder,1001,RTLLM,Prob024_fsm,8x5,not_available,not_available,not_available,not_available,28,not_available,2,0.145886768846,0.135439474507,0.15625,4.26549577729,2.98078834324,0.1125,4,not_available,not_available,6,yes,yes,yes,headline,pass,not_available,candidate_level_no_canonical_dedup
classic_revolution_8x5,classic,1001,RTLLM,Prob041_traffic_light,8x5,not_available,not_available,not_available,not_available,20,not_available,2,0.310100217865,0.247459694989,not_available,not_available,not_available,not_available,not_available,not_available,not_available,12,yes,yes,yes,headline,pass,not_available,descriptor_projection_missing
rf_deepgate_hybrid_delayed_8x5,hybrid_encoder,1001,RTLLM,Prob041_traffic_light,8x5,not_available,not_available,not_available,not_available,26,not_available,2,0.244777777778,0.164644916485,0.666666666667,2.27092168966,1.68099001452,0.508333333333,2,not_available,not_available,14,yes,yes,yes,headline,pass,not_available,candidate_level_no_canonical_dedup
classic_revolution_8x5,classic,1001,RTLLM,Prob045_alu,8x5,not_available,not_available,not_available,not_available,36,not_available,4,0.252356392667,0.224868446679,not_available,not_available,not_available,not_available,not_available,not_available,not_available,34,yes,yes,yes,headline,yield_warning,not_available,descriptor_projection_missing
rf_deepgate_hybrid_delayed_8x5,hybrid_encoder,1001,RTLLM,Prob045_alu,8x5,not_available,not_available,not_available,not_available,11,not_available,2,0.158552099349,0.156986650897,0.5,3.01731289835,2.22073151981,0.36875,2,0.00356887630202,not_available,11,yes,yes,yes,headline,yield_warning,not_available,candidate_level_no_canonical_dedup
classic_revolution_8x5,classic,1001,RTLLM,Prob049_signal_generator,8x5,not_available,not_available,not_available,not_available,16,not_available,2,0.0191988404409,0.0166726167764,not_available,not_available,not_available,not_available,not_available,not_available,not_available,4,yes,yes,yes,headline,pass,not_available,descriptor_projection_missing
rf_deepgate_hybrid_delayed_8x5,hybrid_encoder,1001,RTLLM,Prob049_signal_generator,8x5,not_available,not_available,not_available,not_available,42,not_available,2,0.00997131828859,0.00836792576149,0.5,1.87819755522,1.83124261634,0.4875,8,not_available,not_available,2,yes,yes,yes,headline,pass,not_available,candidate_level_no_canonical_dedup
classic_revolution_8x5,classic,1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,8x5,not_available,not_available,not_available,not_available,31,not_available,1,0.398422797927,0.378175751295,not_available,not_available,not_available,not_available,not_available,not_available,not_available,6,yes,yes,yes,headline,pass,not_available,descriptor_projection_missing
rf_deepgate_hybrid_delayed_8x5,hybrid_encoder,1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,8x5,not_available,not_available,not_available,not_available,36,not_available,1,0.398422797927,0.398422797928,0.5,3.31629879102,2.91182970639,0.4375,3,not_available,not_available,5,yes,yes,yes,headline,pass,not_available,candidate_level_no_canonical_dedup
classic_revolution_8x5,classic,1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,8x5,not_available,not_available,not_available,not_available,41,not_available,1,0,0,not_available,not_available,not_available,not_available,not_available,not_available,not_available,1,yes,yes,yes,headline,pass,not_available,descriptor_projection_missing
rf_deepgate_hybrid_delayed_8x5,hybrid_encoder,1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,8x5,not_available,not_available,not_available,not_available,42,not_available,1,0,0,0.375,1.2443348281,1.12664872945,0.3375,1,0,not_available,0,yes,yes,yes,headline,pass,not_available,candidate_level_no_canonical_dedup
classic_revolution_8x5,classic,1001,VerilogEval-Spec-to-RTL,Prob153_gshare,8x5,not_available,not_available,not_available,not_available,13,not_available,6,0.000350589733406,0.000135258004425,not_available,not_available,not_available,not_available,not_available,not_available,not_available,4,yes,yes,yes,headline,pass,not_available,descriptor_projection_missing
rf_deepgate_hybrid_delayed_8x5,hybrid_encoder,1001,VerilogEval-Spec-to-RTL,Prob153_gshare,8x5,not_available,not_available,not_available,not_available,7,not_available,1,0.00176090675845,0.00158481608261,0.109375,0.569910883328,0.327823880578,0.0625,1,0,not_available,5,yes,yes,yes,headline,pass,not_available,candidate_level_no_canonical_dedup
