backend,benchmark,problem,objective_count,candidate_count,pareto_point_count,hypervolume,reference_beating_count,best_area_improvement,best_power_improvement,best_period_improvement,problem_dir
classic_s1001,RTLLM,Prob015_multi_pipe_8bit,3,17,8,0.0,0,0.3510204081632653,-0.14699331848552327,0.402439024390244,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
t83_s1001,RTLLM,Prob015_multi_pipe_8bit,3,4,3,0.0,0,0.3010204081632653,-0.14699331848552327,0.3170731707317073,/workspace/exp/useful_bd_push/prelim_rf_leafid_structural_delayed_20260626_052350_UTC/live/masterrtl_rf_leafid_structural_delayed_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
classic_s1002,RTLLM,Prob015_multi_pipe_8bit,3,10,4,0.0,0,0.4489795918367347,0.026726057906458787,0.28048780487804886,/workspace/exp/useful_bd_push/prelim_aux_archive_seed_replication_20260625_232854_UTC/live/classic_revolution_8x5/seed_1002/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
t83_s1002,RTLLM,Prob015_multi_pipe_8bit,3,7,3,0.0,0,0.38979591836734695,0.19599109131403122,-0.1951219512195121,/workspace/exp/useful_bd_push/prelim_rf_leafid_seed_robustness_20260626_UTC/live/masterrtl_rf_leafid_structural_delayed_8x5/seed_1002/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
classic_s1003,RTLLM,Prob015_multi_pipe_8bit,3,17,8,0.0,0,0.3877551020408163,0.6024498886414253,0.39024390243902446,/workspace/exp/useful_bd_push/prelim_aux_archive_seed_replication_20260625_232854_UTC/live/classic_revolution_8x5/seed_1003/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
t83_s1003,RTLLM,Prob015_multi_pipe_8bit,3,11,3,0.0,0,0.3877551020408163,0.3897550111358575,-0.23170731707317066,/workspace/exp/useful_bd_push/prelim_rf_leafid_seed_robustness_20260626_UTC/live/masterrtl_rf_leafid_structural_delayed_8x5/seed_1003/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
classic_s1001,RTLLM,Prob024_fsm,2,4,2,0.14472943384422896,3,0.3695652173913043,0.4633093525179856,0.0,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm
t83_s1001,RTLLM,Prob024_fsm,2,9,2,0.14557397560212695,5,0.3695652173913043,0.4661870503597122,0.0,/workspace/exp/useful_bd_push/prelim_rf_leafid_structural_delayed_20260626_052350_UTC/live/masterrtl_rf_leafid_structural_delayed_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm
classic_s1002,RTLLM,Prob024_fsm,2,9,1,0.2652486706287143,4,0.43478260869565216,0.610071942446043,0.0,/workspace/exp/useful_bd_push/prelim_aux_archive_seed_replication_20260625_232854_UTC/live/classic_revolution_8x5/seed_1002/openai_gpt-oss-120b/RTLLM/Prob024_fsm
t83_s1002,RTLLM,Prob024_fsm,2,6,2,0.14494838911479507,3,0.3695652173913043,0.4633093525179856,0.0,/workspace/exp/useful_bd_push/prelim_rf_leafid_seed_robustness_20260626_UTC/live/masterrtl_rf_leafid_structural_delayed_8x5/seed_1002/openai_gpt-oss-120b/RTLLM/Prob024_fsm
