index,benchmark,problem,prompt_path
1,RTLLM,Prob001_accu,bench/RTLLM/Prob001_accu_prompt.txt
2,RTLLM,Prob002_adder_16bit,bench/RTLLM/Prob002_adder_16bit_prompt.txt
3,RTLLM,Prob003_adder_32bit,bench/RTLLM/Prob003_adder_32bit_prompt.txt
4,RTLLM,Prob004_adder_8bit,bench/RTLLM/Prob004_adder_8bit_prompt.txt
5,RTLLM,Prob005_adder_bcd,bench/RTLLM/Prob005_adder_bcd_prompt.txt
6,RTLLM,Prob006_adder_pipe_64bit,bench/RTLLM/Prob006_adder_pipe_64bit_prompt.txt
7,RTLLM,Prob007_comparator_3bit,bench/RTLLM/Prob007_comparator_3bit_prompt.txt
8,RTLLM,Prob008_comparator_4bit,bench/RTLLM/Prob008_comparator_4bit_prompt.txt
9,RTLLM,Prob009_div_16bit,bench/RTLLM/Prob009_div_16bit_prompt.txt
10,RTLLM,Prob010_radix2_div,bench/RTLLM/Prob010_radix2_div_prompt.txt
11,RTLLM,Prob011_multi_16bit,bench/RTLLM/Prob011_multi_16bit_prompt.txt
12,RTLLM,Prob012_multi_8bit,bench/RTLLM/Prob012_multi_8bit_prompt.txt
13,RTLLM,Prob013_multi_booth_8bit,bench/RTLLM/Prob013_multi_booth_8bit_prompt.txt
14,RTLLM,Prob014_multi_pipe_4bit,bench/RTLLM/Prob014_multi_pipe_4bit_prompt.txt
15,RTLLM,Prob015_multi_pipe_8bit,bench/RTLLM/Prob015_multi_pipe_8bit_prompt.txt
16,RTLLM,Prob016_fixed_point_adder,bench/RTLLM/Prob016_fixed_point_adder_prompt.txt
17,RTLLM,Prob017_fixed_point_substractor,bench/RTLLM/Prob017_fixed_point_substractor_prompt.txt
18,RTLLM,Prob018_float_multi,bench/RTLLM/Prob018_float_multi_prompt.txt
19,RTLLM,Prob019_sub_64bit,bench/RTLLM/Prob019_sub_64bit_prompt.txt
20,RTLLM,Prob020_JC_counter,bench/RTLLM/Prob020_JC_counter_prompt.txt
21,RTLLM,Prob021_counter_12,bench/RTLLM/Prob021_counter_12_prompt.txt
22,RTLLM,Prob022_ring_counter,bench/RTLLM/Prob022_ring_counter_prompt.txt
23,RTLLM,Prob023_up_down_counter,bench/RTLLM/Prob023_up_down_counter_prompt.txt
24,RTLLM,Prob024_fsm,bench/RTLLM/Prob024_fsm_prompt.txt
25,RTLLM,Prob025_sequence_detector,bench/RTLLM/Prob025_sequence_detector_prompt.txt
26,RTLLM,Prob026_asyn_fifo,bench/RTLLM/Prob026_asyn_fifo_prompt.txt
27,RTLLM,Prob027_LIFObuffer,bench/RTLLM/Prob027_LIFObuffer_prompt.txt
28,RTLLM,Prob028_LFSR,bench/RTLLM/Prob028_LFSR_prompt.txt
29,RTLLM,Prob029_barrel_shifter,bench/RTLLM/Prob029_barrel_shifter_prompt.txt
30,RTLLM,Prob030_right_shifter,bench/RTLLM/Prob030_right_shifter_prompt.txt
31,RTLLM,Prob031_freq_div,bench/RTLLM/Prob031_freq_div_prompt.txt
32,RTLLM,Prob032_freq_divbyeven,bench/RTLLM/Prob032_freq_divbyeven_prompt.txt
33,RTLLM,Prob033_freq_divbyfrac,bench/RTLLM/Prob033_freq_divbyfrac_prompt.txt
34,RTLLM,Prob034_freq_divbyodd,bench/RTLLM/Prob034_freq_divbyodd_prompt.txt
35,RTLLM,Prob035_calendar,bench/RTLLM/Prob035_calendar_prompt.txt
36,RTLLM,Prob036_edge_detect,bench/RTLLM/Prob036_edge_detect_prompt.txt
37,RTLLM,Prob037_parallel2serial,bench/RTLLM/Prob037_parallel2serial_prompt.txt
38,RTLLM,Prob038_pulse_detect,bench/RTLLM/Prob038_pulse_detect_prompt.txt
39,RTLLM,Prob039_serial2parallel,bench/RTLLM/Prob039_serial2parallel_prompt.txt
40,RTLLM,Prob040_synchronizer,bench/RTLLM/Prob040_synchronizer_prompt.txt
41,RTLLM,Prob041_traffic_light,bench/RTLLM/Prob041_traffic_light_prompt.txt
42,RTLLM,Prob042_width_8to16,bench/RTLLM/Prob042_width_8to16_prompt.txt
43,RTLLM,Prob043_RAM,bench/RTLLM/Prob043_RAM_prompt.txt
44,RTLLM,Prob044_ROM,bench/RTLLM/Prob044_ROM_prompt.txt
45,RTLLM,Prob045_alu,bench/RTLLM/Prob045_alu_prompt.txt
46,RTLLM,Prob046_clkgenerator,bench/RTLLM/Prob046_clkgenerator_prompt.txt
47,RTLLM,Prob047_instr_reg,bench/RTLLM/Prob047_instr_reg_prompt.txt
48,RTLLM,Prob048_pe,bench/RTLLM/Prob048_pe_prompt.txt
49,RTLLM,Prob049_signal_generator,bench/RTLLM/Prob049_signal_generator_prompt.txt
50,RTLLM,Prob050_square_wave,bench/RTLLM/Prob050_square_wave_prompt.txt
