cohort,method,method_label,reference,reference_label,metric,value,reference_value,delta,relative_delta
all_rtllm,sr_raw_conservative_exploit_qd,Exact T26 QD,classic_revolution,Classic,audited_ppa_point_count,318.000000,352.000000,-34.000000,-0.096591
all_rtllm,sr_raw_conservative_exploit_qd,Exact T26 QD,classic_revolution,Classic,unique_family_count,311.000000,341.000000,-30.000000,-0.087977
all_rtllm,sr_raw_conservative_exploit_qd,Exact T26 QD,classic_revolution,Classic,front_unique_family_count,69.000000,61.000000,8.000000,0.131148
all_rtllm,sr_raw_conservative_exploit_qd,Exact T26 QD,classic_revolution,Classic,front_unique_netlist_count,69.000000,61.000000,8.000000,0.131148
all_rtllm,sr_raw_conservative_exploit_qd,Exact T26 QD,classic_revolution,Classic,reference_beating_unique_family_count,129.000000,179.000000,-50.000000,-0.279330
all_rtllm,sr_raw_conservative_exploit_qd,Exact T26 QD,classic_revolution,Classic,family_duplicate_count,7.000000,11.000000,-4.000000,-0.363636
all_rtllm,sr_raw_conservative_exploit_qd,Exact T26 QD,classic_revolution,Classic,front_family_ratio,1.000000,1.000000,0.000000,0.000000
all_rtllm,sr_raw_conservative_exploit_qd,Exact T26 QD,classic_revolution,Classic,audited_family_ratio,0.977987,0.968750,0.009237,0.009535
screen,sr_raw_conservative_exploit_qd,Exact T26 QD,classic_revolution,Classic,audited_ppa_point_count,31.000000,57.000000,-26.000000,-0.456140
screen,sr_raw_conservative_exploit_qd,Exact T26 QD,classic_revolution,Classic,unique_family_count,31.000000,57.000000,-26.000000,-0.456140
screen,sr_raw_conservative_exploit_qd,Exact T26 QD,classic_revolution,Classic,front_unique_family_count,7.000000,9.000000,-2.000000,-0.222222
screen,sr_raw_conservative_exploit_qd,Exact T26 QD,classic_revolution,Classic,front_unique_netlist_count,7.000000,9.000000,-2.000000,-0.222222
screen,sr_raw_conservative_exploit_qd,Exact T26 QD,classic_revolution,Classic,reference_beating_unique_family_count,18.000000,44.000000,-26.000000,-0.590909
screen,sr_raw_conservative_exploit_qd,Exact T26 QD,classic_revolution,Classic,family_duplicate_count,0.000000,0.000000,0.000000,
screen,sr_raw_conservative_exploit_qd,Exact T26 QD,classic_revolution,Classic,front_family_ratio,1.000000,1.000000,0.000000,0.000000
screen,sr_raw_conservative_exploit_qd,Exact T26 QD,classic_revolution,Classic,audited_family_ratio,1.000000,1.000000,0.000000,0.000000
screen_excluded,sr_raw_conservative_exploit_qd,Exact T26 QD,classic_revolution,Classic,audited_ppa_point_count,287.000000,295.000000,-8.000000,-0.027119
screen_excluded,sr_raw_conservative_exploit_qd,Exact T26 QD,classic_revolution,Classic,unique_family_count,280.000000,284.000000,-4.000000,-0.014085
screen_excluded,sr_raw_conservative_exploit_qd,Exact T26 QD,classic_revolution,Classic,front_unique_family_count,62.000000,52.000000,10.000000,0.192308
screen_excluded,sr_raw_conservative_exploit_qd,Exact T26 QD,classic_revolution,Classic,front_unique_netlist_count,62.000000,52.000000,10.000000,0.192308
screen_excluded,sr_raw_conservative_exploit_qd,Exact T26 QD,classic_revolution,Classic,reference_beating_unique_family_count,111.000000,135.000000,-24.000000,-0.177778
screen_excluded,sr_raw_conservative_exploit_qd,Exact T26 QD,classic_revolution,Classic,family_duplicate_count,7.000000,11.000000,-4.000000,-0.363636
screen_excluded,sr_raw_conservative_exploit_qd,Exact T26 QD,classic_revolution,Classic,front_family_ratio,1.000000,1.000000,0.000000,0.000000
screen_excluded,sr_raw_conservative_exploit_qd,Exact T26 QD,classic_revolution,Classic,audited_family_ratio,0.975610,0.962712,0.012898,0.013398
valid_ppa_subset,sr_raw_conservative_exploit_qd,Exact T26 QD,classic_revolution,Classic,audited_ppa_point_count,318.000000,352.000000,-34.000000,-0.096591
valid_ppa_subset,sr_raw_conservative_exploit_qd,Exact T26 QD,classic_revolution,Classic,unique_family_count,311.000000,341.000000,-30.000000,-0.087977
valid_ppa_subset,sr_raw_conservative_exploit_qd,Exact T26 QD,classic_revolution,Classic,front_unique_family_count,69.000000,61.000000,8.000000,0.131148
valid_ppa_subset,sr_raw_conservative_exploit_qd,Exact T26 QD,classic_revolution,Classic,front_unique_netlist_count,69.000000,61.000000,8.000000,0.131148
valid_ppa_subset,sr_raw_conservative_exploit_qd,Exact T26 QD,classic_revolution,Classic,reference_beating_unique_family_count,129.000000,179.000000,-50.000000,-0.279330
valid_ppa_subset,sr_raw_conservative_exploit_qd,Exact T26 QD,classic_revolution,Classic,family_duplicate_count,7.000000,11.000000,-4.000000,-0.363636
valid_ppa_subset,sr_raw_conservative_exploit_qd,Exact T26 QD,classic_revolution,Classic,front_family_ratio,1.000000,1.000000,0.000000,0.000000
valid_ppa_subset,sr_raw_conservative_exploit_qd,Exact T26 QD,classic_revolution,Classic,audited_family_ratio,0.977987,0.968750,0.009237,0.009535
