method,method_label,problem,is_screen_problem,audited_ppa_point_count,ppa_front_count,unique_rtl_count,unique_netlist_count,unique_family_count,front_unique_rtl_count,front_unique_netlist_count,front_unique_family_count,reference_beating_unique_family_count,netlist_duplicate_count,family_duplicate_count,front_family_duplicate_count,audited_family_ratio,front_family_ratio,front_netlist_ratio
classic_revolution,Classic,Prob001_accu,False,11,3,11,11,10,3,3,3,0,0,1,0,0.909091,1.000000,1.000000
classic_revolution,Classic,Prob002_adder_16bit,False,11,1,11,11,10,1,1,1,2,0,1,0,0.909091,1.000000,1.000000
classic_revolution,Classic,Prob003_adder_32bit,False,17,1,17,17,17,1,1,1,16,0,0,0,1.000000,1.000000,1.000000
classic_revolution,Classic,Prob004_adder_8bit,False,8,1,8,8,8,1,1,1,2,0,0,0,1.000000,1.000000,1.000000
classic_revolution,Classic,Prob005_adder_bcd,False,15,1,15,15,14,1,1,1,7,0,1,0,0.933333,1.000000,1.000000
classic_revolution,Classic,Prob006_adder_pipe_64bit,False,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000
classic_revolution,Classic,Prob007_comparator_3bit,False,16,1,16,16,15,1,1,1,2,0,1,0,0.937500,1.000000,1.000000
classic_revolution,Classic,Prob008_comparator_4bit,False,18,1,18,18,18,1,1,1,15,0,0,0,1.000000,1.000000,1.000000
classic_revolution,Classic,Prob009_div_16bit,False,25,5,25,25,24,5,5,5,24,0,1,0,0.960000,1.000000,1.000000
classic_revolution,Classic,Prob010_radix2_div,False,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000
classic_revolution,Classic,Prob011_multi_16bit,False,14,3,14,14,14,3,3,3,4,0,0,0,1.000000,1.000000,1.000000
classic_revolution,Classic,Prob012_multi_8bit,False,5,1,5,5,5,1,1,1,4,0,0,0,1.000000,1.000000,1.000000
classic_revolution,Classic,Prob013_multi_booth_8bit,False,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000
classic_revolution,Classic,Prob014_multi_pipe_4bit,False,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000
classic_revolution,Classic,Prob015_multi_pipe_8bit,True,12,5,12,12,12,5,5,5,0,0,0,0,1.000000,1.000000,1.000000
