method,problem,qd_memory_active,qd_memory_valid_ppa_seen,sampleable_memory_cells,mean_cell_credit,classic_generated,memory_refine_generated,memory_refine_valid_ppa,memory_refine_global_front_adds,memory_refine_local_front_adds
pcn_passive_archive_8x5,Prob019_sub_64bit,false,48,0,0.272241359924,8,0,0,0,0
pcn_rf_leafid_quality_memory_8x5,Prob019_sub_64bit,true,48,0,0.260937526516,8,0,0,0,0
pcn_random_quality_memory_8x5,Prob019_sub_64bit,true,48,0,0.271484528206,8,0,0,0,0
pcn_sr_quality_memory_8x5,Prob019_sub_64bit,true,48,0,0.278571468977,8,0,0,0,0
pcn_passive_archive_8x5,Prob036_edge_detect,false,48,0,0.241656355858,8,0,0,0,0
pcn_rf_leafid_quality_memory_8x5,Prob036_edge_detect,true,48,0,0.266193263084,8,0,0,0,0
pcn_random_quality_memory_8x5,Prob036_edge_detect,true,48,0,0.279203593338,8,0,0,0,0
pcn_sr_quality_memory_8x5,Prob036_edge_detect,true,48,0,0.241666666667,0,0,0,0,0
pcn_passive_archive_8x5,Prob045_alu,false,16,0,0.397743055556,8,0,0,0,0
pcn_rf_leafid_quality_memory_8x5,Prob045_alu,true,9,1,0.334140625,8,0,0,0,0
pcn_random_quality_memory_8x5,Prob045_alu,true,14,0,0.341071428571,8,0,0,0,0
pcn_sr_quality_memory_8x5,Prob045_alu,true,8,0,0.306818181818,8,0,0,0,0
