backend,benchmark,problem,objective_count,candidate_count,pareto_point_count,hypervolume,reference_beating_count,best_area_improvement,best_power_improvement,best_period_improvement,problem_dir
classic_revolution_8x5,RTLLM,Prob019_sub_64bit,2,8,1,0.4499369557400372,2,0.4524959742351047,0.9943446601941748,0.0,/workspace/exp/useful_bd_push/pcn_variant_20260630_1110/live/smoke_v2/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob019_sub_64bit
pcn_v2_rf_eoh_memory_8x5,RTLLM,Prob019_sub_64bit,2,8,1,0.4499369557400372,3,0.4524959742351047,0.9943446601941748,0.0,/workspace/exp/useful_bd_push/pcn_variant_20260630_1110/live/smoke_v2/pcn_v2_rf_eoh_memory_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob019_sub_64bit
pcn_v2_random_eoh_memory_8x5,RTLLM,Prob019_sub_64bit,2,10,1,0.3628422681862952,3,0.36553945249597425,0.992621359223301,0.0,/workspace/exp/useful_bd_push/pcn_variant_20260630_1110/live/smoke_v2/pcn_v2_random_eoh_memory_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob019_sub_64bit
pcn_v2_passive_eoh_archive_8x5,RTLLM,Prob019_sub_64bit,2,9,1,0.4499369557400372,3,0.4524959742351047,0.9943446601941748,0.0,/workspace/exp/useful_bd_push/pcn_variant_20260630_1110/live/smoke_v2/pcn_v2_passive_eoh_archive_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob019_sub_64bit
classic_revolution_8x5,RTLLM,Prob036_edge_detect,3,6,1,0.3558897243107769,2,0.5263157894736842,0.6761904761904762,1.0,/workspace/exp/useful_bd_push/pcn_variant_20260630_1110/live/smoke_v2/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob036_edge_detect
pcn_v2_rf_eoh_memory_8x5,RTLLM,Prob036_edge_detect,3,13,1,0.3558897243107769,6,0.5263157894736842,0.6761904761904762,1.0,/workspace/exp/useful_bd_push/pcn_variant_20260630_1110/live/smoke_v2/pcn_v2_rf_eoh_memory_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob036_edge_detect
pcn_v2_random_eoh_memory_8x5,RTLLM,Prob036_edge_detect,3,7,1,0.3260930103035366,2,0.5263157894736842,0.6195767195767196,1.0,/workspace/exp/useful_bd_push/pcn_variant_20260630_1110/live/smoke_v2/pcn_v2_random_eoh_memory_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob036_edge_detect
pcn_v2_passive_eoh_archive_8x5,RTLLM,Prob036_edge_detect,3,7,1,0.3558897243107769,2,0.5263157894736842,0.6761904761904762,1.0,/workspace/exp/useful_bd_push/pcn_variant_20260630_1110/live/smoke_v2/pcn_v2_passive_eoh_archive_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob036_edge_detect
classic_revolution_8x5,RTLLM,Prob045_alu,2,29,2,0.24966086339444118,29,0.251685393258427,0.9919736842105263,0.0,/workspace/exp/useful_bd_push/pcn_variant_20260630_1110/live/smoke_v2/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu
pcn_v2_rf_eoh_memory_8x5,RTLLM,Prob045_alu,2,32,3,0.22066048492016557,32,0.22247191011235956,0.991859649122807,0.0,/workspace/exp/useful_bd_push/pcn_variant_20260630_1110/live/smoke_v2/pcn_v2_rf_eoh_memory_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu
pcn_v2_random_eoh_memory_8x5,RTLLM,Prob045_alu,2,34,1,0.24117317169327815,34,0.24314606741573033,0.9918859649122808,0.0,/workspace/exp/useful_bd_push/pcn_variant_20260630_1110/live/smoke_v2/pcn_v2_random_eoh_memory_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu
pcn_v2_passive_eoh_archive_8x5,RTLLM,Prob045_alu,2,35,1,0.25328119850187264,35,0.2552808988764045,0.9921666666666666,0.0,/workspace/exp/useful_bd_push/pcn_variant_20260630_1110/live/smoke_v2/pcn_v2_passive_eoh_archive_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu
