method,problem,hypervolume,hv_auc,valid_ppa_count,pareto_point_count,hv_delta_vs_classic,hv_auc_delta_vs_classic
classic_revolution_8x5,Prob019_sub_64bit,0.44993695574,0.402381341557,5,1,0,0
classic_revolution_8x5,Prob036_edge_detect,0.355889724311,0.32030075188,8,1,0,0
classic_revolution_8x5,Prob045_alu,0.235396617386,0.219229662922,32,1,0,0
pcn_v3_rf_stagnation_memory_8x5,Prob019_sub_64bit,0.449958921564,0.404945456748,11,1,2.19658239919e-05,0.00256411519137
pcn_v3_rf_stagnation_memory_8x5,Prob036_edge_detect,0.355889724311,0.32030075188,7,1,0,0
pcn_v3_rf_stagnation_memory_8x5,Prob045_alu,0.223824518037,0.214043762271,31,3,-0.0115720993495,-0.00518590065101
pcn_v3_random_stagnation_memory_8x5,Prob019_sub_64bit,0.449947938652,0.404953144787,9,1,1.0982911996e-05,0.00257180322992
pcn_v3_random_stagnation_memory_8x5,Prob036_edge_detect,0.355889724311,0.32030075188,8,1,0,0
pcn_v3_random_stagnation_memory_8x5,Prob045_alu,0.207699286418,0.191990538143,28,3,-0.0276973309679,-0.0272391247788
pcn_v2_passive_eoh_archive_8x5,Prob019_sub_64bit,0.449947938652,0.404953144787,13,1,1.0982911996e-05,0.00257180322992
pcn_v2_passive_eoh_archive_8x5,Prob036_edge_detect,0.355889724311,0.32030075188,8,1,0,0
pcn_v2_passive_eoh_archive_8x5,Prob045_alu,0.218868574808,0.1987323288,39,2,-0.0165280425784,-0.0204973341221
