method,family,descriptor,budget,role
classic_revolution_8x5,classic,none,8x5,matched baseline
pcn_passive_archive_8x5,pcn_control,rf_leafid_structural,8x5,passive archive no memory recall
pcn_rf_leafid_quality_memory_8x5,pcn_main,rf_leafid_structural,8x5,main PCN candidate
pcn_random_quality_memory_8x5,pcn_control,random_hash,8x5,memory control
pcn_sr_quality_memory_8x5,pcn_candidate,sr_raw_pca,8x5,synthesis-response descriptor candidate
classic_revolution_8x5,classic,none,8x5_v2,matched baseline for corrected PCN-v2 smoke
pcn_v2_rf_eoh_memory_8x5,pcn_main,rf_leafid_structural,8x5_v2,classic-preserving RF memory candidate
pcn_v2_random_eoh_memory_8x5,pcn_control,random_hash,8x5_v2,classic-preserving random memory control
pcn_v2_passive_eoh_archive_8x5,pcn_control,rf_leafid_structural,8x5_v2,classic-preserving passive archive control
classic_revolution_8x5,classic,none,8x5_v3,matched baseline for PCN-v3 smoke
pcn_v3_rf_stagnation_memory_8x5,pcn_main,rf_leafid_structural,8x5_v3,stagnation-triggered RF memory candidate
pcn_v3_random_stagnation_memory_8x5,pcn_control,random_hash,8x5_v3,stagnation-triggered random memory control
pcn_v2_passive_eoh_archive_8x5,pcn_control,rf_leafid_structural,8x5_v3,passive EoH archive control
classic_revolution_20x10,classic,none,20x10,long-budget baseline
pcn_v2_rf_eoh_memory_20x10,pcn_main,rf_leafid_structural,20x10,long-budget corrected PCN-v2 candidate
classic_revolution_10x20,classic,none,10x20,deep baseline
pcn_v2_rf_eoh_memory_10x20,pcn_main,rf_leafid_structural,10x20,deep corrected PCN-v2 candidate
