backend,benchmark,problem,circuit_type,generation,candidate_id,strategy,source,score_from_run,ppa_score,area,power,eff_clk_period,ref_area,ref_power,ref_eff_clk_period,g_A,g_P,g_T,candidate_dir,report_path
classic_no_cf_8x5,RTLLM,Prob001_accu,sequential,2,2d03c85c-fc9a-4ec7-82e9-c11eb067ced2,M-I,generation_log,0.0558509229298,0.0558509229298,260,0.0277,0.51,191,0.0468,0.58,-0.361256544503,0.40811965812,0.120689655172,,
classic_no_cf_8x5,RTLLM,Prob002_adder_16bit,combinational,1,e2cc4e27-ee9d-49d3-86aa-f22e1cb4c706,M-E,generation_log,0.399902150835,0.599853226253,73,4.28e-05,0,92,0.00628,0,0.20652173913,0.993184713376,0,,
classic_no_cf_8x5,RTLLM,Prob003_adder_32bit,combinational,0,ea6026e3-81c7-4d9d-9f02-349ee7cc1927,initial,generation_log,0.557887684966,0.836831527449,137,7.97e-05,0,423,0.0324,0,0.676122931442,0.997540123457,0,,
classic_no_cf_8x5,RTLLM,Prob004_adder_8bit,combinational,1,f36e8bb2-ffd6-4f5a-9e2a-b51fd0d64ee4,M-S,generation_log,0.381544128268,0.572316192402,39,2.27e-05,0,46,0.00301,0,0.152173913043,0.992458471761,0,,
classic_no_cf_8x5,RTLLM,Prob005_adder_bcd,combinational,0,b1eb6997-39c2-4657-a5a4-f78ca5c07aa4,initial,generation_log,0.396983075791,0.595474613687,36,4.1e-05,0,45,0.00453,0,0.2,0.990949227373,0,,
classic_no_cf_8x5,RTLLM,Prob007_comparator_3bit,combinational,2,7ff19be7-f5f8-46ae-aff9-f69b1e957ae6,M-I,generation_log,0.350069956627,0.52510493494,16,8.45e-06,0,17,0.000981,0,0.0588235294118,0.991386340469,0,,
classic_no_cf_8x5,RTLLM,Prob008_comparator_4bit,combinational,2,53f0ac54-dc66-4cc4-a5e2-7f90a2c84312,M-E,generation_log,0.452712121212,0.679068181818,21,1.1e-05,0,33,0.002,0,0.363636363636,0.9945,0,,
classic_no_cf_8x5,RTLLM,Prob009_div_16bit,combinational,2,d8e9a096-0d9f-4806-9378-24e1d28e049d,M-I,generation_log,0.558793650794,0.83819047619,1491,0.0948,0,6390,1.05,0,0.766666666667,0.909714285714,0,,
classic_no_cf_8x5,RTLLM,Prob010_radix2_div,sequential,4,afc07499-69da-49e8-a9cc-bfa7eaf5eb1f,M-I,generation_log,-0.589479324387,-0.589479324387,608,0.121,0.57,495,0.0487,0.54,-0.228282828283,-1.48459958932,-0.0555555555556,,
classic_no_cf_8x5,RTLLM,Prob011_multi_16bit,sequential,3,4a8a1012-bbdc-4a6e-9716-38afedccce3c,M-I,generation_log,0.136517298995,0.136517298995,1137,0.111,1.05,1064,0.18,1.16,-0.0686090225564,0.383333333333,0.0948275862069,,
classic_no_cf_8x5,RTLLM,Prob012_multi_8bit,combinational,1,7a8f3c4a-3f89-4438-aa0d-a8e964fa8099,M-S,generation_log,0.460781003025,0.691171504537,364,0.000613,0,596,0.0886,0,0.389261744966,0.993081264108,0,,
classic_no_cf_8x5,RTLLM,Prob015_multi_pipe_8bit,sequential,5,5d3f6a1a-f413-402f-9228-e7146be54206,M-R,generation_log,0.0527945329906,0.0527945329906,600,0.0874,1.03,980,0.0898,0.82,0.387755102041,0.0267260579065,-0.256097560976,,
classic_no_cf_8x5,RTLLM,Prob019_sub_64bit,combinational,1,870e6db9-1acb-4369-962d-99e5a87bcef6,M-E,generation_log,0.482280211476,0.723420317215,340,0.000233,0,621,0.0412,0,0.452495974235,0.994344660194,0,,
classic_no_cf_8x5,RTLLM,Prob020_JC_counter,sequential,0,82106874-3072-4967-b540-877af0fc1d7f,initial,generation_log,-0,0,340,0.0351,0.13,340,0.0351,0.13,0,0,0,,
classic_no_cf_8x5,RTLLM,Prob021_counter_12,sequential,1,e406d9dd-02a0-40d2-91a7-9e4fc43323ad,M-R,generation_log,0.148993270489,0.148993270489,46,0.0042,0.3,44,0.00963,0.28,-0.0454545454545,0.563862928349,-0.0714285714286,,
classic_no_cf_8x5,RTLLM,Prob023_up_down_counter,sequential,2,801b0dd5-acfa-447f-9f10-5042c158e555,M-E,generation_log,0.13205677079,0.13205677079,211,0.0256,0.58,259,0.0358,0.54,0.185328185328,0.284916201117,-0.0740740740741,,
classic_no_cf_8x5,RTLLM,Prob024_fsm,combinational,3,b455af2a-d525-44fb-8ad7-e719bd1a2e20,M-R,generation_log,0.683497028464,0.595245542696,24,0.002,0.14,46,0.00695,0,0.478260869565,0.712230215827,-140000000000,,
classic_no_cf_8x5,RTLLM,Prob025_sequence_detector,sequential,3,0602ac00-62df-43de-8351-1f3ecd4ddcac,M-F,generation_log,0.276813166938,0.276813166938,26,0.0027,0.15,38,0.00388,0.19,0.315789473684,0.30412371134,0.210526315789,,
classic_no_cf_8x5,RTLLM,Prob027_LIFObuffer,sequential,1,a8aedd82-db6e-43dc-a3f0-4f090ce2bc36,M-E,generation_log,0.224078493768,0.224078493768,230,0.0277,0.35,299,0.0419,0.39,0.230769230769,0.338902147971,0.102564102564,,
classic_no_cf_8x5,RTLLM,Prob029_barrel_shifter,combinational,5,ef8ea2ba-f424-4339-b220-8cff56b9e264,M-F,generation_log,0.347253724989,0.520880587484,55,2.69e-05,0,58,0.0027,0,0.051724137931,0.990037037037,0,,
classic_no_cf_8x5,RTLLM,Prob030_right_shifter,sequential,0,24efcf3f-c611-4e95-8161-dbd138e8ff62,initial,generation_log,-0,0,36,0.00369,0.12,36,0.00369,0.12,0,0,0,,
classic_no_cf_8x5,RTLLM,Prob031_freq_div,combinational,2,9a78133b-8b63-4937-b2ed-b09db4938227,M-E,generation_log,0.175773472429,0.263660208644,101,0.000446,0,125,0.000671,0,0.192,0.335320417288,0,,
classic_no_cf_8x5,RTLLM,Prob035_calendar,sequential,5,1c940cd6-3f47-4ee5-9bc8-83080b21908a,M-R,generation_log,0.0233821881894,0.0233821881894,183,0.0117,0.4,196,0.0124,0.38,0.0663265306122,0.0564516129032,-0.0526315789474,,
classic_no_cf_8x5,RTLLM,Prob036_edge_detect,sequential,2,7d2a3f4e-918d-41eb-ade9-257fc2316abc,M-E,generation_log,-0.995880357539,0.964903956187,2,4.72e-08,0,19,0.00189,0.17,0.894736842105,0.999975026455,1,,
classic_no_cf_8x5,RTLLM,Prob037_parallel2serial,sequential,4,31098459-770a-40ba-960c-c08f84d8d1c7,M-I,generation_log,0.063250756275,0.063250756275,47,0.00411,0.26,50,0.00453,0.27,0.06,0.0927152317881,0.037037037037,,
classic_no_cf_8x5,RTLLM,Prob038_pulse_detect,sequential,1,b19c1cc1-a6d0-4c95-8bf3-2a0e99f80128,M-I,generation_log,0.278914464336,0.278914464336,13,0.00101,0.14,17,0.00138,0.21,0.235294117647,0.268115942029,0.333333333333,,
classic_no_cf_8x5,RTLLM,Prob039_serial2parallel,sequential,2,c5fcaef8-7a2d-4d3e-aade-703296d989aa,M-E,generation_log,-0.371638655462,-0.371638655462,213,0.0392,0.36,168,0.0238,0.3,-0.267857142857,-0.647058823529,-0.2,,
classic_no_cf_8x5,RTLLM,Prob041_traffic_light,combinational,4,9b0f8583-35e4-40f7-b8c5-33db08644e45,M-I,generation_log,0.432650084725,0.648975127088,118,0.000257,0,170,0.0324,0,0.305882352941,0.992067901235,0,,
classic_no_cf_8x5,RTLLM,Prob043_RAM,sequential,4,575bd3cc-32c3-4874-b6f2-b9e1cca1c523,M-R,generation_log,0.444490104102,0.444490104102,481,0.0399,0.2,734,0.109,0.31,0.344686648501,0.633944954128,0.354838709677,,
classic_no_cf_8x5,RTLLM,Prob044_ROM,combinational,0,d4a86983-c7e3-4edd-9517-2faac19c25f4,initial,generation_log,0.329430894309,0.494146341463,14,2.4e-06,0,14,0.000205,0,0,0.988292682927,0,,
classic_no_cf_8x5,RTLLM,Prob045_alu,combinational,2,d3b2cb3e-1faf-4b39-b6e8-10ce1b39a084,M-S,generation_log,0.403545830869,0.605318746304,1739,0.000888,0,2225,0.114,0,0.218426966292,0.992210526316,0,,
classic_no_cf_8x5,RTLLM,Prob047_instr_reg,sequential,1,c577a9ad-b0b7-4ab7-81b4-cab616135891,M-S,generation_log,0.0568475452196,0.0568475452196,119,0.0107,0.18,119,0.0129,0.18,0,0.170542635659,0,,
classic_no_cf_8x5,RTLLM,Prob048_pe,sequential,1,49477568-834d-49aa-87d6-84f0ed143373,M-R,generation_log,0.0065791680802,0.0065791680802,3448,0.431,1.61,3451,0.451,1.57,0.000869313242538,0.0443458980044,-0.0254777070064,,
