stage,seed,method_key,problem_count,covered_problem_count,mean_hv,mean_hv_auc,mean_pareto_point_count,mean_reference_beating_count,candidate_count,single_thought_count,c_f_count,operator_set,operator_status,cf_policy_status
rtllm_full_5seed,1001,classic_revolution_8x5,46,33,0.111401470022,0.0902030195563,1.52173913043,3.84782608696,1002,0,154,classic,pass,observed
rtllm_full_5seed,1001,classic_no_cf_8x5,46,32,0.100736167552,0.0913999628072,1.71739130435,4.19565217391,1000,0,0,one_parent,pass,pass
rtllm_full_5seed,1001,pcn_v3_no_cf_memory_8x5,46,33,0.103889095841,0.0919408385773,1.45652173913,4.10869565217,984,0,0,one_parent,pass,pass
rtllm_full_5seed,1001,pcn_v3_cf_restored_memory_8x5,46,32,0.100647702883,0.072372609438,1.39130434783,3.5,858,0,126,classic,pass,observed
rtllm_full_5seed,1002,classic_revolution_8x5,46,33,0.0975570554144,0.0811292269562,1.47826086957,3.71739130435,974,0,146,classic,pass,observed
rtllm_full_5seed,1002,classic_no_cf_8x5,46,34,0.0988809920754,0.0885441840964,1.69565217391,4.02173913043,1005,0,0,one_parent,pass,pass
rtllm_full_5seed,1002,pcn_v3_no_cf_memory_8x5,46,33,0.0980053096823,0.0825945523801,1.60869565217,4.15217391304,997,0,0,one_parent,pass,pass
rtllm_full_5seed,1002,pcn_v3_cf_restored_memory_8x5,46,31,0.0963425602099,0.0756050090891,1.54347826087,3.30434782609,824,0,144,classic,pass,observed
rtllm_full_5seed,1003,classic_revolution_8x5,46,33,0.1020925247,0.0866843334138,1.4347826087,3.73913043478,950,0,161,classic,pass,observed
rtllm_full_5seed,1003,classic_no_cf_8x5,46,33,0.0984949367513,0.0858634604071,1.60869565217,3.69565217391,978,0,0,one_parent,pass,pass
rtllm_full_5seed,1003,pcn_v3_no_cf_memory_8x5,46,33,0.097108512021,0.0847830387298,1.60869565217,3.39130434783,972,0,0,one_parent,pass,pass
rtllm_full_5seed,1003,pcn_v3_cf_restored_memory_8x5,46,33,0.097037249415,0.0849302693563,1.73913043478,4.21739130435,880,0,133,classic,pass,observed
rtllm_full_5seed,1004,classic_revolution_8x5,46,32,0.103555171152,0.0890265953497,1.45652173913,3.5652173913,974,0,165,classic,pass,observed
rtllm_full_5seed,1004,classic_no_cf_8x5,46,35,0.1143264834,0.0994257880059,1.82608695652,3.69565217391,995,0,0,one_parent,pass,pass
rtllm_full_5seed,1004,pcn_v3_no_cf_memory_8x5,46,32,0.102828579693,0.0925793104478,1.4347826087,3.76086956522,1018,0,0,one_parent,pass,pass
rtllm_full_5seed,1004,pcn_v3_cf_restored_memory_8x5,46,31,0.113608695584,0.0839384934665,1.21739130435,2.97826086957,839,0,134,classic,pass,observed
rtllm_full_5seed,1005,classic_revolution_8x5,46,33,0.104404160752,0.0869402697243,1.58695652174,3.9347826087,982,0,142,classic,pass,observed
rtllm_full_5seed,1005,classic_no_cf_8x5,46,32,0.121791051133,0.107726977017,1.63043478261,4.30434782609,1000,0,0,one_parent,pass,pass
rtllm_full_5seed,1005,pcn_v3_no_cf_memory_8x5,46,34,0.100147830601,0.0832565625286,1.65217391304,4.0652173913,971,0,0,one_parent,pass,pass
rtllm_full_5seed,1005,pcn_v3_cf_restored_memory_8x5,46,33,0.1006822397,0.0854838455667,1.47826086957,4.0652173913,828,0,133,classic,pass,observed
