comparison,comparison_label,problem,seed_count,mean_delta_hv,mean_delta_hv_auc,win_count,loss_count,tie_count
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob001_accu,5,0,0,0,0,5
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob002_adder_16bit,5,1.12157298e-05,-0.0028047909168,1,1,3
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob003_adder_32bit,5,0,0,0,0,5
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob004_adder_8bit,5,0,-0.0060410515672,0,0,5
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob005_adder_bcd,5,-2.06033848418e-05,0.0039482560708,0,1,4
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob007_comparator_3bit,5,0,0,0,0,5
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob008_comparator_4bit,5,-0.0060818181818,-0.0066776060608,2,3,0
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob009_div_16bit,5,0.00140094194798,0.0050366826142,3,2,0
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob010_radix2_div,5,0,0,0,0,5
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob011_multi_16bit,5,0.00488256110823,0.0024516927196,2,2,1
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob012_multi_8bit,5,0,0.0018687290742,0,0,5
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob014_multi_pipe_4bit,5,0,0,0,0,5
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob015_multi_pipe_8bit,5,0,0,0,0,5
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob016_fixed_point_adder,5,0,0,0,0,5
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob017_fixed_point_substractor,5,0,0,0,0,5
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob019_sub_64bit,5,0.0167715945156,0.0476052194238,2,2,1
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob020_JC_counter,5,0,0,0,0,5
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob021_counter_12,5,0.000137557146903,-7.9567369286e-06,2,1,2
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob022_ring_counter,5,0,0,0,0,5
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob023_up_down_counter,5,0.0018633158298,0.00054646825597,2,1,2
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob024_fsm,5,-0.0541132311541,-0.004981388802,1,3,1
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob025_sequence_detector,5,-0.0133121055487,-0.00301701673475,1,3,1
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob026_asyn_fifo,5,0,0,0,0,5
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob027_LIFObuffer,5,-0.00100999619522,-0.000768635185036,2,3,0
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob028_LFSR,5,0,0,0,0,5
classic_no_cf_minus_classic,Classic no C-F - Classic,Prob029_barrel_shifter,5,-0.0170823754789,-0.00384124840355,2,2,1
