comparison,comparison_label,seed,paired_count,mean_delta_hv,mean_delta_hv_auc,win_count,loss_count,tie_count
classic_no_cf_minus_classic,Classic no C-F - Classic,1001,46,-0.0106653024693,0.00119694325093,9,10,27
classic_no_cf_minus_classic,Classic no C-F - Classic,1002,46,0.00132393666109,0.00741495714015,11,5,30
classic_no_cf_minus_classic,Classic no C-F - Classic,1003,46,-0.00359758794858,-0.000820873006657,8,9,29
classic_no_cf_minus_classic,Classic no C-F - Classic,1004,46,0.0107713122476,0.0103991926562,7,6,33
classic_no_cf_minus_classic,Classic no C-F - Classic,1005,46,0.017386890381,0.0207867072925,6,11,29
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,1001,46,-0.0107537671389,-0.0178304101182,6,11,29
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,1002,46,-0.00121449520447,-0.0055242178671,12,5,29
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,1003,46,-0.00505527528493,-0.00175406405748,5,9,32
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,1004,46,0.0100535244316,-0.00508810188326,5,12,29
pcn_cf_restored_minus_classic,PCN C-F restored - Classic,1005,46,-0.00372192105193,-0.0014564241576,3,11,32
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,1001,46,-0.00324139295817,-0.0195682291393,6,7,33
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,1002,46,-0.00166274947245,-0.006989543291,9,7,30
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,1003,46,-7.12626059976e-05,0.000147230626517,10,6,30
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,1004,46,0.0107801158903,-0.00864081698128,5,10,31
pcn_cf_restored_minus_pcn_no_cf,PCN C-F restored - PCN no C-F,1005,46,0.000534409098577,0.00222728303814,10,5,31
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,1001,46,0.00315292828857,0.000540875770111,9,6,31
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,1002,46,-0.000875682393102,-0.00594963171625,7,9,30
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,1003,46,-0.00138642473035,-0.00108042167734,6,12,28
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,1004,46,-0.0114979037062,-0.00684647755813,5,12,29
pcn_no_cf_minus_classic_no_cf,PCN no C-F - Classic no C-F,1005,46,-0.0216432205315,-0.0244704144883,7,9,30
