comparison,baseline_method,candidate_method,seed,benchmark,problem,baseline_hv,candidate_hv,delta_hv,baseline_hv_auc,candidate_hv_auc,delta_hv_auc
classic_no_cf_minus_classic,classic_revolution_8x5,classic_no_cf_8x5,1001,RTLLM,Prob019_sub_64bit,0.44993695574,0.449947938652,1.0982911996e-05,0.22496847787,0.388168370777,0.163199892907
classic_no_cf_minus_classic,classic_revolution_8x5,classic_no_cf_8x5,1001,RTLLM,Prob036_edge_detect,0.355889724311,0.355889724311,0,0.32030075188,0.32030075188,0
classic_no_cf_minus_classic,classic_revolution_8x5,classic_no_cf_8x5,1001,RTLLM,Prob045_alu,0.196158643801,0.212638758131,0.0164801143308,0.185562274788,0.198740853539,0.013178578751
pcn_no_cf_minus_classic_no_cf,classic_no_cf_8x5,pcn_v3_no_cf_memory_8x5,1001,RTLLM,Prob019_sub_64bit,0.449947938652,0.449947938652,0,0.388168370777,0.404948751622,0.016780380845
pcn_no_cf_minus_classic_no_cf,classic_no_cf_8x5,pcn_v3_no_cf_memory_8x5,1001,RTLLM,Prob036_edge_detect,0.355889724311,0.355889724311,0,0.32030075188,0.32030075188,0
pcn_no_cf_minus_classic_no_cf,classic_no_cf_8x5,pcn_v3_no_cf_memory_8x5,1001,RTLLM,Prob045_alu,0.212638758131,0.233616546422,0.020977788291,0.198740853539,0.225542480978,0.026801627439
pcn_cf_restored_minus_classic,classic_revolution_8x5,pcn_v3_cf_restored_memory_8x5,1001,RTLLM,Prob019_sub_64bit,0.44993695574,0.449947938652,1.0982911996e-05,0.22496847787,0.404953144787,0.179984666917
pcn_cf_restored_minus_classic,classic_revolution_8x5,pcn_v3_cf_restored_memory_8x5,1001,RTLLM,Prob036_edge_detect,0.355889724311,0.894714497354,0.538824773044,0.32030075188,0.362264543581,0.041963791701
pcn_cf_restored_minus_classic,classic_revolution_8x5,pcn_v3_cf_restored_memory_8x5,1001,RTLLM,Prob045_alu,0.196158643801,0.205899988173,0.00974134437217,0.185562274788,0.170664454958,-0.01489781983
pcn_cf_restored_minus_pcn_no_cf,pcn_v3_no_cf_memory_8x5,pcn_v3_cf_restored_memory_8x5,1001,RTLLM,Prob019_sub_64bit,0.449947938652,0.449947938652,0,0.404948751622,0.404953144787,4.39316500001e-06
pcn_cf_restored_minus_pcn_no_cf,pcn_v3_no_cf_memory_8x5,pcn_v3_cf_restored_memory_8x5,1001,RTLLM,Prob036_edge_detect,0.355889724311,0.894714497354,0.538824773044,0.32030075188,0.362264543581,0.041963791701
pcn_cf_restored_minus_pcn_no_cf,pcn_v3_no_cf_memory_8x5,pcn_v3_cf_restored_memory_8x5,1001,RTLLM,Prob045_alu,0.233616546422,0.205899988173,-0.0277165582496,0.225542480978,0.170664454958,-0.05487802602
