problem_id,stratum,available_methods,method_count,generated_count,valid_ppa_count,classic_valid_ppa_count,manual_valid_ppa_count,ppa_variance,pareto_size,unique_netlist_count,unique_family_count,duplicate_rate,missing_artifact_penalty,force_include,ppa_variance_rank,pareto_size_rank,unique_family_count_rank,duplicate_rate_rank,selection_score,selection_reason,screening_rank
VerilogEval-Spec-to-RTL/Prob153_gshare,memory_interface,"classic_revolution,landing_smooth_qd_manual_bd,random_descriptor_qd,sr_random_relu_pca_qd,synthesis_trajectory_nod",5,1800,616,135,219,0.13877774758794884,34,276,224,0.551948051948052,0,True,0.38461538461538464,0.6153846153846154,0.7692307692307693,0.38461538461538464,1.3846153846153846,forced_prior_signal,1
RTLLM/Prob045_alu,arithmetic_datapath,"classic_revolution,landing_smooth_qd_manual_bd,random_descriptor_qd,sr_random_relu_pca_qd,synthesis_trajectory_nod",5,1800,1000,233,285,0.03088037820890051,2,868,789,0.132,0,True,0.15384615384615385,0.11538461538461539,1.0,0.23076923076923078,1.0384615384615383,forced_prior_signal,2
RTLLM/Prob037_parallel2serial,bit_vector,"classic_revolution,landing_smooth_qd_manual_bd,random_descriptor_qd,sr_random_relu_pca_qd,synthesis_trajectory_nod",5,1800,482,86,99,0.11403757061497771,5,141,51,0.7074688796680497,0,False,0.3076923076923077,0.2692307692307692,0.5,0.46153846153846156,0.6153846153846153,stratum_seed:bit_vector,3
RTLLM/Prob041_traffic_light,control_sequential,"classic_revolution,landing_smooth_qd_manual_bd,random_descriptor_qd,sr_random_relu_pca_qd,synthesis_trajectory_nod",5,1800,784,184,188,0.3312322422694964,12,455,391,0.4196428571428571,0,False,1.0,0.38461538461538464,0.9230769230769231,0.3076923076923077,1.9999999999999998,stratum_seed:control_sequential,4
RTLLM/Prob015_multi_pipe_8bit,arithmetic_datapath,"classic_revolution,landing_smooth_qd_manual_bd,random_descriptor_qd,sr_random_relu_pca_qd,synthesis_trajectory_nod",5,1800,661,110,100,0.29517241866763433,55,619,282,0.0635400907715582,0,False,0.8461538461538461,0.6923076923076923,0.8461538461538461,0.07692307692307693,2.3076923076923075,score_fill,5
VerilogEval-Spec-to-RTL/Prob151_review2015_fsm,control_sequential,"classic_revolution,landing_smooth_qd_manual_bd,random_descriptor_qd,sr_random_relu_pca_qd,synthesis_trajectory_nod",5,1800,215,51,46,0.18509930194247015,21,190,154,0.11627906976744184,0,False,0.6923076923076923,0.46153846153846156,0.6923076923076923,0.15384615384615385,1.692307692307692,score_fill,6
RTLLM/Prob024_fsm,control_sequential,"classic_revolution,landing_smooth_qd_manual_bd,random_descriptor_qd,sr_random_relu_pca_qd,synthesis_trajectory_nod",5,1800,394,91,79,0.31381743735965073,26,110,57,0.7208121827411167,0,False,0.9230769230769231,0.5384615384615384,0.6153846153846154,0.5384615384615384,1.5384615384615388,score_fill,7
RTLLM/Prob004_adder_8bit,arithmetic_datapath,"classic_revolution,landing_smooth_qd_manual_bd,random_descriptor_qd,sr_random_relu_pca_qd,synthesis_trajectory_nod",5,1800,1138,245,244,0.1677473242903386,249,224,51,0.8031634446397188,0,False,0.46153846153846156,0.8461538461538461,0.5,0.6153846153846154,1.1923076923076923,score_fill,8
RTLLM/Prob049_signal_generator,arithmetic_datapath,"classic_revolution,landing_smooth_qd_manual_bd,random_descriptor_qd,sr_random_relu_pca_qd,synthesis_trajectory_nod",5,1800,865,155,163,0.17974111835561937,74,108,34,0.8751445086705203,0,False,0.6153846153846154,0.7692307692307693,0.38461538461538464,0.6923076923076923,1.0769230769230769,score_fill,9
VerilogEval-Spec-to-RTL/Prob116_m2014_q3,control_sequential,"classic_revolution,landing_smooth_qd_manual_bd,random_descriptor_qd,sr_random_relu_pca_qd,synthesis_trajectory_nod",5,1800,972,233,267,0.17584465011742967,379,43,17,0.9557613168724279,0,False,0.5384615384615384,1.0,0.23076923076923078,0.8461538461538461,0.923076923076923,score_fill,10
