backend,benchmark,problem,objective_count,candidate_count,pareto_point_count,hypervolume,reference_beating_count,best_area_improvement,best_power_improvement,best_period_improvement,problem_dir
classic_revolution,RTLLM,Prob001_accu,3,11,3,0.0,0,-0.2670157068062827,0.420940170940171,0.1551724137931034,/tmp/rtllm_final_analysis_input/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu
sr_raw_conservative_exploit_qd,RTLLM,Prob001_accu,3,13,2,0.0,0,-0.2670157068062827,0.46153846153846156,0.17241379310344826,/tmp/rtllm_final_analysis_input/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu
classic_revolution,RTLLM,Prob002_adder_16bit,2,11,1,0.2051142342841318,3,0.20652173913043478,0.9931847133757962,0.0,/tmp/rtllm_final_analysis_input/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit
sr_raw_conservative_exploit_qd,RTLLM,Prob002_adder_16bit,2,11,1,0.2051142342841318,3,0.20652173913043478,0.9931847133757962,0.0,/tmp/rtllm_final_analysis_input/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit
classic_revolution,RTLLM,Prob003_adder_32bit,2,17,1,0.6744597525026996,16,0.6761229314420804,0.9975401234567901,0.0,/tmp/rtllm_final_analysis_input/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob003_adder_32bit
sr_raw_conservative_exploit_qd,RTLLM,Prob003_adder_32bit,2,10,1,0.6744597525026996,10,0.6761229314420804,0.9975401234567901,0.0,/tmp/rtllm_final_analysis_input/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob003_adder_32bit
classic_revolution,RTLLM,Prob004_adder_8bit,2,8,1,0.1510262891809909,2,0.15217391304347827,0.9924584717607973,0.0,/tmp/rtllm_final_analysis_input/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit
sr_raw_conservative_exploit_qd,RTLLM,Prob004_adder_8bit,2,11,1,0.1510262891809909,2,0.15217391304347827,0.9924584717607973,0.0,/tmp/rtllm_final_analysis_input/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit
classic_revolution,RTLLM,Prob005_adder_bcd,2,15,1,0.19818984547461369,7,0.2,0.9909492273730683,0.0,/tmp/rtllm_final_analysis_input/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob005_adder_bcd
sr_raw_conservative_exploit_qd,RTLLM,Prob005_adder_bcd,2,17,1,0.19818984547461369,11,0.2,0.9909492273730683,0.0,/tmp/rtllm_final_analysis_input/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob005_adder_bcd
classic_revolution,RTLLM,Prob007_comparator_3bit,2,16,1,0.058316843556994666,2,0.058823529411764705,0.9913863404689093,0.0,/tmp/rtllm_final_analysis_input/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob007_comparator_3bit
sr_raw_conservative_exploit_qd,RTLLM,Prob007_comparator_3bit,2,8,1,0.0,1,0.0,0.9895005096839959,0.0,/tmp/rtllm_final_analysis_input/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob007_comparator_3bit
classic_revolution,RTLLM,Prob008_comparator_4bit,2,18,1,0.36161818181818184,15,0.36363636363636365,0.9944500000000001,0.0,/tmp/rtllm_final_analysis_input/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob008_comparator_4bit
sr_raw_conservative_exploit_qd,RTLLM,Prob008_comparator_4bit,2,20,1,0.36161818181818184,14,0.36363636363636365,0.9944500000000001,0.0,/tmp/rtllm_final_analysis_input/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob008_comparator_4bit
classic_revolution,RTLLM,Prob009_div_16bit,2,25,5,0.7158810641627543,25,0.7729264475743349,0.9275238095238095,0.0,/tmp/rtllm_final_analysis_input/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob009_div_16bit
sr_raw_conservative_exploit_qd,RTLLM,Prob009_div_16bit,2,16,4,0.7128449213801328,16,0.7694835680751174,0.9275238095238095,0.0,/tmp/rtllm_final_analysis_input/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob009_div_16bit
classic_revolution,RTLLM,Prob010_radix2_div,3,0,0,0.0,0,0.0,0.0,0.0,/tmp/rtllm_final_analysis_input/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob010_radix2_div
sr_raw_conservative_exploit_qd,RTLLM,Prob010_radix2_div,3,3,2,0.0,0,-0.3939393939393939,-2.182751540041068,0.07407407407407414,/tmp/rtllm_final_analysis_input/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob010_radix2_div
classic_revolution,RTLLM,Prob011_multi_16bit,3,14,3,0.00560451956039524,4,0.03007518796992481,0.4861111111111111,0.43965517241379304,/tmp/rtllm_final_analysis_input/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob011_multi_16bit
sr_raw_conservative_exploit_qd,RTLLM,Prob011_multi_16bit,3,19,3,0.0074545019157088105,2,0.03853383458646616,0.6444444444444444,0.4310344827586206,/tmp/rtllm_final_analysis_input/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob011_multi_16bit
classic_revolution,RTLLM,Prob012_multi_8bit,2,5,1,0.3865685457602981,4,0.38926174496644295,0.9930812641083521,0.0,/tmp/rtllm_final_analysis_input/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob012_multi_8bit
sr_raw_conservative_exploit_qd,RTLLM,Prob012_multi_8bit,2,5,1,0.3865685457602981,4,0.38926174496644295,0.9930812641083521,0.0,/tmp/rtllm_final_analysis_input/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob012_multi_8bit
classic_revolution,RTLLM,Prob014_multi_pipe_4bit,3,0,0,0.0,0,0.0,0.0,0.0,/tmp/rtllm_final_analysis_input/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob014_multi_pipe_4bit
sr_raw_conservative_exploit_qd,RTLLM,Prob014_multi_pipe_4bit,3,0,0,0.0,0,0.0,0.0,0.0,/tmp/rtllm_final_analysis_input/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob014_multi_pipe_4bit
classic_revolution,RTLLM,Prob015_multi_pipe_8bit,3,12,5,0.0,0,0.4061224489795918,0.05456570155902006,0.15853658536585366,/tmp/rtllm_final_analysis_input/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
sr_raw_conservative_exploit_qd,RTLLM,Prob015_multi_pipe_8bit,3,9,4,0.0,0,0.36428571428571427,0.2082405345211582,0.07317073170731714,/tmp/rtllm_final_analysis_input/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
classic_revolution,RTLLM,Prob016_fixed_point_adder,2,0,0,0.0,0,0.0,0.0,0.0,/tmp/rtllm_final_analysis_input/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob016_fixed_point_adder
sr_raw_conservative_exploit_qd,RTLLM,Prob016_fixed_point_adder,2,0,0,0.0,0,0.0,0.0,0.0,/tmp/rtllm_final_analysis_input/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob016_fixed_point_adder
classic_revolution,RTLLM,Prob017_fixed_point_substractor,2,0,0,0.0,0,0.0,0.0,0.0,/tmp/rtllm_final_analysis_input/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob017_fixed_point_substractor
sr_raw_conservative_exploit_qd,RTLLM,Prob017_fixed_point_substractor,2,0,0,0.0,0,0.0,0.0,0.0,/tmp/rtllm_final_analysis_input/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob017_fixed_point_substractor
classic_revolution,RTLLM,Prob019_sub_64bit,2,9,1,0.4499369557400372,3,0.4524959742351047,0.9943446601941748,0.0,/tmp/rtllm_final_analysis_input/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob019_sub_64bit
sr_raw_conservative_exploit_qd,RTLLM,Prob019_sub_64bit,2,12,1,0.44995892156402917,6,0.4524959742351047,0.9943932038834951,0.0,/tmp/rtllm_final_analysis_input/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob019_sub_64bit
classic_revolution,RTLLM,Prob020_JC_counter,3,4,1,0.0,0,0.0,0.0,0.0,/tmp/rtllm_final_analysis_input/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob020_JC_counter
sr_raw_conservative_exploit_qd,RTLLM,Prob020_JC_counter,3,4,1,0.0,0,0.0,0.0,0.0,/tmp/rtllm_final_analysis_input/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob020_JC_counter
classic_revolution,RTLLM,Prob021_counter_12,3,8,3,0.002587625251176655,3,0.20454545454545456,0.7871235721703012,0.10714285714285723,/tmp/rtllm_final_analysis_input/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob021_counter_12
sr_raw_conservative_exploit_qd,RTLLM,Prob021_counter_12,3,6,2,0.0,2,0.20454545454545456,0.7871235721703012,0.21428571428571436,/tmp/rtllm_final_analysis_input/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob021_counter_12
