representation,selected_hypervolume,delta_hv_vs_lexical,selected_pareto_size,front_hits,unique_ppa_points,same_problem_fraction,same_corpus_fraction,unique_canonical_netlists,unique_motif_signatures
fitness_top,3.8232476279516034,0.12142107326288754,300,122,159,,,52,44
generation_prefix,3.1551856809847187,-0.5466408737039972,303,110,163,,,50,45
lexical_farthest,3.701826554688716,0.0,283,122,183,,,60,54
random,3.0741669813303787,-0.6276595733583372,303,107,166,,,59,50
t13_impl_z_farthest,3.740942964314057,0.03911640962534113,285,120,186,0.8671875,0.9361979166666666,58,54
t13_incremental_pca4_farthest,3.477729682914493,-0.22409687177422288,290,118,182,0.78515625,0.91015625,57,52
t13_pca2_farthest,3.5437771698269573,-0.15804938486175857,288,116,184,0.6354166666666666,0.7890625,58,53
t13_pca4_farthest,3.6257119537486444,-0.0761146009400715,287,118,184,0.8098958333333334,0.9231770833333334,58,53
t13_pca8_farthest,3.586182214946084,-0.11564433974263189,289,118,185,0.8463541666666666,0.9205729166666666,59,55
t13_rff_pca2_farthest,3.491803472311358,-0.2100230823773579,294,116,181,0.5481770833333334,0.7643229166666666,58,53
t13_rff_pca4_farthest,3.4301031396792068,-0.27172341500950914,292,118,183,0.6484375,0.8072916666666666,57,53
t13_rff_pca8_farthest,3.3844240144768323,-0.31740254021188363,292,115,181,0.7005208333333334,0.8567708333333334,56,52
