metric,classic,method,delta,relative_delta
mean_hypervolume,0.12448470080563463,0.12082583657040591,-0.003658864235228723,-0.02939207960134415
mean_best_fitness,0.2670645637361175,0.24044416799419477,-0.02662039574192271,-0.09967775345974364
valid_ppa_candidate_count,209.0,209.0,0.0,0.0
ppa_front_unique_netlist_count,12.0,14.0,2.0,0.16666666666666666
unique_motif_signature_count,43.0,48.0,5.0,0.11627906976744186
common_audit_occupied_cells,12.0,12.0,0.0,0.0
common_audit_qd_score,2.316311854699285,1.966312528351859,-0.3499993263474259,-0.15110198811846282
functionality_rate,0.7256944444444444,0.7256944444444444,0.0,0.0
synthesis_rate,0.7256944444444444,0.7256944444444444,0.0,0.0
valid_ppa_rate,0.7256944444444444,0.7256944444444444,0.0,0.0
