method_key,seed,benchmark,problem,descriptor_profile,cell_count,occupied_cell_count,passive_archive_coverage,passive_archive_qd_score,pareto_cell_count,unique_front_family_count,pareto_spread,passive_archive_qd_auc,passive_archive_coverage_auc,hv_auc,notes
classic_revolution_8x5,1001,RTLLM,Prob015_multi_pipe_8bit,deepgate_pooled_pc3,64,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0,descriptor_projection_missing
deepgate_pooled_pc3_8x5,1001,RTLLM,Prob015_multi_pipe_8bit,deepgate_pooled_pc3,64,6,0.09375,0.0231070982361,2,not_available,0.0500742847427,0.0231070982361,0.071875,0,canonical_netlist_dedup
classic_revolution_8x5,1001,RTLLM,Prob024_fsm,deepgate_pooled_pc3,64,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0.140960275258,descriptor_projection_missing
deepgate_pooled_pc3_8x5,1001,RTLLM,Prob024_fsm,deepgate_pooled_pc3,64,6,0.09375,1.99710144928,2,not_available,0.0475178168533,1.57664007924,0.080078125,0.116183140444,canonical_netlist_dedup
classic_revolution_8x5,1001,RTLLM,Prob041_traffic_light,deepgate_pooled_pc3,64,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0.247459694989,descriptor_projection_missing
deepgate_pooled_pc3_8x5,1001,RTLLM,Prob041_traffic_light,deepgate_pooled_pc3,64,10,0.15625,2.09651839748,2,not_available,0.0225384029812,1.40940795207,0.1109375,0.078734604212,canonical_netlist_dedup
classic_revolution_8x5,1001,RTLLM,Prob045_alu,deepgate_pooled_pc3,64,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0.224868446679,descriptor_projection_missing
deepgate_pooled_pc3_8x5,1001,RTLLM,Prob045_alu,deepgate_pooled_pc3,64,12,0.1875,4.5736884815,1,not_available,0,2.5207130889,0.103125,0.181316775084,canonical_netlist_dedup
classic_revolution_8x5,1001,RTLLM,Prob049_signal_generator,deepgate_pooled_pc3,64,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0.0166726167764,descriptor_projection_missing
deepgate_pooled_pc3_8x5,1001,RTLLM,Prob049_signal_generator,deepgate_pooled_pc3,64,5,0.078125,1.17387347201,5,not_available,0.0313388767747,1.05648612481,0.0703125,0.00683402432909,canonical_netlist_dedup
classic_revolution_8x5,1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,deepgate_pooled_pc3,64,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0.378175751295,descriptor_projection_missing
deepgate_pooled_pc3_8x5,1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,deepgate_pooled_pc3,64,7,0.109375,2.84996200345,2,not_available,0.0869215658066,2.43828411053,0.0953125,0.398422797928,canonical_netlist_dedup
classic_revolution_8x5,1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,deepgate_pooled_pc3,64,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0,descriptor_projection_missing
deepgate_pooled_pc3_8x5,1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,deepgate_pooled_pc3,64,4,0.0625,0.91952167414,2,not_available,0.211910516689,0.734989536622,0.0515625,0,canonical_netlist_dedup
classic_revolution_8x5,1001,VerilogEval-Spec-to-RTL,Prob153_gshare,deepgate_pooled_pc3,64,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0.000135258004425,descriptor_projection_missing
deepgate_pooled_pc3_8x5,1001,VerilogEval-Spec-to-RTL,Prob153_gshare,deepgate_pooled_pc3,64,10,0.15625,0.499023940255,4,not_available,0.119333304203,0.251849134154,0.0828125,0.000217676234469,canonical_netlist_dedup
