seed,benchmark,problem,observations,archive_members,occupied_cells,active_effective_axes,collapsed_axes,rf_leaf_archive_unique,branch_archive_unique,wire_density_archive_unique
1001,RTLLM,Prob015_multi_pipe_8bit,6,6,6,3,,4,4,5
1001,RTLLM,Prob024_fsm,18,9,8,3,,5,8,7
1001,RTLLM,Prob041_traffic_light,16,12,11,3,,8,12,10
1001,RTLLM,Prob045_alu,18,14,9,2,source_aligned_rf_timing_leaf_ids,1,14,14
1001,RTLLM,Prob049_signal_generator,37,2,2,3,,2,2,2
1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,18,4,4,2,source_aligned_rf_timing_leaf_ids,1,3,4
1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,36,3,2,2,source_aligned_rf_timing_leaf_ids,1,3,2
1001,VerilogEval-Spec-to-RTL,Prob153_gshare,11,10,9,3,,7,9,8
1002,RTLLM,Prob015_multi_pipe_8bit,21,10,8,3,,6,7,9
1002,RTLLM,Prob024_fsm,12,6,5,3,,3,5,4
1002,RTLLM,Prob041_traffic_light,21,16,12,3,,12,15,13
1002,RTLLM,Prob045_alu,11,11,10,2,source_aligned_rf_timing_leaf_ids,1,11,11
1002,RTLLM,Prob049_signal_generator,41,3,2,3,,2,2,3
1002,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,40,5,4,2,source_aligned_rf_timing_leaf_ids,1,2,4
1002,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,44,6,6,2,source_aligned_rf_timing_leaf_ids,1,3,3
1002,VerilogEval-Spec-to-RTL,Prob153_gshare,19,15,10,3,,9,12,14
1003,RTLLM,Prob015_multi_pipe_8bit,16,11,10,3,,8,10,11
1003,RTLLM,Prob024_fsm,22,9,6,3,,4,7,7
1003,RTLLM,Prob041_traffic_light,21,14,10,3,,11,13,13
1003,RTLLM,Prob045_alu,20,14,9,2,source_aligned_rf_timing_leaf_ids,1,14,14
1003,RTLLM,Prob049_signal_generator,33,2,2,3,,2,2,2
1003,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,26,6,5,2,source_aligned_rf_timing_leaf_ids,1,4,5
1003,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,38,4,4,2,source_aligned_rf_timing_leaf_ids,1,3,2
1003,VerilogEval-Spec-to-RTL,Prob153_gshare,22,18,12,3,,10,16,16
