backend,benchmark,problem,objective_count,candidate_count,pareto_point_count,hypervolume,reference_beating_count,best_area_improvement,best_power_improvement,best_period_improvement,problem_dir
classic_revolution_12x3,RTLLM,Prob015_multi_pipe_8bit,3,9,5,0.0,0,0.37142857142857144,0.04342984409799555,0.3048780487804878,/workspace/exp/useful_bd_push/t79_budget_shape_ablation_20260624_043841_UTC/live/classic_revolution_12x3/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
fg_qdm_rf_leafid_front_credit_12x3,RTLLM,Prob015_multi_pipe_8bit,3,4,2,0.0,0,0.3010204081632653,-0.14699331848552327,0.2926829268292684,/workspace/exp/useful_bd_push/front_credit_rf_leafid_fg_qdm_20260626/fg_qdm_rf_leafid_front_credit_12x3/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
fg_qdm_sr_front_credit_12x3,RTLLM,Prob015_multi_pipe_8bit,3,5,2,0.0,0,0.36428571428571427,-0.0144766146993318,-0.21951219512195114,/workspace/exp/useful_bd_push/front_credit_fg_qdm_20260626/fg_qdm_sr_front_credit_12x3/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
fg_qdm_random_front_credit_12x3,RTLLM,Prob015_multi_pipe_8bit,3,8,2,0.0,0,0.38571428571428573,0.01559020044543428,-0.2560975609756097,/workspace/exp/useful_bd_push/front_credit_fg_qdm_controls_20260626/fg_qdm_random_front_credit_12x3/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
classic_revolution_12x3,RTLLM,Prob041_traffic_light,2,27,3,0.3154923747276689,22,0.3588235294117647,0.992037037037037,0.0,/workspace/exp/useful_bd_push/t79_budget_shape_ablation_20260624_043841_UTC/live/classic_revolution_12x3/seed_1001/openai_gpt-oss-120b/RTLLM/Prob041_traffic_light
fg_qdm_rf_leafid_front_credit_12x3,RTLLM,Prob041_traffic_light,2,19,3,0.2330537400145243,16,0.23529411764705882,0.9909259259259259,0.0,/workspace/exp/useful_bd_push/front_credit_rf_leafid_fg_qdm_20260626/fg_qdm_rf_leafid_front_credit_12x3/seed_1001/openai_gpt-oss-120b/RTLLM/Prob041_traffic_light
fg_qdm_sr_front_credit_12x3,RTLLM,Prob041_traffic_light,2,18,2,0.23295025417574436,10,0.23529411764705882,0.9903395061728395,0.0,/workspace/exp/useful_bd_push/front_credit_fg_qdm_20260626/fg_qdm_sr_front_credit_12x3/seed_1001/openai_gpt-oss-120b/RTLLM/Prob041_traffic_light
fg_qdm_random_front_credit_12x3,RTLLM,Prob041_traffic_light,2,12,4,0.13844625998547566,7,0.1588235294117647,0.9898456790123455,0.0,/workspace/exp/useful_bd_push/front_credit_fg_qdm_controls_20260626/fg_qdm_random_front_credit_12x3/seed_1001/openai_gpt-oss-120b/RTLLM/Prob041_traffic_light
classic_revolution_12x3,RTLLM,Prob045_alu,2,30,1,0.25549949142519224,30,0.2575280898876405,0.9921228070175439,0.0,/workspace/exp/useful_bd_push/t79_budget_shape_ablation_20260624_043841_UTC/live/classic_revolution_12x3/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu
fg_qdm_rf_leafid_front_credit_12x3,RTLLM,Prob045_alu,2,20,1,0.23660639858072147,20,0.23865168539325843,0.9914298245614035,0.0,/workspace/exp/useful_bd_push/front_credit_rf_leafid_fg_qdm_20260626/fg_qdm_rf_leafid_front_credit_12x3/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu
fg_qdm_sr_front_credit_12x3,RTLLM,Prob045_alu,2,18,1,0.2272028385570668,18,0.2292134831460674,0.9912280701754386,0.0,/workspace/exp/useful_bd_push/front_credit_fg_qdm_20260626/fg_qdm_sr_front_credit_12x3/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu
fg_qdm_random_front_credit_12x3,RTLLM,Prob045_alu,2,14,2,0.1759685393258427,14,0.17752808988764046,0.9912280701754386,0.0,/workspace/exp/useful_bd_push/front_credit_fg_qdm_controls_20260626/fg_qdm_random_front_credit_12x3/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu
