problem,lane,generated,valid_ppa,global_front_adds,local_front_adds
Prob015_multi_pipe_8bit,classic,35,4,2,2
Prob015_multi_pipe_8bit,memory_refine,1,0,0,0
Prob015_multi_pipe_8bit,front_rescue,0,0,0,0
Prob015_multi_pipe_8bit,probe,0,0,0,0
Prob041_traffic_light,classic,32,20,5,11
Prob041_traffic_light,memory_refine,2,1,0,1
Prob041_traffic_light,front_rescue,2,2,1,2
Prob041_traffic_light,probe,0,0,0,0
Prob045_alu,classic,31,13,4,11
Prob045_alu,memory_refine,3,1,0,1
Prob045_alu,front_rescue,2,2,1,2
Prob045_alu,probe,0,0,0,0
ALL,classic,98,37,11,24
ALL,memory_refine,6,2,0,2
ALL,front_rescue,4,4,2,4
ALL,probe,0,0,0,0
