scope,name,method,reference,metric,value,reference_value,delta,relative_delta
problem_seed,1001:RTLLM:Prob004_adder_8bit,code_thought_front_slot_qd,classic_revolution,global_ppa_hypervolume,0.151026,0.151026,0.000000,0.000000
problem_seed,1001:RTLLM:Prob004_adder_8bit,code_thought_front_slot_qd,classic_revolution,hv_auc,0.125855,0.125855,0.000000,0.000000
problem_seed,1001:RTLLM:Prob004_adder_8bit,code_thought_front_slot_qd,classic_revolution,best_score,0.381544,0.381544,0.000000,0.000000
problem_seed,1001:RTLLM:Prob004_adder_8bit,code_thought_front_slot_qd,classic_revolution,valid_ppa_count,36.000000,28.000000,8.000000,0.285714
problem_seed,1001:RTLLM:Prob004_adder_8bit,code_thought_front_slot_qd,classic_revolution,ppa_front_points,1.000000,1.000000,0.000000,0.000000
problem_seed,1001:RTLLM:Prob004_adder_8bit,code_thought_front_slot_qd,classic_revolution,unique_ppa_points,2.000000,7.000000,-5.000000,-0.714286
problem_seed,1001:RTLLM:Prob004_adder_8bit,code_thought_front_slot_qd,classic_revolution,reference_beating_count,2.000000,2.000000,0.000000,0.000000
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,code_thought_front_slot_qd,classic_revolution,global_ppa_hypervolume,0.000000,0.000000,0.000000,
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,code_thought_front_slot_qd,classic_revolution,hv_auc,0.000000,0.000000,0.000000,
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,code_thought_front_slot_qd,classic_revolution,best_score,0.169051,0.135230,0.033821,0.250100
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,code_thought_front_slot_qd,classic_revolution,valid_ppa_count,8.000000,13.000000,-5.000000,-0.384615
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,code_thought_front_slot_qd,classic_revolution,ppa_front_points,2.000000,9.000000,-7.000000,-0.777778
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,code_thought_front_slot_qd,classic_revolution,unique_ppa_points,6.000000,11.000000,-5.000000,-0.454545
problem_seed,1001:RTLLM:Prob015_multi_pipe_8bit,code_thought_front_slot_qd,classic_revolution,reference_beating_count,0.000000,0.000000,0.000000,
problem_seed,1001:RTLLM:Prob024_fsm,code_thought_front_slot_qd,classic_revolution,global_ppa_hypervolume,0.106881,0.144948,-0.038067,-0.262625
problem_seed,1001:RTLLM:Prob024_fsm,code_thought_front_slot_qd,classic_revolution,hv_auc,0.089068,0.126181,-0.037113,-0.294125
problem_seed,1001:RTLLM:Prob024_fsm,code_thought_front_slot_qd,classic_revolution,best_score,0.469591,0.500234,-0.030643,-0.061257
problem_seed,1001:RTLLM:Prob024_fsm,code_thought_front_slot_qd,classic_revolution,valid_ppa_count,17.000000,16.000000,1.000000,0.062500
problem_seed,1001:RTLLM:Prob024_fsm,code_thought_front_slot_qd,classic_revolution,ppa_front_points,1.000000,2.000000,-1.000000,-0.500000
problem_seed,1001:RTLLM:Prob024_fsm,code_thought_front_slot_qd,classic_revolution,unique_ppa_points,6.000000,11.000000,-5.000000,-0.454545
problem_seed,1001:RTLLM:Prob024_fsm,code_thought_front_slot_qd,classic_revolution,reference_beating_count,2.000000,8.000000,-6.000000,-0.750000
problem_seed,1001:RTLLM:Prob037_parallel2serial,code_thought_front_slot_qd,classic_revolution,global_ppa_hypervolume,0.011871,0.000348,0.011523,33.112069
problem_seed,1001:RTLLM:Prob037_parallel2serial,code_thought_front_slot_qd,classic_revolution,hv_auc,0.009049,0.000058,0.008991,155.017241
problem_seed,1001:RTLLM:Prob037_parallel2serial,code_thought_front_slot_qd,classic_revolution,best_score,0.228349,0.084590,0.143759,1.699480
problem_seed,1001:RTLLM:Prob037_parallel2serial,code_thought_front_slot_qd,classic_revolution,valid_ppa_count,18.000000,18.000000,0.000000,0.000000
problem_seed,1001:RTLLM:Prob037_parallel2serial,code_thought_front_slot_qd,classic_revolution,ppa_front_points,1.000000,1.000000,0.000000,0.000000
problem_seed,1001:RTLLM:Prob037_parallel2serial,code_thought_front_slot_qd,classic_revolution,unique_ppa_points,5.000000,6.000000,-1.000000,-0.166667
problem_seed,1001:RTLLM:Prob037_parallel2serial,code_thought_front_slot_qd,classic_revolution,reference_beating_count,2.000000,1.000000,1.000000,1.000000
problem_seed,1001:RTLLM:Prob041_traffic_light,code_thought_front_slot_qd,classic_revolution,global_ppa_hypervolume,0.267959,0.306692,-0.038733,-0.126293
problem_seed,1001:RTLLM:Prob041_traffic_light,code_thought_front_slot_qd,classic_revolution,hv_auc,0.267904,0.250632,0.017272,0.068914
problem_seed,1001:RTLLM:Prob041_traffic_light,code_thought_front_slot_qd,classic_revolution,best_score,0.419887,0.416779,0.003108,0.007457
problem_seed,1001:RTLLM:Prob041_traffic_light,code_thought_front_slot_qd,classic_revolution,valid_ppa_count,16.000000,20.000000,-4.000000,-0.200000
problem_seed,1001:RTLLM:Prob041_traffic_light,code_thought_front_slot_qd,classic_revolution,ppa_front_points,2.000000,2.000000,0.000000,0.000000
problem_seed,1001:RTLLM:Prob041_traffic_light,code_thought_front_slot_qd,classic_revolution,unique_ppa_points,8.000000,15.000000,-7.000000,-0.466667
problem_seed,1001:RTLLM:Prob041_traffic_light,code_thought_front_slot_qd,classic_revolution,reference_beating_count,7.000000,14.000000,-7.000000,-0.500000
problem_seed,1001:RTLLM:Prob045_alu,code_thought_front_slot_qd,classic_revolution,global_ppa_hypervolume,0.212928,0.190351,0.022577,0.118607
problem_seed,1001:RTLLM:Prob045_alu,code_thought_front_slot_qd,classic_revolution,hv_auc,0.212928,0.156081,0.056847,0.364215
problem_seed,1001:RTLLM:Prob045_alu,code_thought_front_slot_qd,classic_revolution,best_score,0.401991,0.394596,0.007395,0.018741
problem_seed,1001:RTLLM:Prob045_alu,code_thought_front_slot_qd,classic_revolution,valid_ppa_count,19.000000,10.000000,9.000000,0.900000
problem_seed,1001:RTLLM:Prob045_alu,code_thought_front_slot_qd,classic_revolution,ppa_front_points,1.000000,1.000000,0.000000,0.000000
problem_seed,1001:RTLLM:Prob045_alu,code_thought_front_slot_qd,classic_revolution,unique_ppa_points,17.000000,9.000000,8.000000,0.888889
problem_seed,1001:RTLLM:Prob045_alu,code_thought_front_slot_qd,classic_revolution,reference_beating_count,17.000000,9.000000,8.000000,0.888889
problem_seed,1001:RTLLM:Prob049_signal_generator,code_thought_front_slot_qd,classic_revolution,global_ppa_hypervolume,0.009971,0.012810,-0.002839,-0.221624
problem_seed,1001:RTLLM:Prob049_signal_generator,code_thought_front_slot_qd,classic_revolution,hv_auc,0.007357,0.009922,-0.002565,-0.258516
problem_seed,1001:RTLLM:Prob049_signal_generator,code_thought_front_slot_qd,classic_revolution,best_score,0.234775,0.234775,0.000000,0.000000
problem_seed,1001:RTLLM:Prob049_signal_generator,code_thought_front_slot_qd,classic_revolution,valid_ppa_count,34.000000,17.000000,17.000000,1.000000
problem_seed,1001:RTLLM:Prob049_signal_generator,code_thought_front_slot_qd,classic_revolution,ppa_front_points,2.000000,3.000000,-1.000000,-0.333333
problem_seed,1001:RTLLM:Prob049_signal_generator,code_thought_front_slot_qd,classic_revolution,unique_ppa_points,2.000000,5.000000,-3.000000,-0.600000
problem_seed,1001:RTLLM:Prob049_signal_generator,code_thought_front_slot_qd,classic_revolution,reference_beating_count,2.000000,3.000000,-1.000000,-0.333333
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob098_circuit7,code_thought_front_slot_qd,classic_revolution,global_ppa_hypervolume,0.000000,0.000000,0.000000,
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob098_circuit7,code_thought_front_slot_qd,classic_revolution,hv_auc,0.000000,0.000000,0.000000,
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob098_circuit7,code_thought_front_slot_qd,classic_revolution,best_score,0.012006,0.012006,0.000000,0.000000
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob098_circuit7,code_thought_front_slot_qd,classic_revolution,valid_ppa_count,25.000000,34.000000,-9.000000,-0.264706
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob098_circuit7,code_thought_front_slot_qd,classic_revolution,ppa_front_points,1.000000,1.000000,0.000000,0.000000
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob098_circuit7,code_thought_front_slot_qd,classic_revolution,unique_ppa_points,2.000000,2.000000,0.000000,0.000000
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob098_circuit7,code_thought_front_slot_qd,classic_revolution,reference_beating_count,1.000000,1.000000,0.000000,0.000000
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob116_m2014_q3,code_thought_front_slot_qd,classic_revolution,global_ppa_hypervolume,0.398423,0.397461,0.000962,0.002420
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob116_m2014_q3,code_thought_front_slot_qd,classic_revolution,hv_auc,0.398423,0.397444,0.000979,0.002463
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob116_m2014_q3,code_thought_front_slot_qd,classic_revolution,best_score,0.465352,0.464404,0.000948,0.002041
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob116_m2014_q3,code_thought_front_slot_qd,classic_revolution,valid_ppa_count,35.000000,28.000000,7.000000,0.250000
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob116_m2014_q3,code_thought_front_slot_qd,classic_revolution,ppa_front_points,1.000000,2.000000,-1.000000,-0.500000
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob116_m2014_q3,code_thought_front_slot_qd,classic_revolution,unique_ppa_points,4.000000,5.000000,-1.000000,-0.200000
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob116_m2014_q3,code_thought_front_slot_qd,classic_revolution,reference_beating_count,4.000000,5.000000,-1.000000,-0.200000
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob135_m2014_q6b,code_thought_front_slot_qd,classic_revolution,global_ppa_hypervolume,0.000000,0.000000,0.000000,
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob135_m2014_q6b,code_thought_front_slot_qd,classic_revolution,hv_auc,0.000000,0.000000,0.000000,
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob135_m2014_q6b,code_thought_front_slot_qd,classic_revolution,best_score,0.263617,0.263617,0.000000,0.000000
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob135_m2014_q6b,code_thought_front_slot_qd,classic_revolution,valid_ppa_count,23.000000,37.000000,-14.000000,-0.378378
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob135_m2014_q6b,code_thought_front_slot_qd,classic_revolution,ppa_front_points,1.000000,1.000000,0.000000,0.000000
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob135_m2014_q6b,code_thought_front_slot_qd,classic_revolution,unique_ppa_points,2.000000,3.000000,-1.000000,-0.333333
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob135_m2014_q6b,code_thought_front_slot_qd,classic_revolution,reference_beating_count,0.000000,0.000000,0.000000,
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob150_review2015_fsmonehot,code_thought_front_slot_qd,classic_revolution,global_ppa_hypervolume,0.000000,0.000000,0.000000,
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob150_review2015_fsmonehot,code_thought_front_slot_qd,classic_revolution,hv_auc,0.000000,0.000000,0.000000,
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob150_review2015_fsmonehot,code_thought_front_slot_qd,classic_revolution,best_score,0.329686,0.329686,0.000000,0.000000
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob150_review2015_fsmonehot,code_thought_front_slot_qd,classic_revolution,valid_ppa_count,11.000000,21.000000,-10.000000,-0.476190
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob150_review2015_fsmonehot,code_thought_front_slot_qd,classic_revolution,ppa_front_points,1.000000,1.000000,0.000000,0.000000
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob150_review2015_fsmonehot,code_thought_front_slot_qd,classic_revolution,unique_ppa_points,3.000000,3.000000,0.000000,0.000000
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob150_review2015_fsmonehot,code_thought_front_slot_qd,classic_revolution,reference_beating_count,2.000000,2.000000,0.000000,0.000000
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob151_review2015_fsm,code_thought_front_slot_qd,classic_revolution,global_ppa_hypervolume,0.000000,0.000000,0.000000,
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob151_review2015_fsm,code_thought_front_slot_qd,classic_revolution,hv_auc,0.000000,0.000000,0.000000,
problem_seed,1001:VerilogEval-Spec-to-RTL:Prob151_review2015_fsm,code_thought_front_slot_qd,classic_revolution,best_score,,-0.363048,,
