seed,method,method_label,benchmark,problem,total_generated,syntax_count,functionality_count,valid_ppa_count,syntax_rate,functionality_rate,valid_ppa_rate,best_score,global_ppa_hypervolume,hv_auc,ppa_front_points,reference_beating_count,unique_ppa_points,duplicate_ppa_point_count,front_nn_distance,front_bbox_volume,active_archive_coverage,active_archive_qd_score,active_archive_members,active_global_pareto_members,active_qd_score_auc,active_coverage_auc,qd_two_parent_gate,success_parent_requests,two_parent_attempts
1001,classic_revolution,Classic,RTLLM,Prob004_adder_8bit,48,29,29,28,0.604167,0.604167,0.583333,0.381544,0.151026,0.125855,1,2,7,0,0.000000,0.000000,,,,,,,,,
1001,code_thought_front_slot_qd,T51 code-thought front-slot QD,RTLLM,Prob004_adder_8bit,48,36,36,36,0.750000,0.750000,0.750000,0.381544,0.151026,0.125855,1,2,2,0,0.000000,0.000000,0.250000,0.762911,2,1,0.127152,0.041667,none,0,0
1001,classic_revolution,Classic,RTLLM,Prob015_multi_pipe_8bit,48,47,13,13,0.979167,0.270833,0.270833,0.135230,0.000000,0.000000,9,0,11,0,0.331250,0.928172,,,,,,,,,
1001,code_thought_front_slot_qd,T51 code-thought front-slot QD,RTLLM,Prob015_multi_pipe_8bit,48,47,8,8,0.979167,0.166667,0.166667,0.169051,0.000000,0.000000,2,0,6,0,0.414366,0.000865,0.078125,0.282248,6,2,0.210096,0.044271,none,0,0
1001,classic_revolution,Classic,RTLLM,Prob024_fsm,48,43,19,16,0.895833,0.395833,0.333333,0.500234,0.144948,0.126181,2,8,11,0,0.230150,0.026275,,,,,,,,,
1001,code_thought_front_slot_qd,T51 code-thought front-slot QD,RTLLM,Prob024_fsm,48,40,23,17,0.833333,0.479167,0.354167,0.469591,0.106881,0.089068,1,2,6,0,0.000000,0.000000,0.078125,1.457412,6,1,0.944789,0.054688,none,0,0
1001,classic_revolution,Classic,RTLLM,Prob037_parallel2serial,48,48,21,18,1.000000,0.437500,0.375000,0.084590,0.000348,0.000058,1,1,6,0,0.000000,0.000000,,,,,,,,,
1001,code_thought_front_slot_qd,T51 code-thought front-slot QD,RTLLM,Prob037_parallel2serial,48,48,18,18,1.000000,0.375000,0.375000,0.228349,0.011871,0.009049,1,2,5,0,0.000000,0.000000,0.185185,0.305946,5,1,0.273186,0.160494,none,0,0
1001,classic_revolution,Classic,RTLLM,Prob041_traffic_light,48,47,21,20,0.979167,0.437500,0.416667,0.416779,0.306692,0.250632,2,14,15,0,0.290946,0.019924,,,,,,,,,
1001,code_thought_front_slot_qd,T51 code-thought front-slot QD,RTLLM,Prob041_traffic_light,48,48,16,16,1.000000,0.333333,0.333333,0.419887,0.267959,0.267904,2,7,8,0,0.094136,0.000174,0.125000,2.230326,8,2,1.443869,0.078125,none,0,0
1001,classic_revolution,Classic,RTLLM,Prob045_alu,48,47,11,10,0.979167,0.229167,0.208333,0.394596,0.190351,0.156081,1,9,9,0,0.000000,0.000000,,,,,,,,,
