backend,benchmark,problem,objective_count,candidate_count,pareto_point_count,hypervolume,reference_beating_count,best_area_improvement,best_power_improvement,best_period_improvement,problem_dir
classic_revolution,RTLLM,Prob004_adder_8bit,2,7,1,0.1510262891809909,2,0.15217391304347827,0.9924584717607973,0.0,/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit
source_aligned_rtl_cell_qd,RTLLM,Prob004_adder_8bit,2,1,1,0.1510262891809909,1,0.15217391304347827,0.9924584717607973,0.0,/workspace/exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit
classic_revolution,RTLLM,Prob015_multi_pipe_8bit,3,11,9,0.0,0,0.3877551020408163,0.3841870824053452,0.39024390243902446,/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
source_aligned_rtl_cell_qd,RTLLM,Prob015_multi_pipe_8bit,3,7,1,0.0,0,0.3989795918367347,0.5400890868596881,-0.23170731707317066,/workspace/exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
classic_revolution,RTLLM,Prob024_fsm,2,11,2,0.14494838911479507,8,0.3695652173913043,0.4633093525179856,0.0,/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm
source_aligned_rtl_cell_qd,RTLLM,Prob024_fsm,2,9,1,0.17973099781044727,6,0.3695652173913043,0.48633093525179855,0.0,/workspace/exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm
classic_revolution,RTLLM,Prob037_parallel2serial,3,6,1,0.0003482953151827327,1,0.06,0.1567328918322296,0.03703703703703707,/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob037_parallel2serial
source_aligned_rtl_cell_qd,RTLLM,Prob037_parallel2serial,3,3,2,0.0,0,0.0,0.0,0.03703703703703707,/workspace/exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob037_parallel2serial
classic_revolution,RTLLM,Prob041_traffic_light,2,15,2,0.3066920842411039,14,0.32941176470588235,0.9915123456790125,0.0,/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob041_traffic_light
source_aligned_rtl_cell_qd,RTLLM,Prob041_traffic_light,2,12,1,0.2042619825708061,10,0.20588235294117646,0.9921296296296297,0.0,/workspace/exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob041_traffic_light
classic_revolution,RTLLM,Prob045_alu,2,9,1,0.19035126355213877,9,0.19191011235955055,0.9918771929824561,0.0,/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu
source_aligned_rtl_cell_qd,RTLLM,Prob045_alu,2,11,1,0.25543397989355415,11,0.2575280898876405,0.9918684210526316,0.0,/workspace/exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu
classic_revolution,RTLLM,Prob049_signal_generator,3,5,3,0.012809822347153601,3,0.22340425531914893,0.46038543897216266,0.16279069767441862,/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob049_signal_generator
source_aligned_rtl_cell_qd,RTLLM,Prob049_signal_generator,3,1,1,0.006834024329126608,1,0.1276595744680851,0.46038543897216266,0.11627906976744183,/workspace/exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob049_signal_generator
classic_revolution,VerilogEval-Spec-to-RTL,Prob098_circuit7,2,2,1,0.0,1,0.0,0.03601694915254233,0.0,/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob098_circuit7
source_aligned_rtl_cell_qd,VerilogEval-Spec-to-RTL,Prob098_circuit7,2,2,1,0.0,1,0.0,0.03601694915254233,0.0,/workspace/exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob098_circuit7
classic_revolution,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,2,5,2,0.39746113989637305,5,0.4,0.9940932642487046,0.0,/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob116_m2014_q3
source_aligned_rtl_cell_qd,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,2,2,1,0.39842279792746116,2,0.4,0.9960569948186528,0.0,/workspace/exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob116_m2014_q3
classic_revolution,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,2,3,1,0.0,0,-0.2,0.9908520179372198,0.0,/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob135_m2014_q6b
source_aligned_rtl_cell_qd,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,2,2,1,0.0,0,-0.2,0.9908520179372198,0.0,/workspace/exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob135_m2014_q6b
classic_revolution,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,2,3,1,0.0,2,0.0,0.9890588235294117,0.0,/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob150_review2015_fsmonehot
source_aligned_rtl_cell_qd,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,2,3,1,0.0,2,0.0,0.9890588235294117,0.0,/workspace/exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob150_review2015_fsmonehot
classic_revolution,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,3,2,2,0.0,0,-0.4696969696969697,-0.5123042505592842,-0.03571428571428574,/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob151_review2015_fsm
source_aligned_rtl_cell_qd,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,3,2,1,0.0,0,-0.18181818181818182,-0.4407158836689039,0.03571428571428574,/workspace/exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob151_review2015_fsm
classic_revolution,VerilogEval-Spec-to-RTL,Prob153_gshare,3,8,4,0.00017259678120922156,1,0.058512396694214874,0.33409610983981697,0.09333333333333327,/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob153_gshare
source_aligned_rtl_cell_qd,VerilogEval-Spec-to-RTL,Prob153_gshare,3,10,4,0.000336378135421198,3,0.09752066115702479,0.3432494279176202,0.10666666666666662,/workspace/exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob153_gshare
