backend,benchmark,problem,circuit_type,generation,candidate_id,strategy,source,score_from_run,ppa_score,area,power,eff_clk_period,ref_area,ref_power,ref_eff_clk_period,g_A,g_P,g_T,candidate_dir,report_path
source_aligned_rtl_cell_qd,RTLLM,Prob004_adder_8bit,combinational,1,c3cbab8e-0631-47fc-80b4-5555ba2c609c,single_thought_operator,generation_log,0.381544128268,0.572316192402,39,2.27e-05,0,46,0.00301,0,0.152173913043,0.992458471761,0,/workspace/exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit/Gen1/Prob004_adder_8bit_sample1_single_thought_operator,
source_aligned_rtl_cell_qd,RTLLM,Prob015_multi_pipe_8bit,sequential,1,8d19382e-659f-4fa4-807a-97dcbe1e5eca,single_thought_operator,generation_log,0.235787120541,0.235787120541,589,0.0413,1.01,980,0.0898,0.82,0.398979591837,0.54008908686,-0.231707317073,/workspace/exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen1/Prob015_multi_pipe_8bit_sample11_single_thought_operator,
source_aligned_rtl_cell_qd,RTLLM,Prob024_fsm,combinational,3,2da7a8cb-64d2-43e8-99da-7664d2dfe1fc,single_thought_operator,generation_log,0.548632050881,0.427948076322,29,0.00357,0.21,46,0.00695,0,0.369565217391,0.486330935252,-210000000000,/workspace/exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen3/Prob024_fsm_sample5_single_thought_operator,
source_aligned_rtl_cell_qd,RTLLM,Prob037_parallel2serial,sequential,0,9d88e011-2f04-4419-bf29-39aa4551c678,initial,generation_log,-0,0,50,0.00453,0.27,50,0.00453,0.27,0,0,0,/workspace/exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob037_parallel2serial/Gen0/Prob037_parallel2serial_sample5_initial,
source_aligned_rtl_cell_qd,RTLLM,Prob041_traffic_light,combinational,2,45d9a775-9fa8-4f1f-b681-d44b5f3d63b9,single_thought_operator,generation_log,0.399337327524,0.599005991285,135,0.000255,0,170,0.0324,0,0.205882352941,0.99212962963,0,/workspace/exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob041_traffic_light/Gen2/Prob041_traffic_light_sample6_single_thought_operator,
source_aligned_rtl_cell_qd,RTLLM,Prob045_alu,combinational,1,98630f29-e89a-4287-a20c-7ea64c06f230,single_thought_operator,generation_log,0.416465503647,0.62469825547,1652,0.000927,0,2225,0.114,0,0.257528089888,0.991868421053,0,/workspace/exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu/Gen1/Prob045_alu_sample6_single_thought_operator,
source_aligned_rtl_cell_qd,RTLLM,Prob049_signal_generator,sequential,0,b3df8461-8075-4995-b387-dfd2bd7ffe19,initial,generation_log,0.234774694403,0.234774694403,82,0.00252,0.38,94,0.00467,0.43,0.127659574468,0.460385438972,0.116279069767,/workspace/exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob049_signal_generator/Gen0/Prob049_signal_generator_sample1_initial,
source_aligned_rtl_cell_qd,VerilogEval-Spec-to-RTL,Prob098_circuit7,combinational,0,907334ef-16bd-4b85-8075-9d95731d0108,initial,generation_log,0.0120056497175,0.0180084745763,5,0.000455,0,5,0.000472,0,0,0.0360169491525,0,/workspace/exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob098_circuit7/Gen0/Prob098_circuit7_sample7_initial,
source_aligned_rtl_cell_qd,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,combinational,0,3a9185f6-431a-4da6-a149-e97fef030227,initial,generation_log,0.465352331606,0.698028497409,3,7.61e-07,0,5,0.000193,0,0.4,0.996056994819,0,/workspace/exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob116_m2014_q3/Gen0/Prob116_m2014_q3_sample3_initial,
source_aligned_rtl_cell_qd,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,combinational,3,8bc6527c-fc74-47b3-a472-fe95890fd341,single_thought_operator,generation_log,0.263617339312,0.395426008969,6,2.04e-06,0,5,0.000223,0,-0.2,0.990852017937,0,/workspace/exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob135_m2014_q6b/Gen3/Prob135_m2014_q6b_sample3_single_thought_operator,
source_aligned_rtl_cell_qd,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,combinational,0,bf64a60a-dfda-411a-bc03-553e1c2d8674,initial,generation_log,0.32968627451,0.494529411765,13,3.72e-06,0,13,0.00034,0,0,0.989058823529,0,/workspace/exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob150_review2015_fsmonehot/Gen0/Prob150_review2015_fsmonehot_sample5_initial,
source_aligned_rtl_cell_qd,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,sequential,2,8d0ed7ec-3d72-49c3-b522-02d99dd60a27,single_thought_operator,generation_log,-0.195606593258,-0.195606593258,78,0.00644,0.27,66,0.00447,0.28,-0.181818181818,-0.440715883669,0.0357142857143,/workspace/exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob151_review2015_fsm/Gen2/Prob151_review2015_fsm_sample3_single_thought_operator,
source_aligned_rtl_cell_qd,VerilogEval-Spec-to-RTL,Prob153_gshare,sequential,1,a7f7e629-c979-4bc2-aaac-203185db1554,initial,generation_log,0.135602919144,0.135602919144,2790,0.299,0.74,3025,0.437,0.75,0.0776859504132,0.315789473684,0.0133333333333,/workspace/exp/useful_bd_push/t72_source_aligned_rtl_cell_20260623_204847_UTC/hard_tuning/source_aligned_rtl_cell_qd/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob153_gshare/Gen1/Prob153_gshare_sample1_initial,
