backend,benchmark,problem,objective_count,candidate_count,pareto_point_count,hypervolume,reference_beating_count,best_area_improvement,best_power_improvement,best_period_improvement,problem_dir
classic,RTLLM,Prob015_multi_pipe_8bit,3,9,5,0.0,0,0.37142857142857144,0.04342984409799555,0.3048780487804878,/workspace/exp/useful_bd_push/t79_budget_shape_ablation_20260624_043841_UTC/live/classic_revolution_12x3/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
fg_qdm_sr_memory_warmup4_12x3,RTLLM,Prob015_multi_pipe_8bit,3,5,1,0.0,0,0.3877551020408163,0.05902004454342983,-0.23170731707317066,/workspace/exp/useful_bd_push/front_guarded_qd_memory_20260626/fg_qdm_sr_memory_warmup4_12x3/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
fg_qdm_random_memory_12x3,RTLLM,Prob015_multi_pipe_8bit,3,5,2,0.0,0,0.3010204081632653,-0.1135857461024499,-0.23170731707317066,/workspace/exp/useful_bd_push/front_guarded_memory_controls_20260626/fg_qdm_random_memory_12x3/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
fg_qdm_shape_density_memory_12x3,RTLLM,Prob015_multi_pipe_8bit,3,4,3,0.0,0,0.36428571428571427,-0.01559020044543428,-0.23170731707317066,/workspace/exp/useful_bd_push/front_guarded_rtl_native_memory_20260626/fg_qdm_shape_density_memory_12x3/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
classic,RTLLM,Prob041_traffic_light,2,27,3,0.3154923747276689,22,0.3588235294117647,0.992037037037037,0.0,/workspace/exp/useful_bd_push/t79_budget_shape_ablation_20260624_043841_UTC/live/classic_revolution_12x3/seed_1001/openai_gpt-oss-120b/RTLLM/Prob041_traffic_light
fg_qdm_sr_memory_warmup4_12x3,RTLLM,Prob041_traffic_light,2,13,2,0.2272614379084967,10,0.22941176470588234,0.9909259259259259,0.0,/workspace/exp/useful_bd_push/front_guarded_qd_memory_20260626/fg_qdm_sr_memory_warmup4_12x3/seed_1001/openai_gpt-oss-120b/RTLLM/Prob041_traffic_light
fg_qdm_random_memory_12x3,RTLLM,Prob041_traffic_light,2,20,4,0.22158968772694265,11,0.2235294117647059,0.9920987654320987,0.0,/workspace/exp/useful_bd_push/front_guarded_memory_controls_20260626/fg_qdm_random_memory_12x3/seed_1001/openai_gpt-oss-120b/RTLLM/Prob041_traffic_light
fg_qdm_shape_density_memory_12x3,RTLLM,Prob041_traffic_light,2,12,4,0.1692229484386347,7,0.20588235294117646,0.9881481481481481,0.0,/workspace/exp/useful_bd_push/front_guarded_rtl_native_memory_20260626/fg_qdm_shape_density_memory_12x3/seed_1001/openai_gpt-oss-120b/RTLLM/Prob041_traffic_light
classic,RTLLM,Prob045_alu,2,30,1,0.25549949142519224,30,0.2575280898876405,0.9921228070175439,0.0,/workspace/exp/useful_bd_push/t79_budget_shape_ablation_20260624_043841_UTC/live/classic_revolution_12x3/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu
fg_qdm_sr_memory_warmup4_12x3,RTLLM,Prob045_alu,2,19,3,0.18534749457914448,17,0.18696629213483146,0.9913859649122807,0.0,/workspace/exp/useful_bd_push/front_guarded_qd_memory_20260626/fg_qdm_sr_memory_warmup4_12x3/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu
fg_qdm_random_memory_12x3,RTLLM,Prob045_alu,2,18,2,0.19289729942834613,18,0.1946067415730337,0.9912280701754386,0.0,/workspace/exp/useful_bd_push/front_guarded_memory_controls_20260626/fg_qdm_random_memory_12x3/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu
fg_qdm_shape_density_memory_12x3,RTLLM,Prob045_alu,2,14,2,0.20987763453577765,14,0.21168539325842697,0.9914824561403509,0.0,/workspace/exp/useful_bd_push/front_guarded_rtl_native_memory_20260626/fg_qdm_shape_density_memory_12x3/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu
