descriptor_axis,descriptor_space,method_name,metric,pearson_r,sample_count
motif_arith_ratio,internal,netlist_motif_occupancy,area,0.15788293879847728,192
motif_arith_ratio,internal,netlist_motif_occupancy,fitness,0.10755062551114511,192
motif_arith_ratio,internal,netlist_motif_occupancy,power,0.17054054189612922,192
motif_arith_ratio,internal,netlist_motif_occupancy,timing_or_clock_period,0.09489623785570624,192
motif_control_ratio,internal,netlist_motif_occupancy,area,0.2586097524352046,192
motif_control_ratio,internal,netlist_motif_occupancy,fitness,-0.15286264010205203,192
motif_control_ratio,internal,netlist_motif_occupancy,power,-0.09172971273850791,192
motif_control_ratio,internal,netlist_motif_occupancy,timing_or_clock_period,0.0010002907769550734,192
motif_diversity,internal,netlist_motif_occupancy,area,-0.30003066375270143,192
motif_diversity,internal,netlist_motif_occupancy,fitness,-0.03602307156226631,192
motif_diversity,internal,netlist_motif_occupancy,power,-0.05810408885111066,192
motif_diversity,internal,netlist_motif_occupancy,timing_or_clock_period,0.15935895072497594,192
motif_logic_ratio,internal,netlist_motif_occupancy,area,-0.26810691411841503,192
motif_logic_ratio,internal,netlist_motif_occupancy,fitness,0.12948868519032347,192
motif_logic_ratio,internal,netlist_motif_occupancy,power,-0.2924430555069695,192
motif_logic_ratio,internal,netlist_motif_occupancy,timing_or_clock_period,-0.29636375446053137,192
motif_arith_ratio,common_audit,netlist_motif_occupancy,area,0.15788293879847728,192
motif_arith_ratio,common_audit,netlist_motif_occupancy,fitness,0.10755062551114511,192
motif_arith_ratio,common_audit,netlist_motif_occupancy,power,0.17054054189612922,192
motif_arith_ratio,common_audit,netlist_motif_occupancy,timing_or_clock_period,0.09489623785570624,192
motif_control_ratio,common_audit,netlist_motif_occupancy,area,0.2586097524352046,192
motif_control_ratio,common_audit,netlist_motif_occupancy,fitness,-0.15286264010205203,192
motif_control_ratio,common_audit,netlist_motif_occupancy,power,-0.09172971273850791,192
motif_control_ratio,common_audit,netlist_motif_occupancy,timing_or_clock_period,0.0010002907769550734,192
motif_diversity,common_audit,netlist_motif_occupancy,area,-0.30003066375270143,192
motif_diversity,common_audit,netlist_motif_occupancy,fitness,-0.03602307156226631,192
motif_diversity,common_audit,netlist_motif_occupancy,power,-0.05810408885111066,192
motif_diversity,common_audit,netlist_motif_occupancy,timing_or_clock_period,0.15935895072497594,192
motif_logic_ratio,common_audit,netlist_motif_occupancy,area,-0.26810691411841503,192
motif_logic_ratio,common_audit,netlist_motif_occupancy,fitness,0.12948868519032347,192
motif_logic_ratio,common_audit,netlist_motif_occupancy,power,-0.2924430555069695,192
motif_logic_ratio,common_audit,netlist_motif_occupancy,timing_or_clock_period,-0.29636375446053137,192
