metric,classic,method,delta,relative_delta
mean_hypervolume,0.12448470080563463,0.06055766080856979,-0.06392703999706484,-0.5135333063689322
mean_best_fitness,0.2670645637361175,0.23500889617310095,-0.03205566756301653,-0.12002965543077539
valid_ppa_candidate_count,209.0,192.0,-17.0,-0.08133971291866028
ppa_front_unique_netlist_count,12.0,13.0,1.0,0.08333333333333333
unique_motif_signature_count,43.0,37.0,-6.0,-0.13953488372093023
common_audit_occupied_cells,12.0,8.0,-4.0,-0.3333333333333333
common_audit_qd_score,2.316311854699285,-3.0274242981817947,-5.34373615288108,-2.3070020308534103
functionality_rate,0.7256944444444444,0.6666666666666666,-0.05902777777777779,-0.08133971291866031
synthesis_rate,0.7256944444444444,0.6666666666666666,-0.05902777777777779,-0.08133971291866031
valid_ppa_rate,0.7256944444444444,0.6666666666666666,-0.05902777777777779,-0.08133971291866031
