metric,classic,method,delta,relative_delta
mean_hypervolume,0.12448470080563463,0.12082656880598985,-0.0036581319996447786,-0.02938619746820485
mean_best_fitness,0.2670645637361175,0.25108779929753894,-0.01597676443857854,-0.05982360300846556
valid_ppa_candidate_count,209.0,205.0,-4.0,-0.019138755980861243
ppa_front_unique_netlist_count,12.0,13.0,1.0,0.08333333333333333
unique_motif_signature_count,43.0,52.0,9.0,0.20930232558139536
common_audit_occupied_cells,12.0,11.0,-1.0,-0.08333333333333333
common_audit_qd_score,2.316311854699285,-2.0643056970490226,-4.3806175517483075,-1.891203700771553
functionality_rate,0.7256944444444444,0.7118055555555556,-0.01388888888888884,-0.019138755980861177
synthesis_rate,0.7256944444444444,0.7118055555555556,-0.01388888888888884,-0.019138755980861177
valid_ppa_rate,0.7256944444444444,0.7118055555555556,-0.01388888888888884,-0.019138755980861177
