descriptor_axis,descriptor_space,method_name,metric,pearson_r,sample_count
sr_vq_0,internal,sr_vq_codebook_qd,area,0.5875411813680066,174
sr_vq_0,internal,sr_vq_codebook_qd,fitness,0.02566291530654697,174
sr_vq_0,internal,sr_vq_codebook_qd,power,0.191982325996045,174
sr_vq_0,internal,sr_vq_codebook_qd,timing_or_clock_period,0.296075658957817,174
sr_vq_1,internal,sr_vq_codebook_qd,area,-0.11608425277145959,174
sr_vq_1,internal,sr_vq_codebook_qd,fitness,-0.04169581167016384,174
sr_vq_1,internal,sr_vq_codebook_qd,power,-0.21731822789503408,174
sr_vq_1,internal,sr_vq_codebook_qd,timing_or_clock_period,-0.19977796102676457,174
sr_vq_2,internal,sr_vq_codebook_qd,area,0.4278803808434945,174
sr_vq_2,internal,sr_vq_codebook_qd,fitness,0.051220534090212703,174
sr_vq_2,internal,sr_vq_codebook_qd,power,0.08915208449927216,174
sr_vq_2,internal,sr_vq_codebook_qd,timing_or_clock_period,0.1869764586771968,174
motif_arith_ratio,common_audit,sr_vq_codebook_qd,area,0.17251683022872816,174
motif_arith_ratio,common_audit,sr_vq_codebook_qd,fitness,0.17287408552225694,174
motif_arith_ratio,common_audit,sr_vq_codebook_qd,power,0.17934773790454897,174
motif_arith_ratio,common_audit,sr_vq_codebook_qd,timing_or_clock_period,0.11170833702881308,174
motif_control_ratio,common_audit,sr_vq_codebook_qd,area,0.21315740596840813,174
motif_control_ratio,common_audit,sr_vq_codebook_qd,fitness,0.1987498120351262,174
motif_control_ratio,common_audit,sr_vq_codebook_qd,power,-0.19720511186643933,174
motif_control_ratio,common_audit,sr_vq_codebook_qd,timing_or_clock_period,-0.05526120558428005,174
motif_diversity,common_audit,sr_vq_codebook_qd,area,-0.29437013834907394,174
motif_diversity,common_audit,sr_vq_codebook_qd,fitness,-0.05984404033941592,174
motif_diversity,common_audit,sr_vq_codebook_qd,power,-0.07780805893869412,174
motif_diversity,common_audit,sr_vq_codebook_qd,timing_or_clock_period,0.118845163309192,174
motif_logic_ratio,common_audit,sr_vq_codebook_qd,area,-0.24991991020994464,174
motif_logic_ratio,common_audit,sr_vq_codebook_qd,fitness,0.06689486123453718,174
motif_logic_ratio,common_audit,sr_vq_codebook_qd,power,-0.24004968138885044,174
motif_logic_ratio,common_audit,sr_vq_codebook_qd,timing_or_clock_period,-0.24800607283569265,174
