representation,metric,value,lexical_value,delta,relative_delta
fitness_top,selected_hypervolume,3.8232476279516034,3.701826554688716,0.12142107326288754,0.03280031397178676
fitness_top,selected_pareto_size,300.0,283.0,17.0,0.06007067137809187
fitness_top,selected_best_fitness,0.7498077353006931,0.6881421864520456,0.0616655488486475,0.0896116384995745
fitness_top,unique_canonical_netlists,52.0,60.0,-8.0,-0.13333333333333333
fitness_top,unique_motif_signatures,44.0,54.0,-10.0,-0.18518518518518517
generation_prefix,selected_hypervolume,3.1551856809847187,3.701826554688716,-0.5466408737039972,-0.14766787844547294
generation_prefix,selected_pareto_size,303.0,283.0,20.0,0.0706713780918728
generation_prefix,selected_best_fitness,0.6950547730829421,0.6881421864520456,0.0069125866308964445,0.010045288265985651
generation_prefix,unique_canonical_netlists,50.0,60.0,-10.0,-0.16666666666666666
generation_prefix,unique_motif_signatures,45.0,54.0,-9.0,-0.16666666666666666
qwen_identifier_farthest,selected_hypervolume,3.825836092023533,3.701826554688716,0.12400953733481712,0.033499553667026144
qwen_identifier_farthest,selected_pareto_size,289.0,283.0,6.0,0.02120141342756184
qwen_identifier_farthest,selected_best_fitness,0.7498077353006931,0.6881421864520456,0.0616655488486475,0.0896116384995745
qwen_identifier_farthest,unique_canonical_netlists,59.0,60.0,-1.0,-0.016666666666666666
qwen_identifier_farthest,unique_motif_signatures,51.0,54.0,-3.0,-0.05555555555555555
qwen_raw_farthest,selected_hypervolume,3.6555395380963835,3.701826554688716,-0.046287016592332364,-0.012503831799927376
qwen_raw_farthest,selected_pareto_size,294.0,283.0,11.0,0.038869257950530034
qwen_raw_farthest,selected_best_fitness,0.6950547730829421,0.6881421864520456,0.0069125866308964445,0.010045288265985651
qwen_raw_farthest,unique_canonical_netlists,57.0,60.0,-3.0,-0.05
qwen_raw_farthest,unique_motif_signatures,50.0,54.0,-4.0,-0.07407407407407407
random,selected_hypervolume,3.0741669813303787,3.701826554688716,-0.6276595733583372,-0.16955401991034577
random,selected_pareto_size,303.0,283.0,20.0,0.0706713780918728
random,selected_best_fitness,0.6950547730829421,0.6881421864520456,0.0069125866308964445,0.010045288265985651
random,unique_canonical_netlists,59.0,60.0,-1.0,-0.016666666666666666
random,unique_motif_signatures,50.0,54.0,-4.0,-0.07407407407407407
