representation,variant,latent_dim,input_dim,train_rows,holdout_rows,train_reconstruction_mse,holdout_reconstruction_mse,checkpoint_generation
t13_impl_z_farthest,standardized_features,0,36,497,271,0.0,0.0,
t13_pca2_farthest,linear_autoencoder,2,36,497,271,0.5836723313661152,2.3501361627957587,
t13_rff_pca2_farthest,rff_nonlinear_bottleneck,2,64,497,271,0.014233624657608428,0.01494330787516438,
t13_pca4_farthest,linear_autoencoder,4,36,497,271,0.4457762936878432,2.126579825459756,
t13_rff_pca4_farthest,rff_nonlinear_bottleneck,4,64,497,271,0.012925178931091423,0.014332807706843994,
t13_pca8_farthest,linear_autoencoder,8,36,497,271,0.28510940962758197,1.5148506022768027,
t13_rff_pca8_farthest,rff_nonlinear_bottleneck,8,64,497,271,0.010698751765192208,0.01330448205443408,
t13_incremental_pca4_farthest,incremental_linear_autoencoder_gen0,4,36,396,372,0.42481051841928175,1.6900190753865738,0
t13_incremental_pca4_farthest,incremental_linear_autoencoder_gen1,4,36,434,334,0.43486174563652685,1.8437833737314115,1
t13_incremental_pca4_farthest,incremental_linear_autoencoder_gen2,4,36,446,322,0.4378638466522574,1.8893020179104247,2
t13_incremental_pca4_farthest,incremental_linear_autoencoder_gen3,4,36,450,318,0.4430518829244619,1.901669919324395,3
t13_incremental_pca4_farthest,incremental_linear_autoencoder_gen4,4,36,455,313,0.44550067038941427,1.91795719481862,4
t13_incremental_pca4_farthest,incremental_linear_autoencoder_gen5,4,36,462,306,0.44958716495684686,1.94126443066458,5
t13_incremental_pca4_farthest,incremental_linear_autoencoder_gen6,4,36,465,303,0.450426167077133,1.9521181814431972,6
t13_incremental_pca4_farthest,incremental_linear_autoencoder_gen7,4,36,468,300,0.45080739186633395,1.9657188277092774,7
t13_incremental_pca4_farthest,incremental_linear_autoencoder_gen8,4,36,471,297,0.45026605346536624,1.981405718964289,8
t13_incremental_pca4_farthest,incremental_linear_autoencoder_gen9,4,36,476,292,0.44963448863406275,2.006881204513664,9
t13_incremental_pca4_farthest,incremental_linear_autoencoder_gen10,4,36,482,286,0.44732983047561603,2.0422236714924957,10
t13_incremental_pca4_farthest,incremental_linear_autoencoder_gen11,4,36,485,283,0.4466347841388524,2.0593463233263067,11
t13_incremental_pca4_farthest,incremental_linear_autoencoder_gen12,4,36,486,282,0.4464822942254847,2.065082663023247,12
t13_incremental_pca4_farthest,incremental_linear_autoencoder_gen13,4,36,489,279,0.446321916914602,2.0787546369616954,13
t13_incremental_pca4_farthest,incremental_linear_autoencoder_gen14,4,36,492,276,0.44576456366626444,2.095906808623954,14
t13_incremental_pca4_farthest,incremental_linear_autoencoder_gen16,4,36,494,274,0.445179227830602,2.1096689481056536,16
t13_incremental_pca4_farthest,incremental_linear_autoencoder_gen19,4,36,494,274,0.445179227830602,2.1096689481056536,19
t13_incremental_pca4_farthest,incremental_linear_autoencoder_gen20,4,36,497,271,0.4457762936878432,2.126579825459756,20
