representation,point_type,corpus,method,seed,problem_id,candidate_id,area,power,eff_clk_period,fitness,is_all_valid_area_power_front
all_valid,all_valid,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob018_float_multi,e7a3bade-8672-4d2c-8455-eeb0c27a7c98,5463.0,0.86,1.56,0.0,False
all_valid,all_valid,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob018_float_multi,34f03c04-5a3e-4883-a96a-bb7847840ef3,5290.0,0.119,1.65,0.0,True
all_valid,all_valid,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob018_float_multi,4e910484-4b94-45a8-8777-fc11eecf4df1,5651.0,0.161,1.54,0.0,False
all_valid,all_valid,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob018_float_multi,d357a633-3365-4085-a4ed-7dfb1a4fffa6,5256.0,0.12,1.62,0.0,True
all_valid,all_valid,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob018_float_multi,d49ec588-e8dc-49f9-bf5d-013047f1c8ec,5230.0,0.849,1.55,0.0,False
all_valid,all_valid,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob018_float_multi,479a8286-e28a-4f67-be3c-b520a04242a7,5209.0,0.407,1.55,0.0,True
lexical_farthest,selected,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob018_float_multi,e7a3bade-8672-4d2c-8455-eeb0c27a7c98,5463.0,0.86,1.56,0.0,False
lexical_farthest,selected,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob018_float_multi,d357a633-3365-4085-a4ed-7dfb1a4fffa6,5256.0,0.12,1.62,0.0,True
lexical_farthest,selected,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob018_float_multi,479a8286-e28a-4f67-be3c-b520a04242a7,5209.0,0.407,1.55,0.0,True
random,selected,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob018_float_multi,d357a633-3365-4085-a4ed-7dfb1a4fffa6,5256.0,0.12,1.62,0.0,True
random,selected,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob018_float_multi,d49ec588-e8dc-49f9-bf5d-013047f1c8ec,5230.0,0.849,1.55,0.0,False
random,selected,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob018_float_multi,479a8286-e28a-4f67-be3c-b520a04242a7,5209.0,0.407,1.55,0.0,True
t13_impl_z_farthest,selected,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob018_float_multi,e7a3bade-8672-4d2c-8455-eeb0c27a7c98,5463.0,0.86,1.56,0.0,False
t13_impl_z_farthest,selected,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob018_float_multi,34f03c04-5a3e-4883-a96a-bb7847840ef3,5290.0,0.119,1.65,0.0,True
t13_impl_z_farthest,selected,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob018_float_multi,479a8286-e28a-4f67-be3c-b520a04242a7,5209.0,0.407,1.55,0.0,True
all_valid,all_valid,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob011_multi_16bit,76aab9cd-d774-47c8-8593-0b99d87be3f0,1123.0,0.177,1.13,-0.004307464062455,False
all_valid,all_valid,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob011_multi_16bit,79097ff4-eab3-458a-b7c3-db6789f61b6d,1159.0,0.129,1.18,0.058935413245758,True
all_valid,all_valid,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob011_multi_16bit,7b29c8af-1ad2-45e6-a02f-d7b6fd479b2f,1129.0,0.185,1.03,0.0077336540585179,False
all_valid,all_valid,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob011_multi_16bit,7e10376f-88cf-4f17-8931-2b0bce9b5073,1112.0,0.167,1.15,0.0119100433075024,True
all_valid,all_valid,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob011_multi_16bit,801fc0e4-e054-49bd-981a-7e01e0060756,1089.0,0.171,1.21,-0.0055332296257886,True
all_valid,all_valid,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob011_multi_16bit,bb12dc31-aef1-44aa-9568-0fb5721094c9,1288.0,0.206,1.15,-0.1154500235262485,False
lexical_farthest,selected,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob011_multi_16bit,76aab9cd-d774-47c8-8593-0b99d87be3f0,1123.0,0.177,1.13,-0.004307464062455,False
lexical_farthest,selected,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob011_multi_16bit,801fc0e4-e054-49bd-981a-7e01e0060756,1089.0,0.171,1.21,-0.0055332296257886,True
lexical_farthest,selected,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob011_multi_16bit,bb12dc31-aef1-44aa-9568-0fb5721094c9,1288.0,0.206,1.15,-0.1154500235262485,False
random,selected,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob011_multi_16bit,76aab9cd-d774-47c8-8593-0b99d87be3f0,1123.0,0.177,1.13,-0.004307464062455,False
random,selected,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob011_multi_16bit,79097ff4-eab3-458a-b7c3-db6789f61b6d,1159.0,0.129,1.18,0.058935413245758,True
random,selected,aspdac2026_release,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob011_multi_16bit,bb12dc31-aef1-44aa-9568-0fb5721094c9,1288.0,0.206,1.15,-0.1154500235262485,False
