problem,method,front_cell_delta,occupied_cell_delta,mean_complexity_delta,mean_front_complexity_delta
Prob001_accu,sr_raw_conservative_exploit_qd,-1.000000,1.000000,9.762237,1.500000
Prob002_adder_16bit,sr_raw_conservative_exploit_qd,0.000000,1.000000,0.272727,0.000000
Prob003_adder_32bit,sr_raw_conservative_exploit_qd,0.000000,0.000000,-56.288235,0.000000
Prob004_adder_8bit,sr_raw_conservative_exploit_qd,0.000000,0.000000,-5.113636,-15.000000
Prob005_adder_bcd,sr_raw_conservative_exploit_qd,0.000000,-1.000000,0.615686,0.000000
Prob007_comparator_3bit,sr_raw_conservative_exploit_qd,0.000000,-2.000000,-4.312500,-15.000000
Prob008_comparator_4bit,sr_raw_conservative_exploit_qd,0.000000,-1.000000,0.788889,0.000000
Prob009_div_16bit,sr_raw_conservative_exploit_qd,-1.000000,-1.000000,8.852500,10.550000
Prob011_multi_16bit,sr_raw_conservative_exploit_qd,0.000000,2.000000,0.484962,-0.666667
Prob012_multi_8bit,sr_raw_conservative_exploit_qd,0.000000,0.000000,0.000000,0.000000
Prob015_multi_pipe_8bit,sr_raw_conservative_exploit_qd,-2.000000,-2.000000,11.333333,11.800000
Prob019_sub_64bit,sr_raw_conservative_exploit_qd,0.000000,0.000000,165.444444,-303.000000
Prob020_JC_counter,sr_raw_conservative_exploit_qd,0.000000,0.000000,2.000000,0.000000
Prob021_counter_12,sr_raw_conservative_exploit_qd,-1.000000,0.000000,-3.666667,-2.666667
Prob023_up_down_counter,sr_raw_conservative_exploit_qd,0.000000,-2.000000,-21.000000,-66.000000
Prob024_fsm,sr_raw_conservative_exploit_qd,2.000000,-1.000000,2.500000,22.333333
Prob025_sequence_detector,sr_raw_conservative_exploit_qd,1.000000,3.000000,9.428571,13.000000
Prob027_LIFObuffer,sr_raw_conservative_exploit_qd,2.000000,1.000000,9.016827,9.583333
Prob030_right_shifter,sr_raw_conservative_exploit_qd,0.000000,0.000000,2.666666,0.000000
Prob031_freq_div,sr_raw_conservative_exploit_qd,0.000000,0.000000,5.466667,3.000000
Prob035_calendar,sr_raw_conservative_exploit_qd,1.000000,0.000000,1.400000,2.333333
Prob036_edge_detect,sr_raw_conservative_exploit_qd,0.000000,-1.000000,4.750000,4.000000
Prob037_parallel2serial,sr_raw_conservative_exploit_qd,1.000000,-3.000000,0.791667,0.500000
Prob041_traffic_light,sr_raw_conservative_exploit_qd,-2.000000,-4.000000,6.282353,-0.666667
Prob043_RAM,sr_raw_conservative_exploit_qd,0.000000,-3.000000,-5.318182,-8.000000
Prob044_ROM,sr_raw_conservative_exploit_qd,0.000000,0.000000,-1.333334,-2.000000
Prob045_alu,sr_raw_conservative_exploit_qd,0.000000,-5.000000,-4.226190,-5.000000
Prob047_instr_reg,sr_raw_conservative_exploit_qd,0.000000,0.000000,0.166667,0.000000
Prob048_pe,sr_raw_conservative_exploit_qd,0.000000,0.000000,3.250000,0.000000
Prob049_signal_generator,sr_raw_conservative_exploit_qd,-2.000000,-4.000000,0.109091,-1.000000
Prob050_square_wave,sr_raw_conservative_exploit_qd,1.000000,-1.000000,-0.695714,3.000000
