cohort,method,candidate_count,front_count,occupied_cells,front_cells,mean_operator_count,mean_front_operator_count,mean_sog_complexity_score,mean_front_sog_complexity_score,mean_state_control_ratio,mean_front_state_control_ratio
Prob001_accu,classic_revolution,11,3,7,3,13.181818,12.333333,26.545455,25.000000,0.984848,0.888889
Prob002_adder_16bit,classic_revolution,11,1,6,1,93.000000,114.000000,109.000000,114.000000,0.797980,1.000000
Prob003_adder_32bit,classic_revolution,17,1,4,1,197.588235,70.000000,197.588235,70.000000,1.000000,1.000000
Prob004_adder_8bit,classic_revolution,8,1,6,1,49.000000,16.000000,58.750000,48.000000,0.833333,1.000000
Prob005_adder_bcd,classic_revolution,15,1,5,1,6.066667,5.000000,13.266667,13.000000,0.605556,0.333333
Prob007_comparator_3bit,classic_revolution,16,1,8,1,14.437500,21.000000,16.687500,21.000000,0.607292,1.000000
Prob008_comparator_4bit,classic_revolution,18,1,7,1,20.944444,27.000000,22.611111,27.000000,0.816667,1.000000
Prob009_div_16bit,classic_revolution,25,5,7,4,65.840000,52.200000,142.960000,114.200000,0.057012,0.084972
Prob011_multi_16bit,classic_revolution,14,3,9,3,33.142857,29.333333,63.357143,57.000000,0.360508,0.320723
Prob012_multi_8bit,classic_revolution,5,1,2,1,12.200000,1.000000,30.800000,6.000000,0.288889,1.000000
Prob015_multi_pipe_8bit,classic_revolution,12,5,5,4,18.333333,19.800000,40.000000,42.200000,3.136040,3.528718
Prob019_sub_64bit,classic_revolution,9,1,6,1,55.777778,448.000000,60.888889,448.000000,0.777778,1.000000
Prob020_JC_counter,classic_revolution,4,1,2,1,2.000000,2.000000,3.250000,3.000000,1.750000,2.000000
Prob021_counter_12,classic_revolution,8,3,5,3,7.625000,10.666667,15.500000,20.666667,0.548993,0.416361
Prob023_up_down_counter,classic_revolution,3,1,3,1,22.333333,60.000000,31.000000,76.000000,0.708333,0.125000
Prob024_fsm,classic_revolution,8,1,6,1,12.625000,2.000000,23.000000,4.000000,0.280689,1.000000
Prob025_sequence_detector,classic_revolution,3,1,3,1,6.333333,2.000000,12.000000,4.000000,0.924242,1.000000
Prob027_LIFObuffer,classic_revolution,32,6,11,5,36.218750,29.000000,63.406250,53.166667,0.259837,0.238551
Prob030_right_shifter,classic_revolution,3,1,2,1,3.333333,1.000000,6.666667,2.000000,4.333333,2.000000
Prob031_freq_div,classic_revolution,5,1,3,1,12.200000,10.000000,23.200000,19.000000,0.966667,0.800000
Prob035_calendar,classic_revolution,5,2,4,1,14.200000,13.000000,29.600000,28.000000,0.539683,0.571429
Prob036_edge_detect,classic_revolution,8,1,5,1,5.750000,1.000000,8.000000,2.000000,3.250000,2.000000
