descriptor_axis,descriptor_space,method_name,metric,pearson_r,sample_count
sr_pca_0,internal,sr_random_relu_pca_qd,area,-0.0020061463060979793,197
sr_pca_0,internal,sr_random_relu_pca_qd,fitness,-0.12522586848062656,197
sr_pca_0,internal,sr_random_relu_pca_qd,power,0.15515428634428097,197
sr_pca_0,internal,sr_random_relu_pca_qd,timing_or_clock_period,0.4094230112214271,197
sr_pca_1,internal,sr_random_relu_pca_qd,area,-0.08666729734486052,197
sr_pca_1,internal,sr_random_relu_pca_qd,fitness,0.029840677611581864,197
sr_pca_1,internal,sr_random_relu_pca_qd,power,0.17476494109710333,197
sr_pca_1,internal,sr_random_relu_pca_qd,timing_or_clock_period,0.10268497739606255,197
sr_pca_2,internal,sr_random_relu_pca_qd,area,-0.33822532064841004,197
sr_pca_2,internal,sr_random_relu_pca_qd,fitness,-0.19511924110571807,197
sr_pca_2,internal,sr_random_relu_pca_qd,power,0.1474945347271773,197
sr_pca_2,internal,sr_random_relu_pca_qd,timing_or_clock_period,0.36701121882700405,197
motif_arith_ratio,common_audit,sr_random_relu_pca_qd,area,0.11383454736957037,197
motif_arith_ratio,common_audit,sr_random_relu_pca_qd,fitness,0.1451792992204384,197
motif_arith_ratio,common_audit,sr_random_relu_pca_qd,power,0.11858533402682828,197
motif_arith_ratio,common_audit,sr_random_relu_pca_qd,timing_or_clock_period,0.018909311073561523,197
motif_control_ratio,common_audit,sr_random_relu_pca_qd,area,0.28035916189698,197
motif_control_ratio,common_audit,sr_random_relu_pca_qd,fitness,0.07319218743439926,197
motif_control_ratio,common_audit,sr_random_relu_pca_qd,power,-0.1323179576238727,197
motif_control_ratio,common_audit,sr_random_relu_pca_qd,timing_or_clock_period,0.07683031396566799,197
motif_diversity,common_audit,sr_random_relu_pca_qd,area,-0.30824575366946255,197
motif_diversity,common_audit,sr_random_relu_pca_qd,fitness,-0.158126360391576,197
motif_diversity,common_audit,sr_random_relu_pca_qd,power,0.01758621225441971,197
motif_diversity,common_audit,sr_random_relu_pca_qd,timing_or_clock_period,0.2411233146527578,197
motif_logic_ratio,common_audit,sr_random_relu_pca_qd,area,-0.22321722776446468,197
motif_logic_ratio,common_audit,sr_random_relu_pca_qd,fitness,0.04532467881033188,197
motif_logic_ratio,common_audit,sr_random_relu_pca_qd,power,-0.2687782823127067,197
motif_logic_ratio,common_audit,sr_random_relu_pca_qd,timing_or_clock_period,-0.26867300896538654,197
