metric,classic,method,delta,relative_delta
mean_hypervolume,0.12448470080563463,0.14542759697699842,0.020942896171363787,0.16823670728873885
mean_best_fitness,0.2670645637361175,0.2536154117210096,-0.01344915201510788,-0.05035917842097833
valid_ppa_candidate_count,209.0,197.0,-12.0,-0.05741626794258373
ppa_front_unique_netlist_count,12.0,11.0,-1.0,-0.08333333333333333
unique_motif_signature_count,43.0,44.0,1.0,0.023255813953488372
common_audit_occupied_cells,12.0,10.0,-2.0,-0.16666666666666666
common_audit_qd_score,2.316311854699285,2.3765290620894137,0.06021720739012881,0.025997020767286324
functionality_rate,0.7256944444444444,0.6840277777777778,-0.04166666666666663,-0.057416267942583685
synthesis_rate,0.7256944444444444,0.6840277777777778,-0.04166666666666663,-0.057416267942583685
valid_ppa_rate,0.7256944444444444,0.6840277777777778,-0.04166666666666663,-0.057416267942583685
