descriptor_axis,descriptor_space,method_name,metric,pearson_r,sample_count
sr_pca_0,internal,sr_raw_pca_qd,area,0.01842016738656586,209
sr_pca_0,internal,sr_raw_pca_qd,fitness,-0.025113491950172696,209
sr_pca_0,internal,sr_raw_pca_qd,power,-0.18443713416927365,209
sr_pca_0,internal,sr_raw_pca_qd,timing_or_clock_period,-0.10078518935797554,209
sr_pca_1,internal,sr_raw_pca_qd,area,0.7588331703447689,209
sr_pca_1,internal,sr_raw_pca_qd,fitness,0.015738662585055758,209
sr_pca_1,internal,sr_raw_pca_qd,power,0.15698367412611958,209
sr_pca_1,internal,sr_raw_pca_qd,timing_or_clock_period,0.06626510818186387,209
sr_pca_2,internal,sr_raw_pca_qd,area,0.06256764689931064,209
sr_pca_2,internal,sr_raw_pca_qd,fitness,-0.1303813659927317,209
sr_pca_2,internal,sr_raw_pca_qd,power,0.17149322886861407,209
sr_pca_2,internal,sr_raw_pca_qd,timing_or_clock_period,0.4254070865053961,209
motif_arith_ratio,common_audit,sr_raw_pca_qd,area,0.09192315130064961,209
motif_arith_ratio,common_audit,sr_raw_pca_qd,fitness,0.14389267997199787,209
motif_arith_ratio,common_audit,sr_raw_pca_qd,power,0.09528603315300929,209
motif_arith_ratio,common_audit,sr_raw_pca_qd,timing_or_clock_period,-0.00667207232857551,209
motif_control_ratio,common_audit,sr_raw_pca_qd,area,0.2774627080368664,209
motif_control_ratio,common_audit,sr_raw_pca_qd,fitness,0.006423084392921704,209
motif_control_ratio,common_audit,sr_raw_pca_qd,power,-0.10054126043583919,209
motif_control_ratio,common_audit,sr_raw_pca_qd,timing_or_clock_period,0.07843154697985175,209
motif_diversity,common_audit,sr_raw_pca_qd,area,-0.26148403059979514,209
motif_diversity,common_audit,sr_raw_pca_qd,fitness,-0.16400219576962385,209
motif_diversity,common_audit,sr_raw_pca_qd,power,0.04429404828136624,209
motif_diversity,common_audit,sr_raw_pca_qd,timing_or_clock_period,0.2635526232890274,209
motif_logic_ratio,common_audit,sr_raw_pca_qd,area,-0.20942859701502603,209
motif_logic_ratio,common_audit,sr_raw_pca_qd,fitness,0.08683017471143535,209
motif_logic_ratio,common_audit,sr_raw_pca_qd,power,-0.2673287327560108,209
motif_logic_ratio,common_audit,sr_raw_pca_qd,timing_or_clock_period,-0.24601962073696898,209
