descriptor_axis,descriptor_space,method_name,metric,pearson_r,sample_count
motif_arith_ratio,internal,synthesis_trajectory_motif_nod,area,0.21401681464529676,198
motif_arith_ratio,internal,synthesis_trajectory_motif_nod,fitness,0.24857614876944628,198
motif_arith_ratio,internal,synthesis_trajectory_motif_nod,power,0.1277185450610032,198
motif_arith_ratio,internal,synthesis_trajectory_motif_nod,timing_or_clock_period,0.027687444114299957,198
motif_control_ratio,internal,synthesis_trajectory_motif_nod,area,0.08610563144001994,198
motif_control_ratio,internal,synthesis_trajectory_motif_nod,fitness,-0.13099298488709862,198
motif_control_ratio,internal,synthesis_trajectory_motif_nod,power,-0.05947255395135658,198
motif_control_ratio,internal,synthesis_trajectory_motif_nod,timing_or_clock_period,0.0872385530516724,198
motif_diversity,internal,synthesis_trajectory_motif_nod,area,-0.24896658298019966,198
motif_diversity,internal,synthesis_trajectory_motif_nod,fitness,-0.22451474997749085,198
motif_diversity,internal,synthesis_trajectory_motif_nod,power,0.008960540353454583,198
motif_diversity,internal,synthesis_trajectory_motif_nod,timing_or_clock_period,0.22995386202574616,198
motif_logic_ratio,internal,synthesis_trajectory_motif_nod,area,-0.21344519324816083,198
motif_logic_ratio,internal,synthesis_trajectory_motif_nod,fitness,0.1645837271336116,198
motif_logic_ratio,internal,synthesis_trajectory_motif_nod,power,-0.24135911747453967,198
motif_logic_ratio,internal,synthesis_trajectory_motif_nod,timing_or_clock_period,-0.2493681774568731,198
stnod_arith_swing,internal,synthesis_trajectory_motif_nod,area,0.05331502202646887,198
stnod_arith_swing,internal,synthesis_trajectory_motif_nod,fitness,0.008699652546359968,198
stnod_arith_swing,internal,synthesis_trajectory_motif_nod,power,0.2204725143652888,198
stnod_arith_swing,internal,synthesis_trajectory_motif_nod,timing_or_clock_period,0.2970595626341496,198
stnod_cell_growth_log,internal,synthesis_trajectory_motif_nod,area,0.907698065511277,198
stnod_cell_growth_log,internal,synthesis_trajectory_motif_nod,fitness,-0.19276809294785438,198
stnod_cell_growth_log,internal,synthesis_trajectory_motif_nod,power,0.5539079022987768,198
stnod_cell_growth_log,internal,synthesis_trajectory_motif_nod,timing_or_clock_period,0.4523694090161393,198
stnod_control_swing,internal,synthesis_trajectory_motif_nod,area,0.08610563144001994,198
stnod_control_swing,internal,synthesis_trajectory_motif_nod,fitness,-0.13099298488709862,198
stnod_control_swing,internal,synthesis_trajectory_motif_nod,power,-0.05947255395135658,198
stnod_control_swing,internal,synthesis_trajectory_motif_nod,timing_or_clock_period,0.0872385530516724,198
stnod_diversity_swing,internal,synthesis_trajectory_motif_nod,area,-0.24896658298019966,198
stnod_diversity_swing,internal,synthesis_trajectory_motif_nod,fitness,-0.22451474997749085,198
stnod_diversity_swing,internal,synthesis_trajectory_motif_nod,power,0.008960540353454583,198
stnod_diversity_swing,internal,synthesis_trajectory_motif_nod,timing_or_clock_period,0.22995386202574616,198
stnod_logic_swing,internal,synthesis_trajectory_motif_nod,area,-0.21344519324816083,198
stnod_logic_swing,internal,synthesis_trajectory_motif_nod,fitness,0.1645837271336116,198
stnod_logic_swing,internal,synthesis_trajectory_motif_nod,power,-0.24135911747453967,198
stnod_logic_swing,internal,synthesis_trajectory_motif_nod,timing_or_clock_period,-0.2493681774568731,198
motif_arith_ratio,common_audit,synthesis_trajectory_motif_nod,area,0.21401681464529676,198
motif_arith_ratio,common_audit,synthesis_trajectory_motif_nod,fitness,0.24857614876944628,198
motif_arith_ratio,common_audit,synthesis_trajectory_motif_nod,power,0.1277185450610032,198
motif_arith_ratio,common_audit,synthesis_trajectory_motif_nod,timing_or_clock_period,0.027687444114299957,198
motif_control_ratio,common_audit,synthesis_trajectory_motif_nod,area,0.08610563144001994,198
motif_control_ratio,common_audit,synthesis_trajectory_motif_nod,fitness,-0.13099298488709862,198
motif_control_ratio,common_audit,synthesis_trajectory_motif_nod,power,-0.05947255395135658,198
motif_control_ratio,common_audit,synthesis_trajectory_motif_nod,timing_or_clock_period,0.0872385530516724,198
motif_diversity,common_audit,synthesis_trajectory_motif_nod,area,-0.24896658298019966,198
motif_diversity,common_audit,synthesis_trajectory_motif_nod,fitness,-0.22451474997749085,198
motif_diversity,common_audit,synthesis_trajectory_motif_nod,power,0.008960540353454583,198
motif_diversity,common_audit,synthesis_trajectory_motif_nod,timing_or_clock_period,0.22995386202574616,198
motif_logic_ratio,common_audit,synthesis_trajectory_motif_nod,area,-0.21344519324816083,198
motif_logic_ratio,common_audit,synthesis_trajectory_motif_nod,fitness,0.1645837271336116,198
motif_logic_ratio,common_audit,synthesis_trajectory_motif_nod,power,-0.24135911747453967,198
motif_logic_ratio,common_audit,synthesis_trajectory_motif_nod,timing_or_clock_period,-0.2493681774568731,198
