metric,classic,method,delta,relative_delta
mean_hypervolume,0.12448470080563463,0.11749597097664195,-0.006988729828992679,-0.056141275062423925
mean_best_fitness,0.2670645637361175,0.26452573526608236,-0.002538828470035115,-0.009506422097031538
valid_ppa_candidate_count,209.0,213.0,4.0,0.019138755980861243
ppa_front_unique_netlist_count,12.0,21.0,9.0,0.75
unique_motif_signature_count,43.0,41.0,-2.0,-0.046511627906976744
common_audit_occupied_cells,12.0,8.0,-4.0,-0.3333333333333333
common_audit_qd_score,2.316311854699285,1.700843807179105,-0.6154680475201799,-0.2657103560004372
functionality_rate,0.7256944444444444,0.7395833333333334,0.01388888888888895,0.01913875598086133
synthesis_rate,0.7256944444444444,0.7395833333333334,0.01388888888888895,0.01913875598086133
valid_ppa_rate,0.7256944444444444,0.7395833333333334,0.01388888888888895,0.01913875598086133
