method,method_label,reference,reference_label,metric,value,reference_value,delta,relative_delta
sr_raw_front_recovery_qd,Front recovery,classic_revolution,Classic,valid_ppa_count,42.000000,66.000000,-24.000000,-0.363636
sr_raw_front_recovery_qd,Front recovery,classic_revolution,Classic,final_best_problem_count,2.000000,3.000000,-1.000000,-0.333333
sr_raw_front_recovery_qd,Front recovery,classic_revolution,Classic,mean_final_best_score,0.398946,0.341634,0.057312,0.167758
sr_raw_front_recovery_qd,Front recovery,classic_revolution,Classic,mean_global_ppa_hypervolume,0.139295,0.160241,-0.020946,-0.130716
sr_raw_front_recovery_qd,Front recovery,classic_revolution,Classic,mean_hv_auc,0.118396,0.122837,-0.004441,-0.036154
sr_raw_front_recovery_qd,Front recovery,classic_revolution,Classic,total_ppa_front_points,8.000000,18.000000,-10.000000,-0.555556
sr_raw_front_recovery_qd,Front recovery,classic_revolution,Classic,total_reference_beating_count,22.000000,35.000000,-13.000000,-0.371429
sr_raw_front_recovery_qd,Front recovery,classic_revolution,Classic,total_active_global_pareto_members,8.000000,,,
sr_raw_front_recovery_qd,Front recovery,landing_smooth_qd_manual_bd,Manual BD,valid_ppa_count,42.000000,63.000000,-21.000000,-0.333333
sr_raw_front_recovery_qd,Front recovery,landing_smooth_qd_manual_bd,Manual BD,final_best_problem_count,2.000000,3.000000,-1.000000,-0.333333
sr_raw_front_recovery_qd,Front recovery,landing_smooth_qd_manual_bd,Manual BD,mean_final_best_score,0.398946,0.297425,0.101521,0.341333
sr_raw_front_recovery_qd,Front recovery,landing_smooth_qd_manual_bd,Manual BD,mean_global_ppa_hypervolume,0.139295,0.181459,-0.042164,-0.232361
sr_raw_front_recovery_qd,Front recovery,landing_smooth_qd_manual_bd,Manual BD,mean_hv_auc,0.118396,0.153877,-0.035481,-0.230580
sr_raw_front_recovery_qd,Front recovery,landing_smooth_qd_manual_bd,Manual BD,total_ppa_front_points,8.000000,9.000000,-1.000000,-0.111111
sr_raw_front_recovery_qd,Front recovery,landing_smooth_qd_manual_bd,Manual BD,total_reference_beating_count,22.000000,39.000000,-17.000000,-0.435897
sr_raw_front_recovery_qd,Front recovery,landing_smooth_qd_manual_bd,Manual BD,total_active_global_pareto_members,8.000000,9.000000,-1.000000,-0.111111
sr_raw_front_recovery_qd,Front recovery,random_descriptor_qd,Random,valid_ppa_count,42.000000,37.000000,5.000000,0.135135
sr_raw_front_recovery_qd,Front recovery,random_descriptor_qd,Random,final_best_problem_count,2.000000,3.000000,-1.000000,-0.333333
sr_raw_front_recovery_qd,Front recovery,random_descriptor_qd,Random,mean_final_best_score,0.398946,0.277994,0.120952,0.435089
sr_raw_front_recovery_qd,Front recovery,random_descriptor_qd,Random,mean_global_ppa_hypervolume,0.139295,0.112776,0.026519,0.235148
sr_raw_front_recovery_qd,Front recovery,random_descriptor_qd,Random,mean_hv_auc,0.118396,0.077037,0.041359,0.536872
sr_raw_front_recovery_qd,Front recovery,random_descriptor_qd,Random,total_ppa_front_points,8.000000,7.000000,1.000000,0.142857
sr_raw_front_recovery_qd,Front recovery,random_descriptor_qd,Random,total_reference_beating_count,22.000000,16.000000,6.000000,0.375000
sr_raw_front_recovery_qd,Front recovery,random_descriptor_qd,Random,total_active_global_pareto_members,8.000000,7.000000,1.000000,0.142857
sr_raw_front_recovery_qd,Front recovery,sr_raw_pca_qd,SR raw,valid_ppa_count,42.000000,49.000000,-7.000000,-0.142857
sr_raw_front_recovery_qd,Front recovery,sr_raw_pca_qd,SR raw,final_best_problem_count,2.000000,3.000000,-1.000000,-0.333333
sr_raw_front_recovery_qd,Front recovery,sr_raw_pca_qd,SR raw,mean_final_best_score,0.398946,0.295832,0.103114,0.348556
sr_raw_front_recovery_qd,Front recovery,sr_raw_pca_qd,SR raw,mean_global_ppa_hypervolume,0.139295,0.147152,-0.007857,-0.053394
sr_raw_front_recovery_qd,Front recovery,sr_raw_pca_qd,SR raw,mean_hv_auc,0.118396,0.127593,-0.009197,-0.072081
sr_raw_front_recovery_qd,Front recovery,sr_raw_pca_qd,SR raw,total_ppa_front_points,8.000000,16.000000,-8.000000,-0.500000
sr_raw_front_recovery_qd,Front recovery,sr_raw_pca_qd,SR raw,total_reference_beating_count,22.000000,23.000000,-1.000000,-0.043478
sr_raw_front_recovery_qd,Front recovery,sr_raw_pca_qd,SR raw,total_active_global_pareto_members,8.000000,16.000000,-8.000000,-0.500000
sr_raw_front_recovery_qd,Front recovery,guarded_sr_raw_pareto_qd,Guarded SR raw,valid_ppa_count,42.000000,41.000000,1.000000,0.024390
sr_raw_front_recovery_qd,Front recovery,guarded_sr_raw_pareto_qd,Guarded SR raw,final_best_problem_count,2.000000,3.000000,-1.000000,-0.333333
sr_raw_front_recovery_qd,Front recovery,guarded_sr_raw_pareto_qd,Guarded SR raw,mean_final_best_score,0.398946,0.285091,0.113855,0.399364
sr_raw_front_recovery_qd,Front recovery,guarded_sr_raw_pareto_qd,Guarded SR raw,mean_global_ppa_hypervolume,0.139295,0.141203,-0.001908,-0.013512
sr_raw_front_recovery_qd,Front recovery,guarded_sr_raw_pareto_qd,Guarded SR raw,mean_hv_auc,0.118396,0.119673,-0.001277,-0.010671
sr_raw_front_recovery_qd,Front recovery,guarded_sr_raw_pareto_qd,Guarded SR raw,total_ppa_front_points,8.000000,10.000000,-2.000000,-0.200000
