representation,metric,value,lexical_value,delta_vs_lexical,random_value,delta_vs_random
fitness_top,selected_hypervolume,3.8232476279516034,3.701826554688716,0.12142107326288754,3.0741669813303787,0.7490806466212248
fitness_top,selected_pareto_size,300.0,283.0,17.0,303.0,-3.0
fitness_top,selected_best_fitness,0.7498077353006931,0.6881421864520456,0.0616655488486475,0.6950547730829421,0.054752962217751056
fitness_top,unique_canonical_netlists,52.0,60.0,-8.0,59.0,-7.0
fitness_top,unique_motif_signatures,44.0,54.0,-10.0,50.0,-6.0
generation_prefix,selected_hypervolume,3.1551856809847187,3.701826554688716,-0.5466408737039972,3.0741669813303787,0.08101869965434005
generation_prefix,selected_pareto_size,303.0,283.0,20.0,303.0,0.0
generation_prefix,selected_best_fitness,0.6950547730829421,0.6881421864520456,0.0069125866308964445,0.6950547730829421,0.0
generation_prefix,unique_canonical_netlists,50.0,60.0,-10.0,59.0,-9.0
generation_prefix,unique_motif_signatures,45.0,54.0,-9.0,50.0,-5.0
lexical_farthest,selected_hypervolume,3.701826554688716,3.701826554688716,0.0,3.0741669813303787,0.6276595733583372
lexical_farthest,selected_pareto_size,283.0,283.0,0.0,303.0,-20.0
lexical_farthest,selected_best_fitness,0.6881421864520456,0.6881421864520456,0.0,0.6950547730829421,-0.0069125866308964445
lexical_farthest,unique_canonical_netlists,60.0,60.0,0.0,59.0,1.0
lexical_farthest,unique_motif_signatures,54.0,54.0,0.0,50.0,4.0
random,selected_hypervolume,3.0741669813303787,3.701826554688716,-0.6276595733583372,3.0741669813303787,0.0
random,selected_pareto_size,303.0,283.0,20.0,303.0,0.0
random,selected_best_fitness,0.6950547730829421,0.6881421864520456,0.0069125866308964445,0.6950547730829421,0.0
random,unique_canonical_netlists,59.0,60.0,-1.0,59.0,0.0
random,unique_motif_signatures,50.0,54.0,-4.0,50.0,0.0
t33_canonical_rtl_farthest,selected_hypervolume,3.7991670020773105,3.701826554688716,0.0973404473885946,3.0741669813303787,0.7250000207469318
t33_canonical_rtl_farthest,selected_pareto_size,287.0,283.0,4.0,303.0,-16.0
t33_canonical_rtl_farthest,selected_best_fitness,0.7498077353006931,0.6881421864520456,0.0616655488486475,0.6950547730829421,0.054752962217751056
t33_canonical_rtl_farthest,unique_canonical_netlists,59.0,60.0,-1.0,59.0,0.0
t33_canonical_rtl_farthest,unique_motif_signatures,54.0,54.0,0.0,50.0,4.0
t33_canonical_yosys_netlist_farthest,selected_hypervolume,3.578190702854091,3.701826554688716,-0.12363585183462478,3.0741669813303787,0.5040237215237124
t33_canonical_yosys_netlist_farthest,selected_pareto_size,287.0,283.0,4.0,303.0,-16.0
t33_canonical_yosys_netlist_farthest,selected_best_fitness,0.7498077353006931,0.6881421864520456,0.0616655488486475,0.6950547730829421,0.054752962217751056
t33_canonical_yosys_netlist_farthest,unique_canonical_netlists,63.0,60.0,3.0,59.0,4.0
t33_canonical_yosys_netlist_farthest,unique_motif_signatures,56.0,54.0,2.0,50.0,6.0
t33_commentless_rtl_farthest,selected_hypervolume,3.772691691290353,3.701826554688716,0.07086513660163707,3.0741669813303787,0.6985247099599743
t33_commentless_rtl_farthest,selected_pareto_size,293.0,283.0,10.0,303.0,-10.0
t33_commentless_rtl_farthest,selected_best_fitness,0.7498077353006931,0.6881421864520456,0.0616655488486475,0.6950547730829421,0.054752962217751056
t33_commentless_rtl_farthest,unique_canonical_netlists,59.0,60.0,-1.0,59.0,0.0
t33_commentless_rtl_farthest,unique_motif_signatures,51.0,54.0,-3.0,50.0,1.0
t33_identifier_role_rtl_farthest,selected_hypervolume,3.799117946399116,3.701826554688716,0.09729139171039991,3.0741669813303787,0.7249509650687371
t33_identifier_role_rtl_farthest,selected_pareto_size,288.0,283.0,5.0,303.0,-15.0
t33_identifier_role_rtl_farthest,selected_best_fitness,0.7498077353006931,0.6881421864520456,0.0616655488486475,0.6950547730829421,0.054752962217751056
t33_identifier_role_rtl_farthest,unique_canonical_netlists,61.0,60.0,1.0,59.0,2.0
t33_identifier_role_rtl_farthest,unique_motif_signatures,55.0,54.0,1.0,50.0,5.0
t33_raw_rtl_farthest,selected_hypervolume,3.6555395380963835,3.701826554688716,-0.046287016592332364,3.0741669813303787,0.5813725567660049
t33_raw_rtl_farthest,selected_pareto_size,294.0,283.0,11.0,303.0,-9.0
t33_raw_rtl_farthest,selected_best_fitness,0.6950547730829421,0.6881421864520456,0.0069125866308964445,0.6950547730829421,0.0
t33_raw_rtl_farthest,unique_canonical_netlists,57.0,60.0,-3.0,59.0,-2.0
t33_raw_rtl_farthest,unique_motif_signatures,50.0,54.0,-4.0,50.0,0.0
t33_summary_plus_netlist_farthest,selected_hypervolume,3.686042536225122,3.701826554688716,-0.015784018463593785,3.0741669813303787,0.6118755548947434
t33_summary_plus_netlist_farthest,selected_pareto_size,285.0,283.0,2.0,303.0,-18.0
t33_summary_plus_netlist_farthest,selected_best_fitness,0.7498077353006931,0.6881421864520456,0.0616655488486475,0.6950547730829421,0.054752962217751056
t33_summary_plus_netlist_farthest,unique_canonical_netlists,63.0,60.0,3.0,59.0,4.0
t33_summary_plus_netlist_farthest,unique_motif_signatures,56.0,54.0,2.0,50.0,6.0
